02/12/1995- ||------||4403500||Current Statistics||-------------------------------------||EPW Research Foundation
25/11/1995- ||perspectives||4403478||Viceroy Reading's 'Offer': Barmecide's Feast||The 'offer' by Viceroy Reading in 1921 for a round table conference to confer dominion status upon India was in fact a proposal by the moderates within the Congress so as to end their isolation during the non-cooperation movement.||Anil Nauriya
14/10/1995-21/10/1995||------||4403314||Public Debt in Perspective||-------------------------------------||
18/2/1995-25/2/1995||commentary||4402401||Election and Bihar's Fractured Polity||The assembly election in Bihar has laid bare the state's fractured polity. Every party is torn, every organisation is fragmented, every leader is suspect.||A. K. Roy
06/5/1995-13/5/1995||companies||4402704||Rise in Turnover||-------------------------------------||
09/12/1995- ||------||4403526||Current Statistics||-------------------------------------||EPW Research Foundation
23/9/1995- ||special articles||4403246||IITs Yesterday and Tomorrow||That the IITs have a unique place in the Indian higher education system does not have to be enlarged upon. What needs to be done, however, is to encourage and enable them to break their isolation from the rest of the university system and become active partners in the whole educational endeavour. This does not mean that they have to be like the other universities, but surely there has to be greater interaction between the technical sector and the mainstream sector. Being the strongest unit in the technical sector, the IITs have a special obligation in this respect and it is time they started thinking about it.||Amrik Singh
22/4/1995- ||commentary||4402656||Beyond the Elections||The assembly elections should induce some rethinking and realignment among social and political forces in Orissa to which the election results in Bihar and the general elections due in 1996 will contribute. The Janata Dal has to decide whether to continue to reinforce the brahminical order or be associated with the forces of progress and change.||Biswamoy Pati
01/4/1995- ||companies||4402555||Backward Integration||-------------------------------------||
07/1/1995- ||companies||4402218||Expansion and Modernisation||-------------------------------------||
27/5/1995- ||review of industry and management, may 1995||4402789||Public Issues by Private Corporate Sector||This paper presents a detailed account of the status of stock market in India and the policies of the government of India that have had a bearing on the public issues of securities during the 1980s and early 1990s. All public issues by the private corporate sector in 1988 are analysed to identify the relationship between the different sources of funds, industrial categories of firms, firms classified by paid-up capital, size of the issue and the age of the firm. The paper argues that there is a need for financial innovations in terms of new instruments to promote the equity cult which will help mobilise funds from rural and semi-urban areas that have not yet been tapped adequately.||N. Lalitha
10/6/1995- ||companies||4402837||Raw Material Problems||-------------------------------------||
30/9/1995- ||------||4403259||Current Statistics||-------------------------------------||EPW Research Foundation
15/4/1995- ||------||4402608||Missing the Point||-------------------------------------||
06/5/1995-13/5/1995||------||4402710||A Correction: Consolidation of Maratha Dominance in Maharashtra||-------------------------------------||
11/3/1995- ||------||4402461||Current Statistics||-------------------------------------||EPW Research Foundation
11/3/1995- ||special articles||4402474||Development Priorities: Practical Issues of Methodology and Modelling||In arriving at the total outlay for the Five-Year Plans, the sectorwise allocations and priorities for the plan-period broadly follow a macro-model. But we do not have a model for annual plan exercises and the prioritisation to be followed, though the sectoral allocation of resources by the planning system amounting to more than a hundred thousand crore rupees annually profoundly affects the future of the economy and the people. This paper looks at annual forecasting models outside the planning system and seeks to indicate some specifics of research and action required for development of annual plan modelling.||Kalyan Raipuria
08/7/1995- ||commentary||4402965||Iran, America and Other Major Powers||The placatory tone of Iran's recent statements directed at the US has to be seen in the context of the hardening attitude of the US Congress towards Iran and the deteriorating economic situation in Iran.||Dilip Hiro
01/7/1995- ||discussion||4402947||Politics of Choice in Popular Policies||-------------------------------------||K. Ravi Srinivas
23/9/1995- ||special articles||4403245||Structure of Employment as Seen from 1981 and 1991 Censuses: A Preliminary Look||Data on the occupational structure of the population, on the single digit category, have just been released from the 1991 Census. In this paper, an attempt is made to examine the changes in employment at the single digit level between 1981 and 1991 Censuses, for all India and for Karnataka and West Bengal.||A. V. Arun Kumar,B. P. Vani,Vinod Vyasulu
11/2/1995- ||------||4402358||States as Sinners||-------------------------------------||
26/8/1995- ||------||4403119||Current Statistics||-------------------------------------||EPW Research Foundation
04/3/1995- ||civil liberties||4402433||No Right to Vote||How can the election officials explain the deletion from the 1995 electoral rolls of persons who had diligently exercised their franchise in every election since independence? Instead of admitting their lapse, they are using Form 6 as provided under the Registration of Electors Rules as a fig-leaf.||A. G. Noorani
29/7/1995- ||------||4403033||Testing of Waters||-------------------------------------||
18/2/1995-25/2/1995||review of industry and management, february 1995||4402410||Public, Joint and Private Sectors in Indian Industry: Evaluating Relative Performance Differences||In this paper the author evaluates relative performance differences between the government-owned, joint sector and private sectors of Indian industry. Comparative efficiency parameters are estimated for the period 1973-74 to 1988-89 using data generated by the Annual Survey of Industries (ASI) which relate to the organised sector of manufacturing industry. The results establish that, in aggregate, enterprises owned by the central government and the governments of various states in India, while accounting for a major chunk of capital investment, are systematically only two-thirds as efficient as private sector enterprises, while joint sector enterprises are also less efficient than those in the private sector. Results of the data analyses reveal that the assumptions of economic theory, positing higher efficiency levels for the private sector, cannot be disproved in the Indian context, and the results also contradict extant evidence which have found no performance differences between government-owned and private firms in India. The paper also discusses certain features unique to the political environment of India as a result of which the noted efficiency differences arise. However, the data also show that reforms that have been put in place in the 1980s towards improving government-owned enterprise performance have had a systematic and significant impact in leading to inter-temporal efficiency gains, particularly in enterprises owned by the central government.||Sumit K. Majumdar
16/12/1995- ||commentary||4403561||Will Mariamma's Grandson Catch up with Maramma's Grandson?||Bereft of constitutional safeguards, dalit Christians continue to stagnate at the lower rungs of the socio-economic hierarchy.||Arunoday Guha
25/11/1995- ||review of industry and management, november 1995||4403482||In the Shadow of 'Kotris': An Analysis of Wool Markets of Rajasthan||The marketing of raw wool in Rajasthan is embedded in multiple exchange relations. Conventions, contractual interlinkages and asymmetry of information are the rules which dictate the process of price formation of raw wool. This continues to happen in spite of government interventions which sought to make changes in the exchange structure by means of controlling the behaviour in the market place.||Sunil Ray
30/12/1995- ||------||4403604||Current Statistics||-------------------------------------||EPW Research Foundation
14/10/1995-21/10/1995||commentary||4403328||LDF's Repeat Performance: Kerala's Local Body Elections||In spite of its pro-backward class stance on the issue of reservations, the UDF failed to win majority of local bodies due to infighting and emergence of divisions within the state's Muslim constituency.||M. R. Biju
18/11/1995- ||special articles||4403451||Human Rights and the Third World: Towards a Reassessment of Ideological Dynamics||In the aftermath of the failure of the Soviet Socialist experiment, the victorious social liberal (capitalist) camp led by the US is taking a narrow view of 'human rights' in the third world, policing the observance only of civil and political rights. The affluent countries accept social and economic rights for their citizens via the welfare state but deny the same to the rest of the world. Third world countries should struggle for an international declaration and programme of human rights in the broader sense, including rights to resources, food, education, health, and a clean environment.||M. Shiviah
11/3/1995- ||------||4402453||Corrigendum||-------------------------------------||
29/7/1995- ||companies||4403038||Good Performance||-------------------------------------||
06/5/1995-13/5/1995||------||4402700||Partners in Perfidy||-------------------------------------||
18/2/1995-25/2/1995||companies||4402396||Growth in Sales||-------------------------------------||
25/3/1995- ||review of agriculture, march 1995||4402531||Environment and Sustainable Agricultural Development: Conflicts and Contradictions||Sustainable agriculture involves not only the identification and application of improved technologies but the incorporation of ecological and socio-economic considerations. Inevitably conflicts and contradictions arise. This article focuses on the inherent conflicts and contradictions which come in the way of operationalising the concept of sustainable development in the context of Indian agriculture.||V. Ratna Reddy
07/1/1995- ||special articles||4402230||Financial Sector and Economic Reforms in India||Of all markets, the market for financial services is most prone to imperfection and, therefore, to failure and that failure occurs because the price of financial services more often than not fails to clear that market. In regard to reform of the financial sector, therefore, we must admit that we do not have answers to all the questions, that we have to move step-by-step, looking at the objective conditions which normally are widely different from the ideal and take decisions to reach our goals through trial and error in a practical world.||Arjun Sengupta
23/9/1995- ||------||4403226||Uneasy Portents||-------------------------------------||
10/6/1995- ||perspectives||4402851||Communal Violence and Transmutation of Identities||Violence as patriarchy derives from the capitalist ideology of 'success'. Virtually any kind of political violence, besides war for the conquest of territory, is predicated upon one or another of such transmutations of identities.||Harbans Mukhia
29/7/1995- ||------||4403039||Current Statistics||-------------------------------------||EPW Research Foundation
28/10/1995- ||commentary||4403362||Art and Life in America: The Trial of O J Simpson||The trial of O J Simpson was broadcast like a soap opera but ended like a football match, with blacks and whites cheering opposing sides. Why did this happen? The racial tension that it generated had something to do with already existing racial divisions and inequalities in American society, but much more to do with the way in which the case was projected and produced by the media. The transformation of a murder trial into a race issue is but one example of the increasing control which the media exerts over the terms of public discourse in the US.||Carol Upadhya
04/3/1995- ||commentary||4402437||Inflation: Finance Minister's Forgotten Promises||Official policy is now guided by the notion that there is no way, at least for a long time to come, to pull the economy out of the mire of stagflation. It has, therefore, settled for keeping inflationary pressures within what may be just tolerable limits for the upper and middle classes, though the mass of the people are hit hard.||B. M.
01/7/1995- ||special articles||4402943||Restructuring the Tax System in India: A Reappraisal of Key Issues||In considering a switch over to value added taxation or any of its variants, what is of fundamental importance is the effect on resource allocation in the economy and resource transfer to the government. This implies that what needs to be considered is the revenue that is generated under alternative systems and the structure of absolute and relative prices associated with each. This paper examines the central issue of revenue neutrality and relative prices under alternative tax systems and clarifies the phenomenon of cascading. In analysing the issue of cascading, the authors distinguish between a pure exchange or trade model and model of production with produced inputs subject to taxation.||K. Sundaram,V. Pandit,B. Mukherji
28/1/1995- ||------||4402304||The Real Issues||-------------------------------------||
22/7/1995- ||special articles||4403024||Employment Situation of Tribal Population in Orissa: 1981 Census Data||A closer look at the 1981 Census data shows that the tribal population of Orissa is engaged in mostly low-productivity, low income employment, i e, they are invisibly underemployed. In terms of policy, this means that employment creation for tribals must be linked to improved access to land and other resources.||K. K. Mohanti,Sakti Padhi
23/12/1995- ||special articles||4403592||Energy Self-Sufficient Talukas: A Solution to National Energy Crisis||The study of a taluka in western Maharashtra has shown that all its energy needs in 2000 AD can be met by proper use of agricultural residues and energy plantations via agro-energy systems. These energies can replace petrol, LPG, diesel, kerosine and electricity. The study also suggests that biomass energy-based supply options have the capacity of providing employment to about 30,000 people in the taluka. Thus, energy self-sufficient talukas may provide an alternative development model to megacity-based, centralised energy model.||Anil K. Rajvanshi
08/7/1995- ||------||4402953||Glossing over the Past||-------------------------------------||
15/4/1995- ||companies||4402616||Capacity Expansion||-------------------------------------||
20/5/1995- ||special articles||4402760||Literacy Campaigns in Maharashtra and Goa: Issues, Trends and Direction||This paper analyses the literacy campaigns initiated in selected districts of Maharashtra and in Goa between 1990 and 1992, based on detailed evaluation studies. The campaigns continue, as also new ones. The objective is to identify critical issues, to discern trends emerging from the data and to suggest directions that such campaigns might take.||Denzil Saldanha
08/7/1995- ||discussion||4402972||Selective Readings of Feminist Scholarship||-------------------------------------||Anand Chakravarti
11/2/1995- ||companies||4402365||Thrust on Exports||-------------------------------------||
28/10/1995- ||review of women studies, october 1995||4403371||Women and Land Rights in Cambodia||After the abandonment of the 'krom samaki' system of collective farming in 1989, both women and men of the People's Republic of Kampuchea secured equal titles to land under the liberalisation process adopted by the government. However, with contradictory and unclear legislation and with no checks and balances, the number of land disputes increased dramatically. This article attempts to understand the effect of this phenomenon on women's social position and on gender relations in Cambodia.||Kyoko Kusakabe,Wang Yunxian,Govind Kelkar
14/10/1995-21/10/1995||special articles||4403339||Alleviating Poverty: Maharashtra Employment Guarantee Scheme||In spite of the limitations in its design and implementation the EGS has made positive impact on the levels of living of the rural poor in Maharashtra. However, the EGS alone cannot remove the poverty in rural areas of the state. And any replication of the scheme in other states should involve prior establishment of decentralised district planning and implementing body, and assurance of adequate funds through additional taxation.||S. Mahendra Dev
06/5/1995-13/5/1995||special articles||4402724||Putting Structure on Structural Adjustment||The paper attempts to build a framework to appraise the structural adjustment programme (SAP). It is argued that while such a framework should work with macro-economic categories of aggregate demand and supply, it should incorporate structural features of the Indian economy, focus on the decisions of the firm over the medium run, and be capable of analysing the affects on growth, of macro-economic policies. Conclusions follow that inflation is best managed by a set of policies that stimulate demand as well as supply. The possibility of multiple equilibria implies that a set of policies that act in concord to push the economy on a high growth path can lead to a situation where every group benefits. As the price of food is the nominal standard for the Indian economy, policies that effect the former are particularly important.||Ashima Goyal
04/11/1995- ||commentary||4403390||Western Cultural Boundary of Assam||The idea of being a speaker (and, increasingly, a reader and writer) of one language exclusively and associating that language with national or ethnic identity is a modern phenomenon. The hard boundaries that we now like to draw, of course, leave out dialects - particularly numerous in areas like Assam. We address this difficulty by assuming that dialects are related exclusively to one or the other of the languages. The relationship between language and dialect is, however, more problematical than that.||Sanjib Baruah
08/4/1995- ||------||4402577||Remote Control||-------------------------------------||
08/4/1995- ||companies||4402584||New Projects||-------------------------------------||
25/3/1995- ||special articles||4402537||Globalisation and Revival of Tradition: Dual Attack on Model of Democratic Nation Building||With the advent of globalisation, the changes taking place at the bottom tiers of nations have received little attention. Yet shifts in power relations, allegiances and consciousness at various levels of civil societies are changing the world as much, if not more, than the macro changes wrought by international capital, technology and the mass media. To what extent will these new cultural assertions of identity enable the peoples of various regions to face the new capitalist order, remains to be seen.||Rajni Kothari
18/2/1995-25/2/1995||------||4402389||Dwindling Saving and Investment||-------------------------------------||
02/9/1995- ||companies||4403151||Higher Turnover||-------------------------------------||
18/2/1995-25/2/1995||companies||4402395||New Products||-------------------------------------||
24/6/1995- ||companies||4402894||New Plants||-------------------------------------||
08/7/1995- ||perspectives||4402966||Transferring Personalised Knowledge: Guru's Dilemma||Bequest motives, imperfect capital market and lack of state patronage adversely affect the socially optimal degree of knowledge transfer. In fact the transition from a concentric patronage system to the market-based incentives in the absence of supportive insurance schemes could be detrimental to the healthy preservation of such a culture.||Sugata Marjit
24/6/1995- ||companies||4402896||New Joint Venture||-------------------------------------||
06/5/1995-13/5/1995||special articles||4402725||Economic Reform and Rate of Saving||This paper points out that the existing estimation procedures are likely to overestimate household saving and, in turn, overall domestic saving. The possible sources of overestimation examined here are portfolio investment by FIIs and private transfers from abroad. The conclusion about overestimation of the rate of saving may be reinforced by other considerations such as year-end bunching of financial assets, apportionment of funds mobilised by UTI and other mutual funds, public deposits and company shareholdings of non-banking financial companies, treatment of household security deposits and adjustment of paid-up capital of companies for global security deposits.||EPW Research Foundation
18/3/1995- ||------||4402485||On the Political Agenda||-------------------------------------||
25/11/1995- ||------||4403460||Justice Denied||-------------------------------------||
16/12/1995- ||------||4403550||Special Treatment||-------------------------------------||
15/4/1995- ||commentary||4402621||Elections with a Difference||What decisively tilted the balance in favour of the Janata Dal and its allies in the assembly elections in Bihar was the overwhelming support of the rural poor. This support is not easy to explain considering that the Laloo Prasad government had done little in its five-year term to ameliorate the condition of the poor in the Bihar countryside. At the same time, while the vast majority of the poor Biharis who backed the Dal belong to the subordinated castes among the Hindus and Muslims, polarisation along economic lines is taking place among the electorate.||Tilak D. Gupta
17/6/1995- ||companies||4402869||Rise in Sales||-------------------------------------||
22/4/1995- ||commentary||4402657||Presidential Monarchy and Class Struggles in France||What is important about this presidential election in France is that it has triggered countervailing social and political forces that were manifest only at the time of the Popular Front in 1936. Their appointed hour has not struck, but what is relevant is that they have been unleashed.||Frederic F. Clairmont
17/6/1995- ||special articles||4402881||Popular Jokes and Political History: The Case of Akbar, Birbal and Mulla Do-Piyaza||Anonymous popular tales and other folklore can contribute to our understanding of political history, so long as we do not view them as essentially a kind of commentary on it. Folktales are themselves history of a sort. They are not just artefacts, but also processes aiming quite varied effects within different traditions and contexts.||C. M. Naim
05/8/1995-12/8/1995||perspectives||4403076||Sociology of Law in India: Postscripts and Prospects||As social change/reproduction is not affected by any single social stratum in isolation, different strata perceive social forces differently, depending on their location in the existing order, and attempt to modify them. Evolution of law is part of this social process. The text of law is itself a register of these negotiations and is therefore a contested domain.||Vikash N. Pandey,Akhileshwar Pathak
03/6/1995- ||------||4402805||Victim of Neglect||-------------------------------------||
10/6/1995- ||------||4402832||Ideological Statement||-------------------------------------||
02/9/1995- ||discussion||4403168||Protection and Exports||-------------------------------------||Aditya Bhattacharjea
05/8/1995-12/8/1995||------||4403062||Watery Thoughts||-------------------------------------||
09/9/1995- ||special articles||4403192||Gender, Caste and Labour: Ideological and Material Structure of Widowhood||This paper examines widowhood within the larger structure of relations, material and ideological. Distinctive cultural codes form the basis for caste hierarchy and control of female sexuality with permanent enforced widowhood at the apex is the index of high rank. Conversely, widow re-marriage is not only an ideological rationale for low caste rank but provides a demographic basis for production relations. A single caste framework functioning both at the level of ideology and material arrangements requires distinctive patriarchal arrangements and cultural codes among the hierarchy of castes to reproduce the structure of production.||Uma Chakravarti
24/6/1995- ||review of agriculture, june 1995||4402909||Performance of Wheat Crop in India: 1952-53 to 1992-93||The performance of the wheat crop in India, which exhibited robust growth through the two decades of the green revolution could be sustained because of an enclave-based growth strategy. Of late the strategy has failed to yield substantial results. If the wheat crop has to regain its earlier trend, the current strategy has to be remodelled and targeted towards weaker farm households, preferably outside the already saturated enclaves. An attempt has been made in this paper to analyse the trend rate of growth of wheat crop since indpendence and its inter-regional imbalances in recent decades.||M. Raghavan
04/3/1995- ||commentary||4402435||Restructuring Banks' Capital: Need for an Integrated Approach||Restructuring of banks' capital has to be done after a careful consideration of all the implications and not as part of hasty, half-baked schemes of partial privatisation. An outline of an integrated scheme for banks' capital restructuring.||N. P. Kurup
02/12/1995- ||commentary||4403504||Politics of Wedding and Wedding as Politics||While the marriage of the foster son of the AIADMK supremo and Tamil Nadu chief minister has been widely, and rightly, criticised for its ostentation and vulgarity, what has not received as much attention is that, with but a few months to go for the general election, the AIADMK was beaming a few strategic signals to its faithful folk and to its political opponents through this mammoth affair.||S. Ambirajan
28/10/1995- ||perspectives||4403363||UN at 50||At 50 the UN is in premature gerontocracy; the decline over the last 20 years due to bureaucratic inefficiency and corruption has been compounded by the post-cold war dominance of and dependence on the sole superpower, the US. In the next two decades most countries are likely to place increasing reliance both for security and development on regional organisations and mechanisms. Therefore unless it is able to restructure as a confederal body linked to regional organisations as programming and operational arms, the UN itself has not much of a future.||S. Nanjundan
11/3/1995- ||commentary||4402466||World Archaeology Congress: Unravelling Deceit||For those who retain the illusion that there is a difference between the lumpens who demolished the Babri masjid and those who provide the intellectual input for bigotry and xenophobia, the goings-on at the World Archaeological Congress-3 come as an eye-opener.||G. N.
28/1/1995- ||------||4402303||Breakfast Revolution||-------------------------------------||
28/1/1995- ||commentary||4402314||'No Fish to Eat': Impact of Liberalisation||In spite of the now well known effects of mechanised boats on fish catch as well as on the economy of the traditional fishing community, the government of India has now opened Indian waters to foreign fishing vessels. Protesting against this invasion which will have a disastrous impact on the economy and the social life of fisherfolk, are both traditional fisherfolk as well as mechanised boat operators.||Ambrose Pinto,Berin Leekas,Latha Radhakrishnan
04/3/1995- ||------||4402424||Existential Pathos||-------------------------------------||
23/9/1995- ||commentary||4403236||India: Economic Outlook, 1995-97||In an overall assessment of the economic situation, the continued tempo of industrial recovery, despite the prospects of a slow-down, is a matter of satisfaction. However, persistence of inflation for this and the next year and widening fiscal and trade gaps are matters of concern.||
16/12/1995- ||------||4403552||Fight for Co-operatives||-------------------------------------||
04/2/1995- ||companies||4402340||On Full Steam||-------------------------------------||
10/6/1995- ||special articles||4402855||Sino-British Confrontation over Hong Kong||Hong Kong, one of the most modern cities in the world, is one of its greatest anachronisms. It is the last corner of Asia where Europeans rule, a rock-pool left, brilliant, vital and teeming, by the historic ebb tide which saw the age of European dominance over Asia ending in this century's second half. The Germans, the Spanish, the Dutch, the French, the Portuguese, and the British, whose domains in Asia were once greatest of them all, withdrew or were forcefully evicted. But Britain preserved its power undiminished over the tiny but populous patch of China named Hong Kong, and thus the reversion of Hong Kong to China in 1997 will close an epilogue to the age of Europe's Asian dominance. Through the first half of the century Britain lived with the thought of the 1997 expiry of the lease which legitimises its rule over Hong Kong as a healthy young person accommodates the idea of mortality. After coming to accept that the return of Hong Kong to China was ineluctable, Britain succeeded in negotiating with Beijing what promised to be a co-operative and cordial transfer of power. How that agreement was achieved and how the achievement came to be undone is the subject of this paper.||Neville Maxwell
08/4/1995- ||discussion||4402601||Utilisation of Health Services||-------------------------------------||P. Satya Sekhar
14/1/1995- ||discussion||4402266||Calculating the Fiscal Deficit||-------------------------------------||I. S. Gulati
23/9/1995- ||commentary||4403237||After Mathura: BJP's Emerging Strategy||The entire Mathura episode shows how much the political scene in Uttar Pradesh has changed since the Ayodhya days. The BJP had apparently hoped to consolidate and widen its constituency in the context of the break-up of the ruling alliance in the state and the dependence of the government in power on its support. This it has not been able to do.||Amaresh Mishra
28/1/1995- ||------||4402306||Current Statistics||-------------------------------------||EPW Research Foundation
08/7/1995- ||companies||4402956||Back to Steel||-------------------------------------||
01/4/1995- ||companies||4402554||New Projects||-------------------------------------||
10/6/1995- ||companies||4402841||Rapid Diversification||-------------------------------------||
11/2/1995- ||companies||4402368||Tariff Policy Problems||-------------------------------------||
25/11/1995- ||review of industry and management, november 1995||4403480||Cost-Efficiency of Small Manufacturing Enterprises: Implications for Employment Policy||An analysis of the relative cost-efficiency of small manufacturing firms for three industries shows that small firms on average are not profitable units of production and have higher costs compared to larger firms. This article elaborates a framework to examine the cost-efficiency of small firms and analyses data for a sample of small and large firms in three industries: diesel engines, leather footwear and PVC pipes.||Anuradha Seth
01/4/1995- ||discussion||4402569||Unfree Labour and Agrarian Change: A Different View||-------------------------------------||Tom Brass
07/10/1995- ||------||4403287||The Rogue Sector||-------------------------------------||
11/3/1995- ||commentary||4402463||Road to Peace between Pakistan and India||The convention organised by the India-Pakistan People's Forum for Peace and Democracy in New Delhi last month, in which around 200 delegates in roughly equal numbers from the two countries participated, was the largest such gathering till now. Its wholly non-governmental character and its squarely political agenda clearly distinguished it from all previous exercises.||Nirmal Mukarji
18/2/1995-25/2/1995||review of industry and management, february 1995||4402408||Technological Capability in Indian Electronics Industry under Economic Liberalisation||With the process of economic liberalisation in India there has been a remarkable increase in the total number of foreign collaborations in the electronics industry. Public sector units which had earlier adopted a lukewarm attitude towards the import of technology changed their policy stand, and picked up momentum in seeking collaborations in the post-liberalisation period. This article explores, on the basis of the enterprise level time-series data, the direction of change in technological capabilities of some of the public sector units operating in the field of electronics which have imported foreign technologies.||Dipayan Datta Chaudhuri
20/5/1995- ||special articles||4402761||Indian Economy since 1991: Trade, Price and Exchange Rate Behaviour||India's trade, exchange rate and consumer price behaviour since the middle of 1991 is the subject of this paper. In particular, has the exchange rate of the rupee influenced the dollar values of India's exports and imports? The author's findings raise questions about the effectiveness of exchange rate policy as an instrument of trade policy.||Prabirjit Sarkar
22/4/1995- ||------||4402665||Special Statistics-11: Health Expenditure across States: Part II: Regional Disparity in Expenditure||-------------------------------------||Ravi Duggal,Sunil Nandraj,Asha Vadair
18/3/1995- ||companies||4402488||Rise in Costs||-------------------------------------||
04/3/1995- ||special articles||4402444||Dispossession, Degradation and Empowerment of Peasantry and the Poor in Bengali Fiction||While within the mainstream paradigm of peasant studies the peasantry and the poor are represented as apathethic and passive recipients of elite ideology, Bengali fiction reveals a more complex pattern of dispossession, degradation and empowerment of the peasantry and the poor.||Tony Beck,Tirthankar Bose
29/7/1995- ||review of political economy, july 1995||4403049||Cartography in Colonial India||This article examines some aspects of surveying and mapping in 19th century colonial India. It shows that the emergence of modern cartographic representation in India is intimately linked to the colonial project of conquest, rule and administration. After examining the early mapping efforts in the later half of the 18th century, the paper then focuses on the three major surveys - the topographical, the trignometrical and the revenue surveys that were carried out, and which were all crucial to mapping India.||U. Kalpagam
18/11/1995- ||companies||4403438||Surge in Domestic Demand||-------------------------------------||
30/9/1995- ||commentary||4403266||Political Upsurge in Kashmir: Then and Now||In contrast to the radical agenda of socio-economic transformation in the 1930s and the 1940s, the present stage of the movement for Kashmiriyat lacks ideology and vision.||Rekha Chowdhary
04/2/1995- ||companies||4402336||Plans to Diversify||-------------------------------------||
08/7/1995- ||special articles||4402970||Searching for New Development Strategies: Challenges of Social Summit||A widespread social crisis in different forms and with different degrees of intensity is affecting third-world countries, eastern-Europe and the former Soviet Union (today known as countries in transition), and even industrialised countries. The indiscriminate opening of the economies of the South has created the risk of intensifying the process of the dualisation of the economy and society. The countries in transitions face the three-fold challenge of stabilising their economies, creating institutions for the functioning of market-led economies and of undertaking a thorough restructuring of their productive capacities. The most important challenge in the coming years will be that of the renewal of development thinking and a search for new development paradise.||Ignacy Sachs
03/6/1995- ||special articles||4402826||Budgetary Silences||The 'crisis management approach' adopted by the finance minister has meant that the livelihood concerns of the vast majority of the people in this country matter very little to the reform process. This article focuses attention on components of the budget which are vital for the enhancement of the quality of life of the people but which, unfortunately, have been rendered peripheral by an absence of vigorous discussion.||Padmini Swaminathan
04/2/1995- ||special articles||4402351||Master-Servant Relationship in a Cross-Cultural Perspective||A review of recent literature shows racial and ethnic dominance to be an important factor in constructing the master-or mistress-servant relationship, and in countries which have been colonised, ideas of the ruler and ruled are carried over into the domestic sphere. More generally, these studies have drawn attention to the complexities of servitude where relationships are structured around difference and where difference translates into cultural superiority and ideological dominance.||Lakshmi Srinivas
29/4/1995- ||special articles||4402694||Self-Reliance versus Marginalisation: Case of India's Overseas Shipping||Dependency theory as a universal theory of underdevelopment may have been problematic but dependence as a description of the hierarchical relations among states is a fact of life in economics and politics in the world. In those hierarchical relations, the verities of power and domination, and the leverage they provide in bargaining between nations, continue to apply. Nowhere is this impact more evident than in overseas shipping. This article addresses India's performance in countering and managing dependence in shipping.||Baldev Raj Nayar
06/5/1995-13/5/1995||special articles||4402722||Plan versus Market in the Contemporary World||The case for planning emerges strongly in the contemporary world of vastly enhanced mobility of finance capital not so much because within a given universe planning is superior to the market, but as a mechanism for changing the universe of decision-making. Globalisation in the era of financial mobility, it is demonstrated here, dooms economies like ours to a perennial state of low and highly unstable growth. The need for planning arises in this very context, though the outlines of the planned regime would not necessarily resemble any of the different versions of planning we have had till now.||Prabhat Patnaik
16/9/1995- ||commentary||4403212||Practice of Pedagogy in Non-Formal Education||In the context of the present din over Total Literacy, a small effort, discussed here, at putting into practice a critical pedagogy shows our pedagogues how to stop canting and start acting.||Anjan Ghosh
27/5/1995- ||companies||4402777||Raw Material Shortage||-------------------------------------||
