15/9/1973- ||special articles||4363023||Structure of Liner Shipping Freight Market in India: III: Preservation of Markets||A shipping conference is an agreement among shipping companies operating liner services for the purpose of regulating and restraining competition. The need for a conference arises from the fact that the liner shipping market is characterised by an excess of tonnage. In such a situation unrestrained competition among shipping lines could lead to rate wars, to the detriment of the lines as well as shippers. This is the last of a series of three articles on the structure of the liner shipping freight market in India. It examines the conferences' methods of controlling competition. The subject is treated in two parts: the attempts made by conferences to protect their market from outside competition; and the efforts of individual lines in a conference to preserve or expand their shares of the conference trade.||Jeroo Kurus Coyaji
09/6/1973- ||review of management, june 1973||4362715||Problems and Possibilities of Project Appraisal: Cost Benefit Analysis in Fifth Plan Approach||An attempt is made in this note to give a broad review of the type of problems which have to be faced if appraisal of projects for inclusion in the Plan is to be done by scientific benefit/cost analysis. The intention is to bring out how the methodological problems become more acute with the present focus and orientation of the Fifth Plan Approach. There is brief discussion on the social discount rate, on the assumptions behind the NPV and the IRR method; on the two manuals - OECD and UNIDO - from practical angle on presentation of data in the detailed project reports; and on identification of common biases in the DPRs. A study of divergences in the benefits/costs from projects which are in the production stage against what was envisaged in the project reports, is recommended to help feedback from Appraisal Wing to Plan Formulation Wing.||J. N. Tewari
28/7/1973- ||------||4362878||Facade of Policy||-------------------------------------||
21/4/1973- ||------||4362546||Facade of Youth||-------------------------------------||
14/4/1973- ||------||4362525||Companies: Changing Structure - and Dividend||-------------------------------------||Hansavivek
22/9/1973- ||------||4363028||Leaving It to the States||-------------------------------------||
29/12/1973- ||from our correspondents||4363312||Baling-Out Operation||-------------------------------------||
17/2/1973- ||special articles||4362334||Western Imperialism and India Today-II||This paper has attempted to investigate a few related aspects of the manifold economic ties between India and the Western powers. Much of the present structure of the relationships has been historically determined by nearly two centuries of British rule. Yet the attainment of political freedom by India and most other countries in the third world has bred the illusion that the latter group of countries ipso facto pursue their national interests in their dealings with their ex-masters. The present paper seriously questions this belief. In the first part which appeared in the Annual Number, February, the author attempted a summary appraisal of foreign aid programmes in general, especially of the US (questioning their true significance both in financial and real terms), the donors' motives for giving aid (a topic surprisingly overlooked by third world scholars), and the real or opportunistic costs to the donors. Sections II and III, in part one, continued the same line of argument to show the contrasts between the 'face' value and the 'real' value of foreign aid to India. Section IV questioned whether foreign aid was essential in any meaningful sense to India's economic development. It was argued that (1) the transfer of 'real' resources has been only a small fraction of the gross aid flows, and that (2) even if the extent of transfer was large it was by no means indispensable. Indeed, the easy availability of foreign aid postponed some vital structural changes which might have largely obviated the need for foreign aid. Sections V to VII were devoted to foreign private capital, and indicated the magnitude of foreign exchange drain due to the foreign sector, its domineering role in the organised private sector, and the new web of relationships it has woven with Indian capital. Towards the end of Section VII were examined the premises of a liberal 'open technology' policy. Sections VIII and IX appear here. Section VIII brings into focus the much wider implications of a choice of technology in the Indian context. An 'exports first' strategy, combined with a free inflow of the most advanced forms of Western technology, will, it is argued, warp the very foundation of the development process. The ninth and final section attempts a preliminary outline of an alternative policy in regard to technology.||N. K. Chandra
09/6/1973- ||------||4362699||Cloak over Remittances||-------------------------------------||
09/6/1973- ||------||4362698||Time for a Low Profile||-------------------------------------||
24/2/1973- ||------||4362339||Blind Man's Buff||-------------------------------------||
30/6/1973- ||special article||4362796||Indian Defence Expenditure in Global Perspective||There is a general trend in many parts of the world for defence outlay as a percentage of GNP to decline with the rapid growth of GNP and with the increasing spirit of detente that has developed in various traditional areas of tension. World military expenditure had been around 7 per cent of world GNP throughout the 1960s but fell to 6.3 per cent in 1970 and to about 6 per cent in 1971. This is still well above the Indian defence burden. In spite of this overall decline, in the areas immediately around India - such as Pakistan, Iran and China - there are no indications of a downward trend either in absolute terms or in terms of defence outlay as percentage of GNP. All these countries spend far above the world percentage. Even in regard to countries which are exhibiting a declining trend in their defence burdens, it is necessary to view the totality of their defence expend ture over the last two decades. A number of them have already developed certain levels of forces and presently do not find it expedient, in the light of the detente, to expand their forces or add to their military stockpiles. This appears to be the case in respect of countries like the United States, France, West Germany, Italy and Canada. The amount of defence outlay to be devoted to manage the security of a nation without unduly high expenditure is a matter of sophisticated political and economic judgment. But there is no study available in India estimating the cost to the economy of the postponed military/economic decisions due to the various uncertainties arising out of the national security Crisis of 1962, 1965 and 1971. A cost-benefit analysis of a slightly higher order of defence outlay, which might reduce the uncertainties in decision-making, would be very desirable.||K. Subrahmanyam
16/6/1973- ||------||4362728||NEPA's Lonely Failures||-------------------------------------||
28/4/1973- ||from our correspondents||4362576||Forever Dependent on Foreign Companies?||-------------------------------------||
31/3/1973- ||review of agriculture, march 1973||4362478||Take-Over without Tears?||-------------------------------------||
28/7/1973- ||from the chair||4362902||Mukand Iron and Steel Works Limited||-------------------------------------||Viren J. Shah
07/7/1973- ||from the chair||4362826||Alembic Chemical Works Company Ltd, Baroda||-------------------------------------||R. B. Amin
30/6/1973- ||from the chair||4362799||Mahindra Ugine Steel Company Limited||-------------------------------------||Harish Mahindra
06/10/1973- ||from our correspondents||4363086||Control of Inflation or Reduced Employment?||-------------------------------------||S. K. Rao
01/9/1973- ||from our correspondents||4362978||Jan Sangh's Decline Creates Political Vacuum||-------------------------------------||Balraj Puri
22/9/1973- ||from our correspondents||4363036||Passing the Buck||-------------------------------------||
17/3/1973- ||------||4362409||Menace of Speculators||-------------------------------------||
14/4/1973- ||------||4362513||Balancing Act||-------------------------------------||
07/7/1973- ||------||4362806||Crash Programme Stalled||-------------------------------------||
12/5/1973- ||from our correspondents||4362624||Public Demonstration of Internal Crisis||-------------------------------------||
13/10/1973- ||capital view||4363103||The Gloom Begins to Lift||-------------------------------------||Romesh Thapar
24/2/1973- ||from our correspondents||4362353||On Election Eve||-------------------------------------||
14/4/1973- ||from our correspondents||4362532||Troubled Protectorate||-------------------------------------||
24/3/1973- ||------||4362442||Claiming Credit||-------------------------------------||
07/7/1973- ||from our correspondents||4362817||Take-Over of Foodgrain Trade: An Alternative Institutional Framework||-------------------------------------||
09/6/1973- ||------||4362695||Fruitless Negotiations||-------------------------------------||
17/2/1973- ||from our correspondents||4362323||Pavlovian Response||-------------------------------------||
30/6/1973- ||from our correspondents||4362793||The Continuing Struggle in Vietnam||-------------------------------------||Lajpat Rai
07/4/1973- ||special articles||4362508||On Comparing Levels of Living in Different Regions||A rational concept of equivalence for comparing standards of living in two regions may not be difficult when a single consumption basket is equally representative of the goods and services purchased by households in the two regions which are to be compared. Definition of equivalence becomes more difficult, however, when the goods and services available and the household consumption patterns are quite different in the two regions. Determination of comparable groups, through an analysis of consumption at different income levels has been attempted before. Expenditure differentials between two regions have been derived through statistical analysis of Engel curves fitted to data on household expenditures on specific commodities and total outlay in the two regions. In this paper, is proposed a simple method of obtaining such expenditure differentials between two or more regions, especially when the joint distributions of the expenditures on specific items of consumption and total consumption expenditure in those regions are known.||N. Sreenivasa Iyengar,Lila Ram Jain
19/5/1973- ||from our correspondents||4362645||Preserving the Corpse of the Alliance||-------------------------------------||
30/6/1973- ||------||4362776||Politics of an Irrigation Project||-------------------------------------||
22/9/1973- ||------||4363029||Partial Solace||-------------------------------------||
14/7/1973- ||special articles||4362847||Economic Effects of Tenancy: Some Negative Results||The general impression is that tenancy is an institution which is not only detrimental to welfare but also inimical to growth. Because of lack of security and absence of sufficient incentives for and returns from investment, tenant farms are supposed to be run less efficiently than owner operated ones. The results of a systematic analysis of data taken from Farm Management sources, however, suggest that there are not very many marked differences in the input-output patterns of owner operated farms and tenant operated farms and that the latter are not run very differently from the former.||Aparajita Chakravarty,Ashok Rudra
26/5/1973- ||------||4362654||Lying Indices||-------------------------------------||
22/12/1973- ||------||4363291||Companies: Expansion Awaits 'Incentives'||-------------------------------------||Hansavivek
10/3/1973- ||from the chair||4362401||Parrys Confectionery Limited||-------------------------------------||H. V. R. Iengar
14/4/1973- ||------||4362516||Too Many Doing Too Little||-------------------------------------||
01/9/1973- ||------||4362975||Calcutta Diary||-------------------------------------||A. M.
02/6/1973- ||from our correspondents||4362687||Industrial Relations in the Public Sector: A Critique of the National Seminars||-------------------------------------||Baldev R. Sharma
14/7/1973- ||------||4362828||Science Planning||-------------------------------------||
14/7/1973- ||from our correspondents||4362843||How to Break a Strike||-------------------------------------||
06/1/1973- ||from our correspondents||4362219||Who Are the Dispossessed of Uganda? Rejoinder||-------------------------------------||R. R. Ramchandani,P. V. Mutalik-Desai
09/6/1973- ||capital view||4362703||Challenge and Response||-------------------------------------||Romesh Thapar
31/3/1973- ||------||4362462||Crash Scheme for Doles||-------------------------------------||
09/6/1973- ||------||4362697||To Save Farmer's Wealth?||-------------------------------------||
15/9/1973- ||------||4363012||Short-Sighted Remedy||-------------------------------------||
29/9/1973- ||------||4363054||The Base Remains||-------------------------------------||
29/12/1973- ||review of agriculture, december 1973||4363317||Prospects for Coarse Cereals: Permanent Constraints of Jowar and Bajra||One feature of the imbalance in Indian agriculture is the relatively poor performance or complete stagnation, of the important coarse cereals and pulses. Although serious concern has been expressed about this situation, it is seldom recognised that certain inherent weaknesses make the relatively depressed performance of these crops almost inevitable. This seems to be the case at least with regard to jowar and bajra, as is discussed in this paper.||N. S. Jodha
1/2/1973- ||from the chair||4362310||Ashok Leyland Limited||-------------------------------------||S. Ranganathan
23/6/1973- ||from our correspondents||4362761||False Hopes from Delhi?||-------------------------------------||
22/9/1973- ||from our correspondents||4363040||Clean Chits for All||-------------------------------------||
05/5/1973- ||from the chair||4362609||Guest Keen Williams Limited||-------------------------------------||K. C. Maitra
19/5/1973- ||from our correspondents||4362644||Must History Repeat Itself?||-------------------------------------||Balraj Puri
29/9/1973- ||review of agriculture, september 1973||4363068||Government Lands for Cultivation: A Case Study of Maharashtra||A major programme of assistance to the weaker sections has been to make available to these people government lands for cultivation. Since 1954 the Government of Maharashtra has distributed more than four lakh acres of land to a number of households all over the state. More than three-fourths of the distributed land has been brought under cultivation. However, the operational aspects of land distribution leave much to be desired and need comprehensive study. The present paper is an attempt in that direction.||G. R. Mulla
16/6/1973- ||special articles||4362743||Partial Integration of Agricultural and Non-Agricultural Incomes: A Suggestion||The scheme of partial integration, though well conceived, does not curb the temptation to camouflage non-agricultural income as gains from agriculture. If this temptation is to be curbed, it is necessary to amend the scheme in such a way that what the assessee may gain by way of reduction in income tax liability the loses by way of increased AHT liability. It this is done, it will no longer pay to camouflage non-agricultural income as gains from agriculture.||Ahmad Raza
14/4/1973- ||------||4362514||High-Powered Promotion||-------------------------------------||
14/4/1973- ||------||4362515||Enough of Fun and Games?||-------------------------------------||
29/12/1973- ||review of agriculture, december 1973||4363314||Perverse Priorities||-------------------------------------||
24/11/1973- ||from our correspondents||4363216||Calling All Hands||-------------------------------------||M. R.
20/1/1973- ||------||4362266||Companies: Variables in Cement Management||-------------------------------------||Hansavivek
07/4/1973- ||from our correspondents||4362502||United Front and Panchayat Elections||-------------------------------------||
21/7/1973- ||from our correspondents||4362862||Poor Defence||-------------------------------------||
31/3/1973- ||from our correspondents||4362473||Making a Scapegoat of the Opposition||-------------------------------------||
31/3/1973- ||review of agriculture, march 1973||4362483||Elite Farmer Strategy and Regional Disparities in the Agricultural Development of Pakistan||Because the overall rate of growth of agricultural production in Pakistan had outstripped the rate of growth of population, by a simplistic arithmetic of averages, there was a tendency to assume only too easily that the result was a general prosperity for all classes of farmers and for all sections of the rural population. In fact, the impact of the so-called 'green revolution' on the different strata of the rural population has been quite uneven. Because it was mainly those who cultivate large landholdings who have benefited most from the new developments and those who cultivate small holdings have benefited less, one consequence of the green revolution has been to widen disparities in income and wealth among the different strata of the rural population. It has also had the effect of widening the disparities among the regions. A further consequence of the green revolution, which follows from the secondary effects of changes in patterns of rural incomes and expenditures, is that in the case of those farmers whose physical farm output has not gone up, their real incomes have deteriorated absolutely, as result of the inflationary pressures and the greatly increased demand for manufactured consumer goods. If such complex secondary effects of the green revolution are taken into account, it is not so surprising that it was in 1968-the year in which the biggest harvests ever had been reaped - that the entire country and the countryside erupted with popular discontent on an unprecedented scale. It is only in the aftermath of that political upheaval, that the 'achievements' in the agricultural sector have begun to be reviewed afresh and some of its contradictions and paradoxes have been recognised.||Hamza Alavi
28/7/1973- ||------||4362881||The Disappearing Distinction||-------------------------------------||
29/9/1973- ||from our correspondents||4363058||Co-operatives: The True Story||-------------------------------------||
17/3/1973- ||from our correspondents||4362421||A Year of Congress Rule||-------------------------------------||
16/6/1973- ||from our correspondents||4362740||A New Era in Soviet-American Relations: The Soviet View||-------------------------------------||R. G. Gidadhubli
06/1/1973- ||------||4362209||Calcutta Diary||-------------------------------------||A. M.
05/5/1973- ||------||4362595||Calcutta Diary||-------------------------------------||A. M.
24/2/1973- ||review of management, february 1973||4362357||Indian Business and the American Management System||-------------------------------------||Reeve D. Vanneman
24/11/1973- ||review of management, november 1973||4363220||Productivity in Selected Manufacturing Industries, 1946-1965||An attempt is made in this paper to estimate productivity in selected manufacturing industries for the period 1946 to 1965. The first part of our estimate (1946-1958) covers 26 manufacturing industries and is based on the figures of the 'Census of Indian Manufactures'. The second part (1960-1965) covers 25 manufacturing industries and is based on the figures of the 'Annual Survey of Industries'. In our estimate we have accepted the most widely prevalent definition of productivity, namely, productivity of human labour, i e, "the ratio of output to the corresponding input of labour". We have, first, constructed the quantity index of output of each industry applying the 'Laspeyers' formula. Then, using the figures of 'man-hours worked', we have constructed the indices of productivity per man-hour. In our estimate, we have always taken into account the 'gross product' and not the 'net product'. The results of our estimate show that there has been a definite improvement in productivity in most of the manufacturing industries covered by our study, though no consistent or uniform pattern is noticed in the individual industries. There are also wide variations in the degree of improvement in productivity. Furthermore, there are wide and significant differences in productivity between various industries in absolute value terms.||Anil Kumar Chatterjee
21/4/1973- ||from our correspondents||4362553||Droplets of 'Socialism' and a Flood of Traditionalism||-------------------------------------||
21/4/1973- ||from our correspondents||4362555||Making Confusion Worse Confounded||-------------------------------------||
10/11/1973- ||special articles||4363179||The Palestine Liberation Movement and Arab Regimes: The Great Betrayal||Every Arab regime has given verbal support to the Palestinian cause. And every Arab regime has used that cause to further its own domestic political prospects and to out-manoeuvre neighbouring regimes in the Byzantine game of intra-Arab politics. This is a record of that series of betrayals.||Mehmood Hussain
12/5/1973- ||from our correspondents||4362628||The 'Cycle of Violence' in West Asia||-------------------------------------||Bhabani Sen Gupta
22/9/1973- ||------||4363031||The Real Test||-------------------------------------||
06/1/1973- ||------||4362203||Sad Story of Crash Programmes||-------------------------------------||
15/12/1973- ||------||4363270||Calcutta Diary||-------------------------------------||A. M.
09/6/1973- ||from our correspondents||4362706||More Moonshine on Employment||-------------------------------------||
06/10/1973- ||special articles||4363093||The North Eastern Council: Some Political Perspectives||On the face of it, it is difficult to see the rationale behind the formation of the North Eastern Council which came into existence on August 1, 1972 and was formally inaugurated by the Prime Minister on November 7, 1972. If, after the reorganisation of the North Eastern region, it was considered necessary to have a co-ordinating body for this region, a Zonal Council in terms of Articles 15-22 of the States Reorganisation Act of 1956 could have been formed. But, apparently, it was thought that this would not have met the 'special' requirements of the North Eastern region. Hence the North Eastern Council, was constituted under a separate Act of Parliament. The North Eastern Council seeks not merely to usurp the limited powers of the states, but to totally replace the authority of the states by the Centre, especially by the most active repressive organs of the Centre. What is sought to be achieved is not so much the whittling down of the powers of the states of the region but their reduction to a state of total impotence. Evidently it is not considered enough to secure even such total administrative control of the North Eastern region. The current efforts of the Congress party to spread its influence - through all available means - should be seen as an attempt to round off the process by acquiring total political control as well.||M. S. Prabhakar
10/3/1973- ||------||4362393||Wrong Predication||-------------------------------------||
24/2/1973- ||review of management, february 1973||4362358||R and D, Marketing, and Social Goals||One of the central objectives of the Fifth Plan Approach is the eradication of the worst forms of poverty. Thus, if the content and distribution of GNP, rather than absolute increases in per capita national income, are to be the focus of planned development, certain implications follow for the country's research and development effort and marketing structure. This paper attempts to analyse these implications for the innorative chain. It also suggests certain changes, including in process strategies, for increasing the probability of the new goals being achieved.||R. S. Ganapathy
15/12/1973- ||from our correspondents||4363275||Cost of Political Sub-Soil||-------------------------------------||
02/6/1973- ||from our correspondents||4362683||The Bandh - and After||-------------------------------------||D. N.
17/11/1973- ||capital view||4363188||A Passing Phase?||-------------------------------------||Romesh Thapar
20/1/1973- ||------||4362257||Designed for Crisis||-------------------------------------||
28/7/1973- ||------||4362887||Calcutta Diary||-------------------------------------||A. M.
12/5/1973- ||from our correspondents||4362627||Apolitical Opportunism||-------------------------------------||Sumanta Banerjee
10/3/1973- ||from our correspondents||4362396||Organising the Landless in Shahada||-------------------------------------||P. B.
01/9/1973- ||from our correspondents||4362976||Planning Commission Has Few Listeners||-------------------------------------||
24/11/1973- ||from our correspondents||4363217||What's Left in Pakistan?||-------------------------------------||T. A.
21/7/1973- ||------||4362853||Whose Ark for the Deluge?||-------------------------------------||
20/1/1973- ||------||4362256||End of Heroics||-------------------------------------||
23/6/1973- ||------||4362745||Holidaying in Srinagar||-------------------------------------||
10/11/1973- ||from our correspondents||4363174||The Curse of the CRO||-------------------------------------||
13/1/1973- ||from our correspondents||4362243||A Time for Darshan||-------------------------------------||
15/12/1973- ||------||4363269||Companies: By Judicial Sanctions and Commanding Positions||-------------------------------------||Hansavivek
29/9/1973- ||from the chair||4363073||The Mettur Chemical and Industrial Corporation Limited||-------------------------------------||S. Narayanaswamy
01/9/1973- ||from our correspondents||4362981||Neo-Colonially Induced Stability||-------------------------------------||M. R.
06/1/1973- ||------||4362204||Long on Promises||-------------------------------------||
10/11/1973- ||------||4363159||Why Have Licensing?||-------------------------------------||
22/12/1973- ||------||4363287||Election Bonanza||-------------------------------------||
24/11/1973- ||------||4363205||All for the Plan||-------------------------------------||
30/6/1973- ||from our correspondents||4362785||Going the Whole Hog!||-------------------------------------||
17/2/1973- ||------||4362318||Expanding Expansions||-------------------------------------||
25/8/1973- ||special articles||4362958||Centre-State Financial Relations: IV-Three Possible Alternatives||This is the fourth in the series of articles discussing different aspects of financial relations between the Centre and the states in the context of the work of the Sixth Finance Commission. The first article (May 12) examined the scope of the Finance Commissions under the Constitution and brought out that the Constitution gives the Commissions the maximum freedom to operate in the areas under their purview. The second article (June 23) reviewed the approach of the Finance Commissions which have reported so far to the question of resources transfers between the Centre and the states. The third article (July 21) sought to offer some ideas about how the Sixth Finance Commission may make a departure from the gap-filling approach to Centre-state financial relations adopted by earlier Commissions. The present article poses three possible alternative approaches for the Sixth Finance Commission.||
16/6/1973- ||------||4362726||Chronology of Mismanagement||-------------------------------------||
17/11/1973- ||------||4363182||Credit Policy||-------------------------------------||
22/12/1973- ||special articles||4363299||Vagaries of Soviet Wheat Production||It is a myth to hold that the recent wheat shortage is about to lead to the collapse of the Soviet agricultural system. The Soviet wheat problem is mainly due to wide fluctuations in annual production levels. These fluctuations are not caused by the climatic factor alone. Soviet wheat production is also affected by shortfalls in the supply of various agricultural inputs, by the prevailing cropping pattern and by low income returns from wheat cultivation. On the demand side, the Soviet Union has an unusually high per capita consumption of wheat and a large quantity of wheat is also used as animal feed. Wastage and export commitments further reduce domestic wheat availability. Despite these constraints, the Soviet Union is normally a net exporter of wheat.||R. G. Gidadhubli
22/12/1973- ||from our correspondents||4363294||Foreign Policy Platitudes||-------------------------------------||M. R.
26/5/1973- ||from our correspondents||4362665||Lessons of Common Agricultural Policy||-------------------------------------||
07/4/1973- ||from our correspondents||4362501||Akalis on Warpath||-------------------------------------||
06/1/1973- ||------||4362213||Companies: Niceties of Control||-------------------------------------||Hansavivek
10/3/1973- ||special articles||4362404||Initial Depreciation Allowance: A Note||-------------------------------------||N. J. Jhaveri
13/1/1973- ||special articles||4362253||Students and Policemen: Image and Counter-Image||The results of this survey tend to confirm the widely-held view that students and policemen are generally antagonistic to each other. This could be for a number of reasons, but in the sample dealt with here the hostility between the students and the policemen seems to be connected with the totally different social, economic and educational backgrounds of these two groups. It is not, therefore, very surprising that 78 per cent of the policemen questioned thought that students were basically a rowdy and unruly mob and only 21 per cent of the students had nothing negative to say about the police. However, large sections in both groups blamed meddlesome politicians or the university authorities for student-police clashes and were generally cynical about their social environment.||C. P. Bhambhri,Kuldeep Mathur
1/2/1973- ||the political frame||4362291||Dominance with a Difference: Strains and Challenges||After an interval between 1967 and 1971, there has been a re-emergence of one party dominance, though this does not quite amount to the restoration of the old familiar model. This new version of one party dominance faces several strains and challenges arising mainly from failures in competitive mechanics, in economic performance and in party-building. Given these problems, and in view of the changed national context and goals, how long will this system remain functional for Indian politics?||Ram Joshi,Kirtidev Desai
08/12/1973- ||from our correspondents||4363253||Helpful and Unhelpful States||-------------------------------------||G. P. Deshpande
21/7/1973- ||from our correspondents||4362865||Power without Responsibility||-------------------------------------||R. S. Ganapathy
03/3/1973- ||from our correspondents||4362382||Suppressing the African Worker||-------------------------------------||Africanist
1/2/1973- ||approaches to the approach||4362303||Progress at Tortoise Pace||The 5.5 per cent growth rate envisaged in the Approach to the Fifth Plan is clearly inadequate to meet the Planning Commission's "minimum subsistence for all" objective. As in the past, it will be impossible to reduce the disparity in the pattern of income distribution. In fact, the talk of such redistribution in the Approach document is intended to gloss over the Planning Commission's failure to face the tasks of production boldly. Evidently, the poor must remain poor - until they become public sector managers.||Phiroze B. Medhora
03/3/1973- ||------||4362368||Dethroning Gold||-------------------------------------||
29/12/1973- ||------||4363308||Companies: Profit down, Dividend Intact||-------------------------------------||Hansavivek
02/6/1973- ||from our correspondents||4362688||At Pathet Lao Headquarters||-------------------------------------||Harish Chandola
25/8/1973- ||------||4362937||Happy States, Hapless Peoples||-------------------------------------||
31/3/1973- ||from our correspondents||4362476||Buffer Apprehensions||-------------------------------------||M. R.
06/1/1973- ||special articles||4362226||On 'Feudal' Modes, Models and Methods of Escaping Capitalist Reality||-------------------------------------||Andre Gunder Frank
21/7/1973- ||special articles||4362873||Partial Integration of Agricultural and Non-Agricultural Incomes: A Comment||-------------------------------------||
05/5/1973- ||capital view||4362596||The 'Legal Situation'||-------------------------------------||Romesh Thapar
28/7/1973- ||from our correspondents||4362890||Famine Conditions in Maharashtra: A Survey of Sakri Taluka||-------------------------------------||Sharad Patil
25/8/1973- ||------||4362936||Terrorising the Adivasis||-------------------------------------||
23/6/1973- ||------||4362755||Companies: Tax-Payer, at Last||-------------------------------------||Hansavivek
07/7/1973- ||from our correspondents||4362818||Naxalites' Search for Unity||-------------------------------------||
17/3/1973- ||------||4362411||Public Design for Private Assembly?||-------------------------------------||
21/4/1973- ||------||4362544||1949, with a Difference||-------------------------------------||
08/9/1973- ||from our correspondents||4362997||Organising the Peasants in a UP Village||-------------------------------------||
17/3/1973- ||special articles||4362432||The Wild Life (Protection) Act of 1972: A Critical Appraisal||The grant of statutory protection from being hunted, trapped or otherwise directly harassed, which is what is practicable in an act, will go only some way towards conserving our fauna, even in sanctuaries. All human activities that are not directed at the fauna with hostile intent (like hunting) but which have a no less depletive potential (such as deprivation of habitat, overmuch disturbance by humanity, competition for fodder by domestic animals being permitted to graze in the preserve and the risk of such cattle conveying epidemic diseases to the wild herbivores) must be eliminated from a sanctuary area before the word 'protection' can have any value in actuality, and this cannot be achieved entirely by a comprehensive enactment adopted by all states, but also needs the co-operation of the people and the governments in other ways, even the reorientation of the attitude of most of our state governments towards their forests. For these reasons, we cannot expect the Wild Life (Protection) Act of 1972 to be fully comprehensive in its scope and application: it can, at best, prohibit direct aggression towards certain animals wherever found, provide punitive sanctions for breaches of such prohibitions, lay down that in preserves, in addition to the prohibition or direct aggression towards the animals, certain human activities should be barred, and provide for adequately diminishing, or extinguishing altogether, existing human rights in the area. An act can also prescribe or specify the administrative set-up necessary for the fulfilment of its objectives and provide for contingencies and specify exceptions. The Wild Life (Protection) Act does all this, but not always with that informed awareness of our wildlife crisis that one might reasonably expect of it, and not without the weakness of an avoidable provision for compromise. Nor is it wholly free from formal deficiencies.||M. Krishnan
01/12/1973- ||------||4363232||Dormant Indo-Soviet Collaboration||-------------------------------------||
22/12/1973- ||------||4363282||Confusion with a Purpose||-------------------------------------||
10/3/1973- ||------||4362394||Calcutta Diary||-------------------------------------||A. M.
06/1/1973- ||from our correspondents||4362215||Retraining the Guns||-------------------------------------||
17/2/1973- ||from our correspondents||4362326||A Year of Disillusionment||-------------------------------------||
