22/4/1967- ||special articles||4357840||China: End of Act One?||Recently in some analyses of the latest developments in China's Cultural Revolution an attempt has been made to show that Mao Tse-tung is after all retreating. The so-called "three-way alliance" between the revolutionary rebels, the People's Liberation Army and the Party cadres is, it is suggested, really a face-saving device. A close examination of recent writings in the "Red Flag", the Party's theoretical journal, however indicates, according to the author, that this view is incorrect. The tone and mood of the writings make it clear that Mao Tse-tung is in no mood to compromise. Nor does it seem possible that he would be forced to compromise.||G. P. Deshpande
14/1/1967- ||special articles||4357473||The Plough and the Bomb: Contradictions in the Chinese Economy||Would China's economy have done better if large quantities of different resources had not been diverted to the nuclear weapons programme? The question has been asked by students of Chinese affairs. Has it been asked in China too? There is no evidence to suggest that there has been any serious difference of opinion in the Chinese Communist Party over China's compelling need, in view of the hostility of the United States and the Soviet Union, to have a nuclear deterrent. But differences appear to have arisen over the pace of China's race to nuclear capability. In February 1965 Edgar Snow reported Mao Tse-tung as having told him that it would be enough for China to make a few bombs for scientific experiment. Since then, however, Mao seems to have accepted the military demand for a well-equipped nuclear arsenal. What is the nuclear weapons programme costing the Chinese economy?||C. S.
9/9/1967- ||------||24477977||STATISTICS||-------------------------------------||
1/2/1967- ||some tributes to sachin chaudhuri||4357522||Genius for Friendship||-------------------------------------||Ian M. D. Little
5/8/1967- ||from the chair||24478053||The Oriental Fire and General Insurance Co Ltd||-------------------------------------||M R Bhide
25/3/1967- ||business notes||4357743||Maharashtra Sugar||-------------------------------------||
15/4/1967- ||business notes||4357822||United Bank of India||-------------------------------------||
08/4/1967- ||weekly notes||4357780||Employment: In the Penumbra||-------------------------------------||
22/7/1967- ||weekly notes||24478127||Give the States Some Foreign Exchange||-------------------------------------||
1/8/1967- ||new beginnings in planning||24477862||Incomes Policy in Developing Countries||If an internally consistent and balanced plan is formulated and implemented, is there any need for an incomes policy in a developing economy like India? There are two reasons, it is argued here, why a well-formulated incomes policy is necessary if the objectives of the development plan are to be realised in a mixed economy. First, an incomes policy ensures that the pattern of money income generated is consistent with the plan, and second, it further ensures that the objective of reducing consumption disparity is attained. Indeed, the need for an incomes policy is much more urgent in a planned developing country. Also, an incomes policy for a developing country has to be evolved in a wider perspective and would require for its implementation guidelines and instruments different in character from those in a developed country. This paper attempts to elucidate the role of incomes policy in a planned process of development, to discuss the question of guidelines for an incomes policy, and to suggest the major policy instruments and machinery required for operating an incomes policy.||V V Bhatt
24/6/1967- ||weekly notes||4358078||Costly Advice||-------------------------------------||
1/2/1967- ||some tributes to sachin chaudhuri||4357521||Ideal Indian||-------------------------------------||Nicholas Kaldor
12/8/1967- ||business notes||24482682||National Ekco||-------------------------------------||
8/7/1967- ||business notes||24477942||Codification of Parliamentary Privileges (From a Correspondent)||-------------------------------------||
1/2/1967- ||some tributes to sachin chaudhuri||4357507||New Dimension to Journalism||-------------------------------------||M. L. Dantwala
8/7/1967- ||around bombay markets||24482777||Gloom Deepens||-------------------------------------||
13/5/1967- ||business notes||4357936||Jessops Face Adversity||-------------------------------------||
9/9/1967- ||------||24477950||Sulphurous Ammonia Refused||-------------------------------------||
03/6/1967- ||weekly notes||4358001||Disintegrating Nigeria||-------------------------------------||
16/9/1967- ||special articles||24477999||Government Operations in Foodgrains||The Government of India's foodgrain operations in the last 16 years have failed to achieve everyone of their objectives. Growth of average consumption has not been stabilised; imports have not been minimised; marketed surplus has not been socialised; and the poorer sections of the population have not been provided their minimum requirements. If the objectives of Government operations in foodgrains had been clearly defined and the extent of the operations quantitatively determined, much progress would have been made by now towards their realisation. Per capita consumption, instead of being allowed to fluctuate widely from year to year with fluctuations in output, could have been stabilised at a reasonable level. Instead of talking endlessly of self-sufficiency and actually importing 64 million tonnes of foodgrains over the period, a steadily growing consumption could have been sustained with half that quantity of imports. Instead of promising to nationalise the entire marketed surplus and in fact obtaining only 8 per cent of it, the Government could have gradually come to acquire a little more than half of it. Instead of trying to introduce universal rationing on a widespread scale and keeping it always on the brink of collapse, the Government could have deliberately decided to supply foodgrains to the most deserving one-quarter of the population through its distribution network. Finally, instead of making frequent announcements of the intention to have a buffer stock without ever having one, the Government could have built an adequate reserve with small additional imports earmarked for the purpose. Unless there is a dramatic increase in the long run growth rate of foodgrains production, the execution of a coherent government programme to achieve the four objectives of steady growth of consumption, fair price distribution, socialisation of the marketed surplus and self-sufficiency will be necessary — and possible. An average consumption of 15.8 ounces per capita can be sustained and low income families assured of their needs with strictly limited imports of not more than 7 million tonnes in the next four years.||Raj Krishna
25/11/1967- ||markets||24478344||Up and Up||-------------------------------------||
2/12/1967- ||agriculture||24478478||A Word of Warning on Hybrids||-------------------------------------||B V Nimbkar
1/2/1967- ||focus on development||4357553||Perspectives on External Assistance||Economic development of the underdeveloped countries is not merely an economic process; it is an integral part of a wider social process of nation building. Further, this process of nation building is interrelated with the process of evolving an international community. International development assistance should be viewed as an instrument to facilitate and accelerate the pace of both these processes in a peaceful, stable and democratic environment. External assistance policies, therefore, should be framed and implemented within this broad perspective. The developing countries are likely to need international assistance for the next 30 to 40 years. For assistance to be effective in enabling them to generate a viable development process it should be assured for a long enough period so that it can be effectively integrated with their development strategies. The terms and conditions of assistance should be fixed keeping in view the objective of generating self-sustained growth in the developing countries. The United Nations Development Programme can play a vital role in evolving the appropriate machinery for assisting the developing countries not only in formulating plans and strategies but also in formulating projects and in evaluation, technical research and manpower planning. Such assistance by the United Nations would ensure the soundness of plans and projects. Development assistance policies can then be evolved on the basis of objective criteria and the developed countries would have adequate assurance of proper utilisation of assistance. The ultimate viability of the growth process in the developing countries depends on the success of these countries in increasing their industrial exports. Their efforts in this direction would be facilitated if the developing countries assist them by (a) carrying out mutually advantageous structural transformation in their own economies; (b) giving preferential treatment to imports of industrial goods from the developing countries; (c) linking interest and amortisation receipts on their external assistance to trade in industrial goods among the developing countries; and, (d) permitting the developing countries to use aid for purchases from other developing countries.||V. V. Bhatt
14/10/1967- ||------||24478159||Bilateral Monologue||-------------------------------------||
1/2/1967- ||focus on development||4357569||Weakest Link in Fertiliser Programme||It is pointless to talk of the fertiliser problem since the problems which face the three types of fertilisers nitrogen, phosphorous and potash-are distinct and have to be discussed separately. Too much attention has been focussed on nitrogenous fertilisers whereas the real problem facing us is the shortage of sulphur which threatens to hamstring the production of phosphorous. For, if fertilisers are to have the maximum impact on agricultural yields, they have to be administered in a complex, granular, water-soluble form incorporating nitrogen, phosphorous and potash. So even if we establish the planned capacity for nitrogen, the fertiliser programme will fail unless we give urgent thought to reducing our dependence on imported sulphur. The most practical way of doing this would be to turn to the production of phosphoric acid from rock phosphate by the electro-thermal process. This is a well-known process and is in use in many countries. Why then, have we not thought of trying it in India?||A. Gupta
16/9/1967- ||------||24478012||STATISTICS||-------------------------------------||
14/1/1967- ||weekly notes||4357464||Hedging on Power||-------------------------------------||
06/5/1967- ||weekly notes||4357891||Some More Advice- and Aid?||-------------------------------------||
18/3/1967- ||business notes||4357719||E I D-Parry||-------------------------------------||
1/8/1967- ||------||24477838||Time for Action||-------------------------------------||
22/7/1967- ||special articles||24478144||Small-Scale Tailoring Industry: A Type Study||This paper attempts to study certain aspects of the economics of small-scale tailoring enterprises in the Baranagar Municipality area in Culcutta. The data, collected by the interview method, throws light on the types and value of fixed assets, the number of workers employed, the categories of workers and their wages, the quantity and value of inputs, the value of output and productivity per worker.||B Dey
13/5/1967- ||weekly notes||4357918||No Easy Cure for Sick Mills||-------------------------------------||
01/4/1967- ||special articles||4357764||Dr. Mann's Contribution to Science and Agriculture||-------------------------------------||F. C. Bawden
20/5/1967- ||commodities||4357969||Record Cotton Requisitioning||-------------------------------------||
1/2/1967- ||perspective on the general election||4357551||MPs as Nation-Builders||"Nation-formation is a political function of all nation-states... In India the status and conditions of national integration are visible in the connection or disjunction between decisions in the Lok Sabha on the one hand and relations of MPs with their constituents on the other". In this article the author examines the role of the Members of Parliament belonging to the ruling party and the opposition in establishing channels of communication between their constituents and decision-makers, in articulating needs of the former and influencing the policies of the latter. Nation-building, the author argues, is not some special activity that the Members of Parliament undertake. It is rather by performing their customary functions-of representing their constituents' interests and influencing policy and administrative decisions-that they contribute significantly to the nation-building process. The author examines the extent to which these processes have crystallised in India, the forms they take, and the problems they pose. The article is based on the author's first-hand study of MPs carried out in Delhi during 1963-64.||Henry C. Hart
1/8/1967- ||------||24477841||The Political Watershed and After: Cameralist||-------------------------------------||
25/3/1967- ||commodities||4357745||A Gujarat Ban Again?||-------------------------------------||
10/6/1967- ||business notes||4358047||Escorts||-------------------------------------||
14/1/1967- ||in the press||4357468||Hill Tribes Have Few Friends||-------------------------------------||
24/6/1967- ||weekly notes||4358082||The Rock of Gibraltar||-------------------------------------||
23/12/1967- ||special articles||24478314||The Indian Manager in Search of a Style||The great majority of Indian managers today are first generation businessmen. They operate in a society in which business has not been honoured by tradition. So, while the scope for initiative and the salaries have attracted talent into industry and while professionalism in management is on the increase, the Indian manager is still in search of a style. This is a critical juncture in the history of professional management in India because the styles set today will determine the quality and fate of industry tomorrow. The manager has first to believe in his cause and in the particular contribution he can make to his country's development. But such belief will have to be sustained by distinct professionalism. He will have to comprehend and use the tools of business management which make business today far less hunch-based than before. But even the efficient manager will not convince or be emulated unless he has his roots in society. If the Indian manager sets himself up in an atmosphere distinctly alien to the average Indian, he may earn distant admiration but will fail to convey his full message.||Arabinda Ray
25/2/1967- ||commodities||4357646||Discontent on Cotton Imports||-------------------------------------||
11/3/1967- ||weekly notes||4357678||Where Congress Is Still Safe||-------------------------------------||
25/3/1967- ||weekly notes||4357732||Nations in the Making?||-------------------------------------||
14/1/1967- ||special articles||4357474||On Not Sticking to One's Last||-------------------------------------||Arthagnani
06/5/1967- ||business notes||4357909||Atul Products||-------------------------------------||
5/8/1967- ||official paper||24478040||Planning Metropolitan Transport||-------------------------------------||Shirish B Patel
18/2/1967- ||commodities||4357621||Elections Have Impact on Oilseeds||-------------------------------------||
22/4/1967- ||commodities||4357851||Inadequate Multiplier||-------------------------------------||
1/2/1967- ||the contemporary scene||4357541||The Meaning of Menon||-------------------------------------||Mohit Sen
21/10/1967- ||from our correspondents||24478078||Between Inertia and Uncertainty||-------------------------------------||
23/12/1967- ||tea||24478312||Quality in Danger||-------------------------------------||Lelanipunan
29/4/1967- ||business notes||4357882||Phosphate Company||-------------------------------------||
07/1/1967- ||weekly notes||4357438||Retiring Civil Servants||-------------------------------------||
28/10/1967- ||business||24478859||Fishing for Export||-------------------------------------||
29/7/1967- ||special articles||24478886||Towards a Policy for Education?||The Education Commission has presented an overall and aggregative analysis of problems of educational policy. However, for action in particular areas and especially in the different States it may be more useful to have a number of disaggregated analyses. A national educational policy, such as the one that the Union Minister of Education is trying to evolve, should take the form either of a general declaration on national ideals and intents or, better, of a co-ordination of a large number of State and regional educational policies emerging from divergent economic and social conditions as well as political and ideological preferences. The comments made in this article on some of the major proposals discussed by the MPs' Committee on Education are, therefore, subject to many regional and local variations.||Sureshachandra Shukla
22/7/1967- ||weekly notes||24478134||S T C Between Foe and Friend||-------------------------------------||
10/6/1967- ||weekly notes||4358029||D A Linked to Cost of Living||-------------------------------------||
11/2/1967- ||special articles||4357588||Importance of Cultivating the Overseas Chinese||Although we have only a small community of Chinese in India, we have to take notice of the overseas Chinese in South-East Asia. Our attitude to the question of overseas Chinese in this area can be an important factor in our relations with the governments of the countries which have large Chinese populations. More important, the overseas Chinese can be an important source of contact with China. The Chinese Government may be peculiarly impervious to what goes on in the world, but it keeps in close touch with the overseas Chinese. The overseas Chinese in turn know a little of goings in China beyond what appears on wall posters in Peking. Overseas Chinese live in countries where a certain amount of freedom of association and expression are allowed. It should be possible, therefore, to establish contact with them. In doing so we would be establishing contact, though at one remove, with mainland China.||Sankar N. Maitra
5/8/1967- ||weekly notes||24478026||War in Vietnam||-------------------------------------||
2/12/1967- ||from our correspondents||24478476||The Jotedars' Coup||-------------------------------------||
11/2/1967- ||weekly notes||4357581||Takeover of Banks in Tanzania||-------------------------------------||
1/2/1967- ||some tributes to sachin chaudhuri||4357494||An Unfinished Symphony||-------------------------------------||B. N. Ganguli
7/10/1967- ||from the chair||24478224||Indian Oil Corporation Limited||-------------------------------------||N N Kashyap
15/7/1967- ||special articles||24478033||The Language Problem||Our language problem has two aspects One relates to the medium of instruction and examination in schools and universities and the other concerns the choice of a national language. The first is a problem of education, while the second is essentially a political problem. It looks as if the second aspect of the problem is assuming greater importance. Most of the controversies on the language issue for the last twenty years or so have centred on the need for a link language in the context of national integration. As an educationist, I am naturally more interested in the choice of medium of instruction and examination. I shall, therefore, confine myself primarily to this aspect of the problem, even though I feel that in the process of the solution of this problem one can, if one is rational, find a clue to the solution of the other problem, too.||A K Dasgupta
28/10/1967- ||markets||24478854||Shortage — Acute But Temporary||-------------------------------------||
1/2/1967- ||some tributes to sachin chaudhuri||4357512||A Vibrant Personality||-------------------------------------||Manubhai Shah
5/8/1967- ||around bombay markets||24478057||Hardening Tendency||-------------------------------------||
12/8/1967- ||special articles||24478114||Shifting of Tax by Companies: A Comment||-------------------------------------||G Narayanan
14/1/1967- ||commodities||4357482||Hard-Hitting Measures for Jute||-------------------------------------||
16/9/1967- ||------||24477989||ARC Out of its Depths||-------------------------------------||
2/12/1967- ||business||24478488||The Case for Slaughter||-------------------------------------||
11/2/1967- ||business notes||4357594||Baroda Rayon||-------------------------------------||
30/9/1967- ||------||41626885||India Steamship Company Limited||-------------------------------------||A Ramaswami Mudaliar
11/11/1967- ||from our correspondents||24478919||It Began on October 2||-------------------------------------||
2/12/1967- ||capital view||24478474||Congress Moves to Recover Lost Territories||-------------------------------------||Romesh Thapar
07/1/1967- ||business notes||4357455||Delhi Cloth Mills||-------------------------------------||
07/1/1967- ||commodities||4357456||FMC Increases Pressure||-------------------------------------||
1/8/1967- ||------||24477839||Gaps in Big Power System||-------------------------------------||
25/11/1967- ||------||24478352||STATISTICS||-------------------------------------||
11/11/1967- ||------||24478906||Mutual Reassurance in Moscow||-------------------------------------||
9/9/1967- ||markets||24477973||Castor Futures Scandal||-------------------------------------||Nishtar
29/4/1967- ||business notes||4357880||Tata Fision||-------------------------------------||
18/11/1967- ||------||24478416||Foothold for Honeywell||-------------------------------------||
2/12/1967- ||business||24478490||Strike Proves a Blessing||-------------------------------------||
25/3/1967- ||------||4357748||[Statistics]||-------------------------------------||
9/9/1967- ||business||24477971||A Bright Year for Polychem||-------------------------------------||
14/10/1967- ||business||24482687||Ashland in Copper||-------------------------------------||
18/2/1967- ||commodities||4357620||Hopes High on Decontrol||-------------------------------------||
9/9/1967- ||special articles||24477965||New Proposals for Anthropologists||From the beginning anthropologists have inhabited a triple environment involving, first, loyalties to the people they studied; second, to their colleagues and their science; and, third, to the powers who employed them in the universities and who funded their research. In many cases anthropologists now seem to be in danger of being torn apart by the conflicts between the first and the third set of loyalties. On the one hand, part of the non-western world is in revolt, especially against the American government as the strongest and the most counter-revolutionary of the western powers. On the other hand anthropologists are becoming increasingly subject to restrictions, unethical temptations and political controls from the U S Government and its subordinate agencies. The question is: what does an anthropologist do who is dependent on a counter-revolutionary government in an increasingly revolutionary world?||Kathleen Gough
12/8/1967- ||from the london end||24478109||A Sterile Freeze||-------------------------------------||
22/4/1967- ||a calcutta diary||4357837||The Axe Falleth Softly||-------------------------------------||Flibbertigibbet
18/11/1967- ||from our correspondents||24478424||Swell of Peasant Discontent||-------------------------------------||
9/9/1967- ||special articles||24477964||What Kind of Democracy in India? Case for the Presidential System||The Indian Constitution has modelled the Central Government on the British pattern. But how relevant is the British pattern to India, considering the size and diversity of India's population? The Indian Prime Minister, elected from one constituency and without a national mandate, cannot represent the whole nation; and the inevitable polarisation and factionalism in the ruling party weakens the Prime Minister by requiring that he satisfy the various factions in the choice of his ministers. The country needs a Government which not only represents but also achieves results. It needs a strong, unified and purposeful Government which can make the most of its material and human resources.||C M Belliappa
12/8/1967- ||special articles||24478113||Soviet Price Reform Controversy and Its Relevance for India||Since 1956 a vigorous discussion has been going on among Stalin's successors on Soviet planning techniques with a view to achieving greater economic efficiency. Apart from laying stress on greater decentralisation of planning, the discussion has centred on price reform, in the debate on which several Soviet economists have taken part. There was a provisional resolution of the controversy in 1963. The Soviet industrial price revision was supported and popularised by Evsei Liberman and other Soviet economists and dubbed as capitalist profit-orientation by many western as well as Chinese economists. In this brief article the author attempts to examine the views of the three main schools of Soviet economists on price reform and tries to find out the relevance of some of their views on administered price system of the public sector to the so-called socialist pattern of the Indian economy.||Bireshwar Ganguly
28/10/1967- ||------||24478831||The Admirable Candidate||-------------------------------------||
18/3/1967- ||in the press||4357710||Governor in the Dock||-------------------------------------||
28/10/1967- ||------||24478829||Credit Policy Rut||-------------------------------------||
31/12/1967- ||------||24478463||INDEX: Vol II Nos 26 - 52, July - December 1967||-------------------------------------||
11/3/1967- ||commodities||4357697||Bright Spot in Cotton||-------------------------------------||
1/8/1967- ||the states||24477848||Away from It All||-------------------------------------||Flibbertigibbet
7/10/1967- ||capital view||24478206||Possibilities, Pummellings and Paralysis||-------------------------------------||Romesh Thapar
21/10/1967- ||business||24478092||Verdict on Octroi||-------------------------------------||
17/6/1967- ||weekly notes||4358053||Licensing Changes after the Monsoon||-------------------------------------||
23/12/1967- ||------||24478303||Tragic Encore at Rakha||-------------------------------------||
18/11/1967- ||------||24478418||Ore Exports: Not Simply by Contract||-------------------------------------||
1/8/1967- ||the states||24477845||Kerala's Travail||-------------------------------------||
06/5/1967- ||weekly notes||4357890||Imports for the Asking||-------------------------------------||
1/2/1967- ||------||4357557||India and the 'Tourist Year'||-------------------------------------||
23/9/1967- ||------||24478237||Aftermath of Devaluation||-------------------------------------||
18/11/1967- ||business||24478432||Siemens Centenary||-------------------------------------||
8/7/1967- ||special articles||24477937||Planning for Self-Sufficiency in Foodgrains||This is a study of India's immediate and longer-term food supply problems. The author does not consider it likely that population control will have a significant impact on population growth rates in India before 1985. If foodgrain self-sufficiency is to be attained, he estimates, foodgrain production will have to reach 113 million tons in 1971 and 136 million tons in 1976. Assuming an output of 87.4 million tons in 1967, self-sufficiency in 1971 will call for a rate of production increase of 6.8 per cent per year and self-sufficiency in 1976 for a rate of increase of 5 per cent, against the annual rate of increase of 2.4 per cent achieved over the past 14 years. With arable land increasing by only 0.44 per cent annually, even a 5 per cent per annum rate of growth of foodgrain output would require an increase in yield per hectare of 1.91 per cent per year. From a measurement of India's foodgrain problem, the author proceeds to examine whether our foodgrain production plans are realistic. He then makes his own assessment of how fast foodgrain yield can be increased in India and discusses the promise of improved seed varieties and fertiliser with assured irrigation and the principal elements of land utilisation. He recognises the economic limits to high fertiliser intensity and considers the all-important question whether the farmer will utilise his full production potential. Finally, the capital costs of achieving foodgrain self-sufficiency are estimated both in term of domestic investment and requirements of imports and foreign aid. Publication of this paper, it is hoped, will provoke controversy and elicit discussion on these vital aspects of our food production plans.||Willem Holst
04/3/1967- ||special articles||4357659||Small Thoughts on the Elections||The General Elections were full of surprises, and at the moment we are all tempted to indulge in rather grand speculations on their implications. We tend to think that the electorate has registered a massive vote of protest against the Congress; we wonder about the governments of States where the Congress has lost its majority; and in our flightier moments we also feel like speculating on the future of parliamentary democracy in the country. All these thoughts are misplaced. Things have changed much less than we think, and they will continue to be the same much more than we think.||Ashok V. Desai
07/1/1967- ||------||4357447||Development of Industrial Statistics||-------------------------------------||
16/9/1967- ||the fourth estate||24477997||Much Excitement, No Lament||-------------------------------------||
1/2/1967- ||sachin chaudhuri's writings: a selection||4357534||Without Aid, If Need Be||-------------------------------------||Sachin Chaudhuri
04/3/1967- ||weekly notes||4357654||A Realistic Plan for Calcutta||-------------------------------------||
03/6/1967- ||special articles||4358012||Housing the Rich in Delhi||B V Krishna Murti's article on "Power Elite Planning for People's Welfare" (May 27, 1967) should make all thinking persons sit up and ponder seriously over the fate of the millions in this country. Krishna Murti's exercise is for the country as a whole. The picture painted by him may be even darker if some micro-studies are made on the lines of his analytical framework. I wish to briefly comment with the help of some data on Delhi on only one of the many aspects touched by Krishna Murti in his paper, namely, housing.||Ashish Bose
1/2/1967- ||the contemporary scene||4357547||The Sparring Begins||-------------------------------------||
20/5/1967- ||special articles||4357961||Corporate Taxation in India: Some Aspects||Liberal investment allowances, as allowed under our system of corporate taxation, combined with high marginal tax rates go to subsidise non-profitable investment. Besides, tax subsidies related to the cost of equipment also distort the choice of techniques by companies. Finally, it is the established company with taxable income from its existing operations which gets the full benefit of investment allowances, whereas a new company which has a long gestation period may have to wait for many years before tax relief becomes effective. Thus investment allowances coupled with high and progressive tax rates would promote excessive investment and unwarranted mechanisation and, what is more, they would help established industries more than new products which would more often be undertaken by new companies. A tax holiday, by comparison, avoids these disadvantages of the investment allowances.||G. Narayanan
7/10/1967- ||from the chair||24478221||Industrial Finance Corporation of India||-------------------------------------||N D Nangia
14/10/1967- ||markets||24478173||Favourable Weather||-------------------------------------||
