24-12-2015||satire||---------||A Micro-primer on Corruption||If you are caught in the act, just deny it.||
24-12-2015||review of rural affairs||---------||Explaining Village-level Development Trajectories through Schooling in Karnataka :||This paper develops and explores a methodology for explaining development trajectories at the village-level. Using data from the Censuses of 2001 and 2011, and qualitative and quantitative data from three purposively selected villages in North Karnataka, it asks why literacy rates and schooling vary considerably in geographically proximate villages. In advancing an explanation, the paper attends to what has been termed the micro-macro problem in analytical sociology as well as the problem of spatial variability, neither of which has been systematically addressed in the literature on rural change in India. The data and methodology used here help identify two social mechanisms--livelihoods enhancement practices and social cooperation--which together explain why one village (Chennooru) experiences stable and higher levels of schooling relative to its neighbours where either livelihoods enhancement practices are absent (Valasooru) or there is a lack of social cooperation (Banadooru). The approach and analysis in the paper imply that attention to social mechanisms aids the crafting of more robust policies on schooling and development.||Suraj Jacob,Balmurli Natrajan,Indira Patil
24-12-2015||review of rural affairs||---------||Changing Characteristics of Villages in Tamil Nadu :||Illustrating the imaginative use of the Primary Census Abstract for Tamil Nadu from the 1991 to 2011 censuses, this paper separates villages that are chronically backward from those that are more developed in terms of demographic and economic characteristics. It also makes use of the data to describe changes in spatial distributions over time.||A Vaidyanathan,R Srinivasan
24-12-2015||review of rural affairs||---------||Dalit Mobilisation and Faction Politics in Rural Andhra Pradesh : Everyday Life of a Dalit NGO and Agricultural Labour Union||This paper explores the relations between the trajectories of Dalit assertion and of faction politics in contemporary Rayalaseema in rural Andhra Pradesh. Based on a case study of a local hybrid alliance between a Dalit NGO and a Dalit agricultural labour union, it examines how Dalit organisations deal with the state and politics at village and town levels in a context of economic and political insecurities. It shows how the decline of Dalit collective forms of mobilisation in the 2000s has reinforced feelings of disempowerment among Dalit activists who look at goondaism and bossism as concrete and direct modes of assertion. The article then investigates the ambivalent relations between Dalit agenda, individual social mobility and dependence on faction leaders.||David Picherit
24-12-2015||special articles||---------||What Is the Cost of Providing One Rupee of Support to the Poor?||The enduring equity-efficiency debate on India’s food policy revolves around two key issues—leakage of cereal grains from the system, and reduction in benefits at the extensive margin to reduce the fiscal burden. Using descriptive analysis and costing techniques, it is found that the public distribution system works well in regions with low market access, high cereal prices, and high poverty. It protects households from inflation through a price ceiling that automatically adjusts the value of the real implicit transfer. However, the biggest weakness is its one-size-fits-all approach. Even without leakages, some states will not benefit as much from such a costly cereal subsidy because of low market prices for cereals in those states. Overall, it is found that inclusivity and the possibility of leakage reduction, thereof, has the potential to deliver a net gain of $1 billion in social welfare from the status quo.||Suman Chakrabarti,Pallavi Rajkhowa
24-12-2015||special articles||---------||Narratives of Exclusion : Space, Insecurity and Identity in a Muslim Neighbourhood||Drawing from ethnographic fieldwork carried out in a "Muslim" neighbourhood in Kolkata, this paper attempts to understand the ways in which Muslim socio-spatial segregation gets constructed and maintained within the landscape of Indian cities. It argues that in the case of Kolkata, Muslim socio-spatial segregation can be viewed as an unfortunate consequence of the dual processes of bhadralok cultural prejudice against Muslims as well as the insecurity Muslims encounter on an everyday basis in the city. The restrictive and debilitating effects of exclusion based on spatial stigma, especially the ways in which they affect Muslims belonging to various socio-economic dispositions, are emphasised. Continued instances of exclusion can potentially engender a reverse assertion of identity by segregated groups who might eventually find it feasible to construct a monolithic and exclusive identity set apart from, and in opposition to, the city's mainstream.||Anasua Chatterjee
24-12-2015||special articles||---------||Poverty across Social and Religious Groups in Uttar Pradesh : An Interregional Analysis||The article is an attempt at a comprehensive understanding of regional as well as disaggregated (district-wise) patterns of poverty prevailing among social and religious groups in Uttar Pradesh by using unit level records of the 61st (2004-05) and 68th (2011-12) rounds of NSSO's Consumption Expenditure Survey. It identifies the critical regions in UP, where poverty among social and religious groups is unfairly distributed. Estimates reveal that though poverty in the state reduced by 11.50% points between 2004-05 and 2011-12, it remained quite high among Scheduled Castes (40.87%) and Muslims (34.88%), particularly in the central, southern and eastern regions of the state. The study also attempts to gauge the causes for the unequal distribution of poverty among social and religious groups in the state and goes on to suggest that region specific and group specific development programmes may be more effective in alleviating poverty among social and religious groups.||Akarsh Arora,S P Singh
24-12-2015||notes||---------||Deepening Regional Integration : Bangladesh, Bhutan, India, Nepal Motor Vehicle Agreement||In a major bid to facilitate cross-border transportation and trade, Bangladesh, Bhutan, India and Nepal signed the landmark Motor Vehicle Agreement in June 2015. Is this agreement capable of unlocking the huge trade potential of these countries and deepening regional integration in a region known to be the least integrated in the world? This note attempts to address some of these questions, reviews the salient features of the agreement and discusses the challenges involved in its implementation.||Prabir De
24-12-2015||obituaries||---------||Obituaries||T S Papola(1941–2015)||Alakh Sharma,Ravi Srivastava,Sukti Dasgupta,Pranab Mukhopadhyay,Praveen Jha,Paris Yeros
24-12-2015||obituaries||---------||Obituary||T S Papola(1941–2015)||Alakh Sharma,Ravi Srivastava,Sukti Dasgupta,Pranab Mukhopadhyay,Praveen Jha,Paris Yeros
24-12-2015||current statistics||---------||Current Statistics :||------------------||
24-12-2015||appointments/programmes/announcements||---------||Appointments/Programmes/Announcements||------------------||
18-12-2015||from 50 years ago||---------||From 50 Years Ago||Vol XVII, No 51, December 18, 1965 WEEKLY NOTES Trumps Played Out [Indo–Pak Meeting in Tashkent] A Correspondent writes:||
18-12-2015||h t parekh finance column||---------||Trade in Financial Services : Disciplining Governments and Freeing Business||Liberalising global trade in services, including financial services, has been on the cards for the longest time. Services trade negotiations at the World Trade Organization may "fail" at the Doha Round, but only because there has been no progress in agriculture and industrial goods trade.||C P Chandrasekhar
18-12-2015||commentary||---------||Implications of American Islamophobia||The remarks of the United States presidential hopeful, Donald Trump, on Muslims in America have caused outrage all over the world and have led many to say that Trump is going against what the country stands for. The present rash of Islamophobia is, however, only the latest example of a deep vein of racism and xenophobia that runs through mainstream American society.||Vinay Lal
18-12-2015||commentary||---------||Community Radio'Under Progress' : Resuming a Paused Revolution||Community radio produced, controlled and owned by the people can empower the marginalised and address the "voice poverty" which afflicts South Asia. The article details the macro-level institutional environment required for a democratic and sustainable community radio sector and identifies the challenges involved in making the sector vibrant and dynamic in the South Asian region.||Vinod Pavarala
17-12-2015||commentary||---------||Kerala Civic Polls 2015 : Lessons fo r the LDF and UDF||In the November local body elections in Kerala, the Left Democratic Front emerged victorious, and the Bharatiya Janata Party made some headway, while the Congress-led United Democratic Front came a cropper. Tainted with corruption and riven with factionalism, the UDF could not combat a resurgent left. The BJP's alliance with the leading Ezhava organisation, Sree Narayana Dharma Paripalana Yogam, did help the party in improving its performance, but the alliance did not work as well as had been expected.||J Prabhash
17-12-2015||commentary||---------||Gender Question and the CPI(M) : An Analysis in the Context of Kerala||Though the Communist Party of India (Marxist) is very supportive and vocal about the Women's Reservation Bill in Parliament and outside, the party's record in ensuring representation of women in its own organisation or in fielding women candidates in elections to Parliament and state legislative assemblies has been very poor. There is a huge gap between precept and practice. The forthcoming plenum of the party in December 2015 needs to take a serious note of this shortcoming. A discussion of the issue in the context of Kerala.||Erinjiyal K Santha
17-12-2015||commentary||---------||Dimapur Lynching and the Impossibility of Remembering||Using the Dimapur lynching of March 2015 as an example, this article examines why certain events slip out of the net of collective and national memory. The "identifi able victim effect," ambiguity and dangerous memories are possible reasons for forgetting events such as the lynching. The article then moves on to speak about the regimes of memory that go towards the making of the nation.||Anna Kurian
17-12-2015||commentary||---------||Automobile Manufacturers, Advertising and Traffic Safety in India :||An analysis, based on a survey of the print advertisements and TV commercials for safety content, and the pricing policy for offering safety technology of six major automobile manufacturers, shows that manufacturers are not promoting safety issues or their safety technology in any significant manner. They are not offering airbags or anti-lock braking systems in most of the base models costing less than $12,000. It is the responsibility of the Government of India to announce strict crashworthiness standards for cars sold in India, since vehicle manufacturers generally do not provide safety features unless forced to do so.||Dinesh Mohan,Abhaya jha
17-12-2015||perspectives||---------||Human Migration as Crisis of Europe||Europe achieved continental unifi cation through economic means, liberal constitutionalism and a currency union. It set goals of peace and security that encourage everyone to be liberal with unfettered freedom to access the market, and, on the other hand, allow the European Union to follow interventionist policies near abroad. The consequences of the union are to be found in Europe's restrictive and contradictory policies and programmes relating to immigration and refugee protection. The European migration crisis originates from this contradiction.||Ranabir Samaddar
17-12-2015||special articles||---------||Indian Insolvency Regime in Practice : An Analysis of Insolvency and Debt Recovery Proceedings||While there is much anecdotal evidence on the abysmal track record of courts and tribunals in resolving insolvency proceedings, there have to date been few empirical studies of how the Indian insolvency regime functions in practice. This paper is based on an analysis of select high court and tribunal judgments with the aim of gaining a better understanding of the existing insolvency resolution process for companies and to identify where the delays and bottlenecks lie. Three themes that emerged from this exploratory study are: (i) the significant inefficiencies and conflicts that have resulted from having a number of different laws and legal forums to govern companies in distress, (ii) various judicial innovations and weak institutions that have contributed to enormous delays in insolvency proceedings, and (iii) misinterpretations of the law by debt recovery tribunals when considering cases of debt enforcement under the Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interest Act. As India moves towards enacting a new insolvency and bankruptcy legislation, it is hoped that this study will be helpful in understanding the urgent need for reform and in providing initial insights on the direction the new law should take.||Aparna Ravi
17-12-2015||special articles||---------||Diffusion of Broadband Internet in India : Trends, Determinants and Challenges||India has one of the lowest diffusion rates for broadband among the Brazil, Russia, India, China and South Africa grouping, or BRICS. India has also been very slow in terms of the diffusion of mobile phone services. While it took only five years for mobile phone services to reach a diffusion rate of 75%, after 10 years the diffusion rate of broadband has not even reached 10%. In this context, this study attempts to measure the rate of diffusion of broadband in the country, identifies the factors that determine its adoption at the subscriber level, and discusses the policy challenges for hastening the diffusion rate.||Sunil Mani,V Sridhar
17-12-2015||special articles||---------||Communal Riots in Gujarat : Examining State Power and Production of Marginality in the Attempt to Constitute the Past||This paper analyses the exercise of state power in production of "truth" claims pertaining to the Godhra incident in 2002 in Gujarat and the riots that followed. This has been juxtaposed with an analysis of factual reportage produced by civil society actors, narratives from films, poems and an analysis of public opinion. There is much more in-depth analysis that has been done on each of these separately, but this study brings them together. It is in the coming together of insights from different sources that we can begin to see the historical event holistically. It is through this exercise that the interplay of state power and the production of marginality take place. Marginality of certain aspects of the truth as well as marginality of the Muslim community in the case need to be understood in this context.||Pooja Bakshi
17-12-2015||special articles||---------||Narratives of Health and Well-being : Migrant Road Workers in the Upper Himalayas||This paper deliberates upon the physical body of labourers as well as their health and well-being in order to reveal the contradictions in the state's discourse of national development and defence. Narratives of and interviews with the imported casual paid labour working on the Manali-Leh highway as for the Border Roads Organisation show us that illness, death and injury accompany the dangerous work of building roads in the high altitude of the upper Himalayas. The "unskilled" or "disposable" labourer is never able to accumulate additional utility or human capital even after many years of experience. His only capital--the body--is treated as a disposable and inanimate piece of machinery that loses its value in order to generate value for the nation.||Anu Sabhlok,Hoiwan Cheung,Yogesh Mishra
17-12-2015||notes||---------||A Note on the Elementary Macroeconomics of Austerity||When austerity as a means for dealing with a recession is counterproductive, why is it recommended to deal with a defi ciency in aggregate demand? Or can it be justifi ed as a way to reduce the current account defi cit by lowering domestic absorption? A critical analysis of the macroeconomics underlying austerity policies.||Prabhat Patnaik
18-12-2015||notes||---------||Muslim Women's Views on Muslim Personal Law||A survey of Muslim women and their views on Muslim personal law reveals that the women feel the rights enshrined in the Quran have not reached them; an overwhelming number of the women want personal law to be reformed. As it exists today, Muslim family law is piecemeal and disjointed and neither the community nor the government has tried to make it comprehensive.||Noorjehan Safia Niaz,Zakia Soman
18-12-2015||discussion||---------||GDP of Financial Corporations: Errors in Critique?||------------------||K Syama Prasad
18-12-2015||discussion||---------||Reply to PIB's Rejoinder||------------------||R Nagaraj
18-12-2015||current statistics||---------||Current Statistics :||------------------||
18-12-2015||postscript||---------||​Unconquerable Nemesis||The Shiv Sena’s attempt to disrupt the performances by Pakistani singer Ghulam Ali smacks of unparalleled Hindutva virulence which contradicts the Indo-Pak cross-border camaraderie of music.||Radha Kapuria
18-12-2015||postscript||---------||​Bordering Tranquility||The sacred and the profane share an uneasy coexistence amidst the serene ambience of a Buddhist monastery in Tuting, a closely guarded village bordering Tibet.||Gauraang Pradhan,Anu Kumar,Mridul Chakravorty
18-12-2015||postscript||---------||​A Festival of Surveillance?||The 46th International Film Festival of India, held in Goa from 20th to 30th November, revealed disturbing trends of tyranny, intolerance and commercialisation.||C S Venkiteswaran
18-12-2015||postscript||---------||Last Lines||------------------||
18-12-2015||postscript||---------||​Bangladesh||(After Faiz Ahmad Faiz’s Dhaka se Wapsi par) Anjum Altaf||Anjum Altaf
18-12-2015||appointments/programmes/announcements||---------||Appointments/Programmes/Announcements||------------------||
22-12-2015||reports from the states||---------||Is Agriculture Back? : Andhra Pradesh Capital Development Story||Some people may be waiting with bated breath for Amravati, Andhra Pradesh's new capital but several locals are finding newer ways to earn their livelihood in this transitional period. Our fifth photo essay from the ground of the new Andhra capital.||
11-12-2015||from 50 years ago||---------||From 50 Years Ago : Socialist? Who, India? :||Vol XVII, No 50, DECEMBER 11, 1965||
11-12-2015||commentary||---------||India's 100GW of Solar by 2022 : Pragmatism or Targetitis?||The Government of India's target of 100 gigawatts of solar power by 2022 reflects two perspectives. One, it embodies a practical need and urgency for solar energy from climate and energy security points of view. The other perspective, however, is that it shows the typical tendency of government authorities to draw up overly ambitious targets and be in a perennial promise mode. While examining the feasibility of this target, this article raises key concerns and offers suggestions on the appropriate land procurement and rooftop policies, as well as manufacturing strategies that need to be drawn up.||Hippu Salk Kristle Nathan
11-12-2015||commentary||---------||Price of Land and Skill Bias in Manufacturing||For a comprehensive analysis of the influence of relative factor prices on the nature of manufacturing or any other economic activity, one should include not just labour and capital but also land.||Dev Nathan,Sandip Sarkar
11-12-2015||commentary||---------||India's Electoral System||India’s first-past-the-post electoral system has generated a series of political defi ciencies that have prompted discussion of institutional change. In March 2015, the Law Commission of India concluded that a hybrid electoral system that includes proportional elements should be considered. Yet, the commission’s recommendations have not gained traction. Changing election rules is not easy. But there are important international examples of successful institutional shifts. Altering India’s electoral system has the potential for rectifying some of the country’s destructive political trends.||Babak Moussavi,Geoffrey Macdonald
11-12-2015||commentary||---------||Environmental Regulation in India : Moving ‘Forward’ in the Old Direction||In a bid to fast-track environmental clearances for industrial projects, the Narendra Modi government constituted a high-level committee in 2014 under T S R Subramanian to review key environmental laws. In the context of the controversial recommendations made by the T S R Subramanian Committee to ease environmental norms and dilute people's participation in environmental governance to stimulate economic development, the article takes a critical look at the functioning of the Environmental Impact Assessment regime in India since its inception in 1994.||Kanchi Kohli,Manju Menon
11-12-2015||commentary||---------||Sabotage of Anti-defection Law in Telangana||Exploiting a loophole in India's constitutional anti-defection provisions, Talasani Srinivas Yadav, a Member of the Legislative Assembly in Telangana, has been serving as minister in the state cabinet for more than six months without having to be re-elected. Narrating how things came to such a pass, this article revisits the need to amend the members' disqualification procedure and rules.||K Vijaya Bhaskara Reddy
11-12-2015||commentary||---------||Abortion and Gay Marriage : Sexual Modernity and Its Dissonance in Contemporary World||The local and global "other" can never hope to approximate the dominant Western ideals of sexual normality, for the terms of sexual normality and modernity are constantly being rescripted to police entries into the ranks of the Western hegemon.||Sanjam Ahluwalia
09-12-2015||commentary||---------||Bhutan's Gross National Happiness : An Interrogation||Despite Bhutan's deliberate policy direction of promoting non-economic goals embodied in gross national happiness over gross domestic product, does GNH still incorporate the promotion of material well-being through adequate living standards based on economic progress? This article examines whether GDP is an incompatible policy objective or outcome when balanced with GNH's equitable and sustainable economic progress, good governance, ecological protection and cultural preservation policy objectives.||Michael Givel
09-12-2015||perspectives||---------||Conservation 'Wars' : Global Rise of Green Militarisation||Wildlife conservation is increasingly being portrayed as a "war," where conservation organisations take moral positions against poaching. Military methods are being heavily used to complement the already existing fences. The discourse advocating militarisation largely ignores the complex underlying historical, social, economic and political drivers of poaching. This article argues that militarisation in conservation is problematic not just from a philosophical position but also has significant practical implications on the ground upon which conservation projects operate.||Trishant Simlai
09-12-2015||special articles||---------||History of Eminent Domain in Colonial Thought and Legal Practice :||This paper explores the prehistory of the Land Acquisition Act of 1894. By focusing on colonial Calcutta, it traces the emergence, development and various legal justifications of the principle of eminent domain under the East India Company rule. It describes the legal, bureaucratic and often extralegal methods employed to enact land acquisition law and documents the processes and narrative fictions that coalesced into our present understandings of the state's relation to land and law's relation to ethics. It also throws light upon the workings of the "reality" that law constructed and enacted in devising the principle of eminent domain.||Debjani Bhattacharyya
09-12-2015||special articles||---------||Gender Responsive Budgeting in India :||Gender responsive budgeting in India has been in practice for 10 years. An assessment reveals a mixed picture. There are number of positive developments, such as changes in select planning and budgeting processes and creation of gender budget cells. However, restricted reach of GRB and stagnant or even declining allocations for the gender agenda are stumbling blocks. Identifying critical issues that are limiting the potential of the strategy, the paper suggests key steps that the government needs to take to address them.||Bhumika Jhamb,Yamini Mishra
11-12-2015||special articles||---------||Health Insurance, Health Access and Financial Risk Protection||Drawing from the 60th and 68th rounds of National Sample Survey Office, this study evaluates the impact of different (social, commercial and target-oriented) health insurance schemes on access to healthcare use, and cost of care and financing of medical expenses. The results show that though these schemes promote access to healthcare, they also increase the costs manifold. The commercial insurers have not been effective at pooling financial risks and seem to be indulging in maximising individual gain. Given the intrinsic market-failure and information asymmetry between the principal and the agents and difficulties in regulating the insurance-base system, this study advocates financing healthcare through a tax-based system which can be cost-effective for achieving universal healthcare access in India.||Shailender Kumar Hooda
11-12-2015||notes||---------||Changing One's Mind? : Updating of Beliefs among Rural Indian Women||How do people reassess their beliefs in the light of new information? Do people follow the Bayesian rule of utility maximisation? Or are there other aspects that people take into account when updating their beliefs? In order to better understand this process, experiments were conducted amongst rural women in Uttar Pradesh. The results and questions this study throws up are discussed here.||Annemie Maertens,Christopher Ksoll
11-12-2015||notes||---------||Does Computerisation Reduce PDS Leakage? : Lessons from Karnataka||The idea that end-to-end computerisation can reduce public distribution system leakage has been theorised, but not yet examined in practice. This note tries to fill the gap by conducting a case study of the information technology system for PDS in Karnataka, which includes back-end software as well as a front-end interface. It reveals three drawbacks: machines can be tampered, there is limited monitoring of the early stages of the supply chain, and policy shifts cannot be achieved by technology alone. It concludes by drawing lessons for other states computerising their PDS.||Amit Prakash,Silvia Masiero
11-12-2015||economic notes||---------||Surge in Union Government Revenues : Indirect Tax Collection Leads Growth||The tax revenues of the union government have surged in the first half of 2015–16, growing much faster than budgeted. Indirect taxes led the rate of growth of tax revenue collections, while direct tax collections grew less than expected. Though higher revenue is welcome, indirect taxes are nonetheless regressive, and higher indirect tax revenue will only accentuate income inequalities in India.||J Dennis Rajakumar,R Krishnaswamy
11-12-2015||current statistics||---------||Current Statistics :||------------------||
11-12-2015||appointments/programmes/announcements||---------||Appointments/Programmes/Announcements :||------------------||
16-12-2015||reports from the states||---------||Problems with the Eco-Sensitive Zone : Learnings from the Corbett National Park, Uttarakhand||Eco-Sensitive Zones are being touted by the government as transition zones around protected forest areas, that would minimise forest depletion and man-animal conflict. This report, from the Corbett National Park, suggests how ESZs marginalise local interests and would prove detrimental to conservation in the long run.||
17-12-2015||web exclusives||---------||Attiring Local Tradition for the Global Market||A single practice among several others in an indigenous knowledge system often emerges as the dominant and most visible face of the traditional practices. Can the Global Ayurveda Festival and new Jeevani project attempt a course correction?||
04-12-2015||from 50 years ago||---------||From 50 Years Ago : The Missing Millionaires :||Vol XVII, No 49, decEMBER 4, 1965||
04-12-2015||margin speak||---------||WTO's Nairobi Ministerial : Portents for Higher Education||At the 10th ministerial meeting of the World Trade Organization (WTO) to be held at Nairobi, Kenya, from 15–18 December, the discourse on higher education being public/merit/private good and the covert/overt preparation of the government over the past two decades to withdraw from higher edu||Anand Teltumbde
04-12-2015||commentary||---------||Great Indian Gas Robbery||An independent consultant in an interim report has upheld the contention of the public sector Oil and Natural Gas Corporation that gas from one of its undersea wells in the Krishna-Godavari basin was consciously and systematically pilfered by a company controlled by Reliance Industries. Why did the Directorate-General of Hydrocarbons allow this to happen and why did the Government of India not protect the interests of a premier public sector undertaking?||Paranjoy Guha Thakurta
04-12-2015||commentary||---------||Maternal and Child Health : Inching Ahead, Miles to Go||The data from the Rapid Survey on Children conducted in 2013-14, released after an inexplicable delay and still in a summary fashion, show some but patchy progress between 2005-06 and 2013-14 in maternal and child health indicators. A preliminary analysis indicates that in those areas where special efforts were made, such as in increasing institutional delivery and expanding immunisation coverage, some results are seen. This calls for greater investments in health and nutrition within a more comprehensive approach.||Dipa Sinha
04-12-2015||commentary||---------||Chennai's Rain Check : Fifteen Years and Counting||The recent floods in Chennai are a fallout of real estate riding roughshod over the city's waterbodies. Facilitated by an administration that tweaked and modified building rules and urban plans, the real estate boom has consumed the city's lakes, ponds, tanks and large marshlands.||Madonna Thomas,Satyarupa Shekhar
03-12-2015||commentary||---------||The Essential Cancer Drugs||There are no public procurement programmes for cancer on the lines of those that exist for AIDS or tuberculosis. It is worth considering whether it is feasible to institute a drug procurement programme based on international/national competitive bidding or shopping, like those already in place in the National AIDS Control Organisation. If patients in developed countries are finding it difficult to survive the astronomical prices of cancer drugs, a developing country like India, with a large part of its population below the poverty line or among the middle class, is even worse affected in the battle against the disease.||Vasudha Wattal
03-12-2015||commentary||---------||Writing the Present||Critical discourse in India has largely been shaped by the social sciences. This article suggests that the exploratory sensibility of the arts and the humanities has a specific and productive contribution to make in the present context in which knowledge is instrumentalised and language deemed transactional.||Lata Mani
03-12-2015||commentary||---------||Double Nature of Orthodox Truths : Reactions to the Paris Carnage||In the aftermath of the terrorist attacks on Paris, a popular left wing argument highlighted the culpability of imperialism in fuelling this violence. This form of anti-imperialism ends up denying historical agency to Muslims, and people in the postcolonial countries as a whole, and often becomes an excuse for Islamic fundamentalism. This article argues for a politics which escapes this trap of speaking a truth that is also a lie.||Tabish Khair
03-12-2015||insight||---------||Civilians Caught in Crossfire :||India and Pakistan are parties to the Geneva Conventions which are the keystones of International Humanitarian Law. However, notwithstanding the IHL, whenever both belligerents engage in ceasefire violations, indiscriminate firing and shelling across the Line of Control and international border, the civilians residing in these areas are subject to fearsome violence. This study points out that escalation of violence along the Indo-Pak border has enormous physical, economic and psychosocial ramifications on the lives of civilians in these areas.||Meha Dixit,Sameer Yasir
03-12-2015||special articles||---------||Challenging Economic Inequality : Tactics and Strategies||Economic and social inequality is a major problem, implicated in poverty, ill health and exploitation. Inequality has increased in many countries since the 1980s and it is also widely seen as unfair, yet action against it has been sporadic and often ineffective. To better understand why inequality has persisted, it is useful to look at tactics that reduce public outrage over it. These include covering up the existence and impacts of inequality, denigrating those who are less well-off, explaining the existence of inequality as natural, necessary or beneficial, using official channels to justify inequality, threatening those who challenge it and rewarding those who defend it. Each of these tactics can be countered, resulting in a set of options for those pursuing a fairer world.||Brian Martin,Susan Engel
03-12-2015||special articles||---------||Towards Methodologies for Multiple Objective-Based Energy and Climate Policy||Planning for India's energy future requires addressing multiple and simultaneous economic, social and environmental challenges. While there has been conceptual progress towards harnessing their synergies, there are limited methodologies available for operationalising a multiple objective framework for development and climate policy. This paper proposes a "multi-criteria decision analysis" approach to this problem, using illustrative examples from the cooking and buildings sectors. An MCDA approach enables policy processes that are analytically rigorous, participative and transparent, which are required to address India's complex energy and climate challenges.||Radhika Khosla,Srihari Dukkipati,Navroz K Dubash,Ashok Sreenivas,Brett Cohen
03-12-2015||special articles||---------||Imaginations of Self and Struggle : Women in the Kashmiri Armed Resistance||This paper aims to interpret construction of the self and struggles of nationhood of some Muslim women in Kashmir's resistance movement against Indian control , focusing on the phase of the armed struggle in the 1980s. It argues that they have been continually refashioning their notions of self and notions of just and free political community, and have cast themselves in religious -cultural terms to suit the needs of the movement. Muslim women with an active role in the armed struggle underwent a process of self-constitution in the processes of engagement with their immediate social and political context. There are women with a Muslim identity, who may or may not be practising Muslims when they intervene in political action. Yet, they were invariably cast in religious -cultural terms, forgetting that they have challenged both the Indian state and its patriarchy of militarism, alongside that within their own community.||Inshah Malik
