13/4/1985- ||special articles||4374280||On Some Aspects of the Strategy of Growth in India||This paper identifies four major components of the strategy of growth that is taking shape in India under the new regime: (a) district-wise industrialisation; (b) modernisation and technological advancement that is prone to the Ricardo effect; (c) recourse to import as a device for instilling a competitive spirit; and (d) regeneration and optimal use of land resources. It argues the case for a State Public Sector to initiate small and medium scale industries. It suggests the criterion of 'forward-biased labour-intensity' to counter the Ricardo effect. It pleads for removal of barriers to the growth of small-scale entrepreneurs. Some 60 million hectares of land, equivalent to one-fifth of the total territory, or two-fifths of the net cropped area, is under pastures, culturable waste, fallow, and the like. Bulk of this land can be developed, within the limits of available technology, into farms or forests. Part of it may be mobilised to settle landless labourers. This paper gives a simple computable criterion for land allocation, under conditions of external economies of forests or similar ecological factors.||Ranjit Sau
20/4/1985- ||special articles||4374306||The Central Budget and the New Economic Policy||The right-ward shift of economic policies has become pronounced with the set of measures proposed in the Budget for 1985-86. It had appeared for some weeks before the Budget that private industry was confident about such a shift. The behaviour of the commodity and share markets did not show any pre-Budget nervousness and was in fact remarkably steady. While economists who were taking for granted that the public sector outlay in the Seventh Five Year Plan would be around Rs 1,80,000 crore (at 1984-85 prices) assumed that there would be strong measures for additional resource mobilisation right from 1985-86, the business world was banking on cuts in direct taxes and on wider incentives to private investment. It is this group which has anticipated everything correctly. The new government has been persuaded to adopt an Indianised variety of what used to be called 'supply-side economics' a few years ago.||Bhabatosh Datta
16/3/1985- ||international affairs||4374170||Election Season in South Asia||-------------------------------------||G. P. D.
26/1/1985- ||business||4373996||Cosmetic Change?||-------------------------------------||
23/2/1985- ||business||4374092||Turn-Around for Textile Mills?||-------------------------------------||
24/8/1985- ||discussion||4374748||Black Money and Effectiveness of Monetary Policy||-------------------------------------||V. Pandit,K. Sundaram
19/10/1985- ||discussion||4374949||On the Mother and Child in India||-------------------------------------||B. Manjeshwar Dinesh
30/3/1985- ||discussion||4374229||'Garibi Hatao': Can IRDP Do It?||-------------------------------------||Indira Hirway
19/1/1985- ||------||4373968||Communist Parties and Indira Gandhi||-------------------------------------||
11/5/1985- ||special articles||4374393||1983 Assembly Poll in Assam: An Analysis of Its Background and Implications||In this joint paper a geographer and a historian combine to make a post-mortem of the controversial 1983 Assam elections, down to the constituency levels. With the help of maps and poll statistics which bring out the significance of the ethnicity factor in the 1983 sanguinary elections, the authors conclude that although the voter turn-out was just half of what it was in the preceding 1978 Assembly poll for the state as a whole, there was normal to high polling in 40 per cent of the 105 constituencies where elections were contested and could be completed. These normal-to-high poll constituencies are, by and large, coterminous with seven of Assam's sixteen districts. The authors believe that the latest electoral rolls published recently did take care to eliminate suspected foreigners' names, as far as possible, without violating the Constitution and justice in the given tangled situation. To avoid another break-up of what is now Assam on an ethno-linguistic basis, the Assamese need for their self-preservation various guarantees other than the expulsion of pre-1971 settlers. This is one lesson that the Assamese public opinion is now increasingly adjusting itself to.||Keya Dasgupta,Amalendu Guha
30/11/1985- ||from our correspondents||4375052||Village Women vs Liquor Contractor||-------------------------------------||Bharat Dogra
24/8/1985- ||business||4374728||Floating in Imported Oil||-------------------------------------||
11/5/1985- ||business||4374379||Growers versus Users||-------------------------------------||
24/8/1985- ||------||4374749||Usha Martin Industries||-------------------------------------||
08/6/1985- ||special articles||4374495||Superpowers in Collusion||Mankind has acquired the dubious ability to destroy itself over and over again only recently and cannot possibly live with it for long. For even if we altogether ignore what are commonly described as 'conventional' weapons and even if we forget all about the biological and chemical arsenals being expanded at present, the explosive power already congealed in the nuclear 'warheads' alone is sufficient to blow up the biosphere of the Earth many times over. What we need to, can and must try to comprehend is the essential logic of this situation. The intensification of the process of weaponisation means that each superpower establishment, using the other's programmes and pursuits as an excuse, extracts ever larger resources out of its own people. But at the same time, the two powers will be, and in fact will have no option but to be, seeking new modes of accommodation with each other. By the very nature of the weapons they have managed to acquire the two have been forced to enter into a state of a fateful and a potentially fatal collusion. Each is concerned with its own build-up as determined by the perceived domestic requirements of its own Establishment. In the circumstances, the contradiction must get crystallised. and also find expression, not between the blocs but within each bloc.||Narindar Singh
06/4/1985- ||from our correspondents||4374246||Monetarism and Decline||-------------------------------------||Michael Jacobs
05/10/1985- ||discussion||4374899||Case for Injectible Contraceptives?||-------------------------------------||Sujit K. Das,Pijus Kanti Sarkar
01/6/1985- ||special articles||4374473||Rural Non-Farm Sector in Asia: A Characterisation||There have been some attempts to collate the quantitative information on the size and structure of the rural non-farm sector. However, there have been few systematic attempts to characterise or analyse its role in the developmental process. In fact, a lot of the conflicting evidence and controversies that are found in the literature regarding the rural non-farm sector arises precisely because of the lack of a clear definition and of an analytical framework characterising its nature and place in the economic system. A large part of this confusion disappears if one analyses the components of the rural non-farm sector and realises that for all intents and purposes the sector has a rather sharply bimodal nature. The bifurcation is not so much along aggregated product lines, but more along production technology, linkage patterns and surplus generation. Much of the controversy regarding the nature and dynamics of rural non-farm activities can be resolved if one allows for their essential heterogeneity within the sector. An attempt is made here to characterise a prototype Asian rural economy when a rural non-farm sector with its bimodal character is embedded in the system.||Swapna Mukhopadhyay
21/9/1985- ||from our correspondents||4374839||India's Options in Nuclear World||-------------------------------------||Deb Kumar Bose
02/2/1985- ||------||4374021||Thondaman's True Colours||-------------------------------------||M. S. S. Pandian
22/6/1985-29/6/1985||business||4374524||Running Wild||-------------------------------------||
25/5/1985- ||from our correspondents||4374439||Bonn Economic Summit: A Post-Mortem||-------------------------------------||Ramesh Jaura
14/12/1985- ||from our correspondents||4375115||Denationalisation of Industries and Financial Houses||-------------------------------------||Badruddin Umar
20/7/1985- ||special articles||4374613||Import of Donated Commodities, Export of Feed, and New Technology of Milk Production||Operation Flood relies heavily on donated commodities. These donations make India the largest recipient of food aid from the EEC. The inflow of donated commodities is likely to have a contracting effect on the dairy sector of the Indian economy. India, on the other hand, is a major exporter of oilcake meals. A significantly large quantity of it is being exported to the EEC. The domestic supply of this protein meal is otherwise inelastic. This has serious implications for the cross-breeding technology of Operation Flood II, the success of which depends, to a large extent, on the availability of readily digestible sources of energy. The main argument of this paper is that the import of donated commodities and the export of oilcakes are bound to slow down the rate of expansion of the Indian dairy industry and a continuation of such a policy would weaken the position of the Indian farmers vis-a-vis the European farmers.||Surendar Singh,Kamaljit Singh
26/1/1985- ||business||4373997||Recovering Lost Ground||-------------------------------------||
14/9/1985- ||special articles||4374822||New Import and Export Policy: Some Economic Implications||There is a similarity of purpose between the government's new economic policy and the new trade policy: both are guided by a spirit of liberalisation of existing restrictions on economic activities of the private sector. Apart from their revenue effect, some of the measures of liberalisation have important long-run resource allocation implications. In examining this aspect of the new trade policy, the author sees a basic difference between the decision to permit import of numerous special-purpose machinery under the OGL and that of allowing technology imports, imports of computer systems and imports of spare parts of electronic goods on a large scale. A possible long-run effect of the latter set of measures, the author argues, may be that around a few giant firms producing assembled products with foreign collaboration, a large ancillary sector will be created for supplying components produced on purely imitative lines. This may increase export opportunities, but the allocation of resources in the long-run would have little relation with our Plan goals and priorities or even resource endowment including the pool of skilled manpower. In particular, considerations of full utilisation of labour and development of indigenous technological capability will henceforth play second fiddle to the objective of setting up a modernised and outward looking production system, however narrow the base of the system may be.||Susmita Rakshit
27/4/1985- ||review of women studies, april 1985||4374338||Wife-Husband Relations: Differences between Peasant Households and Modern Professional-Class Families in North-Eastern Italy||This article compares and contrasts two patterns typically found in the life histories of two groups of women-the first consisting of peasant women of the Friulian countryside in north-eastern Italy, and the second of the (female) researchers who studied them. The aim is, firstly, to gain some understanding of the different conceptions of marriage held by the two groups and, secondly, to show that, if we are to clarify the internal dynamics of either of these two models, we have to see the interaction between them.||Luisa Accati Levi
10/8/1985- ||from our correspondents||4374686||Plight of Prisoners in Vizag Jail||-------------------------------------||M. Shatrugna
06/4/1985- ||business||4374237||More Imports with Reluctance||-------------------------------------||
07/9/1985- ||------||4374783||Mounting Attack||-------------------------------------||
24/8/1985- ||special articles||4374747||Infant Mortality in India: Level, Trends and Determinants||This paper aims at a critical review of the available data on the level of and trends in infant mortality and of the associated differentials during the last quarter of a century. An attempt is made to identify the gaps in our existing studies where future research efforts may be oriented. The paper begins by setting out an approach to the analysis of data on infant mortality. Following that the national and the state level estimates of neonatal, postneonatal and overall infant mortality by sex and rural-urban residence are reviewed. Attention is then focused on the available evidence on the contribution of various prenatal, natal and postnatal factors to infant mortality during different time period. This approach is adopted to help identify and assess the possible role of different intervention programmes. [This is the third and final part of the paper. The first two parts appeared in the last two issues.]||Leela Visaria
05/1/1985- ||from our correspondents||4373933||Co-operatives in Anthropological Perspective: Report of a Symposium on Co-operatives and Rural Development||-------------------------------------||D. W. Attwood,B. S. Baviskar,Shanti George
14/12/1985- ||special articles||4375119||Poverty and Agricultural Development||The author's analysis of data on agricultural development and the proportion of the rural population below the poverty line suggests that the adoption of the water-fertiliser-HYV technology has led to a decline in poverty. The decline is also associated with increase in agricultural and foodgrains production. If the decline in the proportion of the poor in rural India has been relatively small, it is not because the 'trickle down modified' thesis is not valid in the Indian situation, but because the rate of agricultural growth has been low and has been heavily dependent on the vagaries of nature. Against this background, the author argues that land reform in the sense of 'land to the tiller' is the one measure that is needed for an enduring solution of the problem of rural poverty. Land reform is needed to break the power of the rural oligarchy and initiate the process of rapid agricultural and rural development. The other solution lies in providing water management, fertiliser, HYV seed, credit and extension service in a big way, free from bureaucratic red-tape, for rapid agricultural development. On the other hand, the 'target group oriented schemes' approach to poverty alleviation, which is essentially an euphemism for charity and distribution of doles, furthers the imperialist attempt to increase the stranglehold of bureaucratic and semi-feudal structures on the Indian economy and to erode the resources needed for accumulation and development of technology. This approach also suits the rural oligarchy and bureaucracy.||Pradhan H. Prasad
15/6/1985- ||------||4374499||The Seventh Plan||-------------------------------------||
27/4/1985- ||------||4374320||Fight for a Dwindling Cake||-------------------------------------||
21/9/1985- ||------||4374828||Dubious Gift||-------------------------------------||
01/6/1985- ||------||4374454||Of Soldiers and Small Pox||-------------------------------------||Vimal Balasubrahmanyan
18/5/1985- ||international affairs||4374410||The Relationship That Was||-------------------------------------||G. P. D.
15/6/1985- ||capital view||4374506||Government at Siesta||-------------------------------------||Romesh Thapar
31/8/1985- ||review of management, august 1985||4374770||Financing of Working Capital in Indian Industry||This review of working capital finance, based on the Reserve Bank of India's studies on Finances of Large Public Limited Companies, concludes that Indian industry has by and large failed to change its pattern of working capital financing in keeping with the norm suggested by the Chore Committee. While the position of working capital management showed some improvement between 1975-79 and 1979-83, industries have not succeeded in widening the base of long-term funds to the desired extent.||V. S. Kaveri
21/12/1985-28/12/1985||review of agriculture, december 1985||4375146||Work Participation of Rural Women in Third World: Some Data and Conceptual Biases||There continues to be little appreciation that problems of unemployment, poverty and destitution are in many instances gender-specific so that any serious attempt to alleviate these conditions and/or prevent their further aggravation would require a particular focus on the women of poor households. The accuracy of national level statistics, which usually serve as the principal data input in the framing of development policies, is severely impaired by biases which lead to an undercounting of women, both as workers and as those available for work. This paper seeks to spell out the nature and sources of these data biases and attempts to provide pointers on how they could be corrected and some of the data gaps filled.||Bina Agarwal
09/2/1985- ||from our correspondents||4374055||An Indian Sociologist||-------------------------------------||Ghanshyam Shah
19/1/1985- ||from our correspondents||4373984||Repression and Resistance||-------------------------------------||G. V. C. Naidu
02/2/1985- ||from our correspondents||4374032||A Nervous Fed Shifts Gear||-------------------------------------||Sudhir Sen
22/6/1985-29/6/1985||review of agriculture, june 1985||4374540||Technical Assistance Projects and Socio-Economic Change: Norwegian Intervention in Kerala's Fisheries Development||This paper analyses the impact of a technical assistance project on the socio-economic fabric of Kerala's fish economy. The paper is organised into three sections. The first section deals with the past and the more recent history until the pre-independence era and the initiation of the Indo-Norwegian Project in 1952. This part attempts to portray the overall context and concerns of fisheries development initiatives in Kerala and in the country as a whole. It also provides the background to the dynamics of the establishment of the Indo-Norwegian Project. The second part deals with over three decades of planned fisheries development in Kerala-1950 to 1982-showing the changing approaches to development and the consequences emanating therefrom. It evaluates state policy, the efforts of the Norwegians, the role of the private sector and the larger socio-economic forces in transforming the fish economy and the effects of this on fish workers and fish. The final part of the paper deals with the present crisis in Kerala's fish economy and highlights the questions being raised about it-including the very pointed one about the extent of Norwegian responsibility for the present state of affairs.||John Kurien
16/3/1985- ||capital view||4374169||'Heartland' and Periphery||-------------------------------------||Romesh Thapar
06/4/1985- ||from our correspondents||4374245||Bus Fare Hike and World Bank||-------------------------------------||M. S. S. Pandian
20/4/1985- ||------||4374288||Futility of Stop-Gap Measures||-------------------------------------||
24/8/1985- ||special articles||4374745||'Rational Choice' Marxism: Some Issues of Method and Substance||In seeking to provide micro-foundations for behaviour which Marxists think are characteristic of capitalism, the tools par excellence are rational choice models: general equilibrium theory, game theory, and the arsenal of modelling techniques developed by neoclassical economics. With rational choice models, Marxian economics has made a good deal of progress in explaining mechanisms which lie behind otherwise apparently teleological claims. The author outlines an agenda which 'rational choice' Marxism can set in order to answer two important questions which challenge its methodological premises. In rational choice Marxism (1) where is there room for class struggle? and (2) where is there room for the social formation of ideas, for the formation of the individual by society?||John E. Roemer
25/5/1985- ||------||4374427||Less Bangs per Dollar||-------------------------------------||
04/5/1985- ||from our correspondents||4374362||Betrayal of Civilian Politics||-------------------------------------||T. V. Sathyamurthy
02/2/1985- ||from our correspondents||4374031||Strike Threat by College Teachers||-------------------------------------||J. V. Deshpande
22/6/1985-29/6/1985||special articles||4374537||Social History: Predicaments and Possibilities||Research on modern Indian social history, here or abroad, cuts a sorry figure. A considerable gap remains between our understanding of the basic structures and tendencies of the colonial economy and the much-explored history of political movements in late colonial India. This area of silence relates to the vast and virtually unexplored terrain of forms of popular consciousness and culture. The gap is related to lack of fruitful dialogue between history, sociology and social anthropology. The failure of grapple seriously with problems of consciousness and culture leads repeatedly to inadequate or even trite explanations, in particular the two related poles of economic reductionism and mobilisation by great leaders/ideologies or skilful manipulators of patron-client linkages. There is need to move towards both 'a materialist and relational concept of culture' and 'a more culturally embedded analysis of the material world'. A social history developing through a fruitful, because critical, dialogue with anthropology can help "in locating new problems, in seeing old problems in new ways, in an emphasis upon norms and value systems and upon rituals, in attention to expressive functions of forms of riot and disturbance, and upon symbolic expressions of authority, control and hegemony".||Sumit Sarkar
23/2/1985- ||review of management, february 1985||4374108||Theory of Pricing in Socialist Countries: Case of Industrial Producer Goods||In contrast to a market economy, the entire system of prices in a planned economy is determined by the central price-fixing authority. In this situation, price theory is expected to provide the basis for constructing a price structure which would lead to the most efficient functioning of the economy. This paper attempts to summarise the discussions on pricing especially pricing of industrial goods, in socialist countries.||Jaya Mehta
06/7/1985- ||------||4374551||Marcos's Growing Desperation||-------------------------------------||
19/10/1985- ||from our correspondents||4374940||Autumn of Racial Violence||-------------------------------------||Michael Jacobs
13/4/1985- ||------||4374260||Growing Japanese Strength||-------------------------------------||
1/11/1985- ||------||4375028||Electricity's Future||-------------------------------------||
12/1/1985- ||discussion||4373963||Government Media and Punjab||-------------------------------------||Pritam Singh
30/3/1985- ||review of agriculture, march 1985||4374222||Impact of Irrigation on Farmers' Acreage Response to Price: Case of Andhra Pradesh||Availability of irrigation makes the agricultural production process more flexible to human decision-making and choices by weakening the constraints of lack of water for the cultivation of crops. Thus farmers in the irrigated areas are likely to be more responsive to an economic incentive than their counterparts in the unirrigated areas in terms of crop pattern shifts and in their endeavours to raise yield per hectare. This paper attempts to examine the impact of irrigation on farmers' acreage response behaviour to changes in output prices. District-wise data from Andhra Pradesh are used for the period 1955-56 to 1972-73.||Hrushikesh Panda
25/5/1985- ||business||4374429||Evading Basic Issues||-------------------------------------||
20/7/1985- ||from our correspondents||4374606||No Stomach for Competition||-------------------------------------||Arun Goyal
31/8/1985- ||------||4374762||Companies: Fertiliser Project in the Bag||-------------------------------------||Hansavivek
30/11/1985- ||------||4375037||Evading the Issue||-------------------------------------||
15/6/1985- ||from our correspondents||4374510||Teaching the Santhals a Lesson||-------------------------------------||Umesh Sinha
12/10/1985- ||------||4374905||Victims of Thatcherism||-------------------------------------||
30/3/1985- ||------||4374215||Companies: Imports Threaten DMT Production||-------------------------------------||Hansavivek
23/3/1985- ||business||4374190||Going Overboard||-------------------------------------||
07/12/1985- ||------||4375068||Hathi Report: A Decade After||-------------------------------------||
14/9/1985- ||civil liberties||4374814||How Lawful Imprisonment Can Become Unlawful||-------------------------------------||A. G. Noorani
16/3/1985- ||------||4374165||MRD Outmanoeuvred||-------------------------------------||
10/8/1985- ||from our correspondents||4374690||General Crisis of the Bourgeoisie in Bangladesh||-------------------------------------||Badruddin Umar
16/2/1985- ||------||4374066||No Easy Options||-------------------------------------||
24/8/1985- ||international economic affairs||4374734||Whom Will Union Carbide Blame Now?||-------------------------------------||I. S. G.
11/5/1985- ||------||4374376||New Wave of Militancy||-------------------------------------||
21/9/1985- ||business||4374830||Loose Talk of Cotton Export||-------------------------------------||
03/8/1985- ||------||4374644||The 'Nuclear Option'||-------------------------------------||
30/3/1985- ||review of agriculture, march 1985||4374225||Agricultural Growth in Bangladesh, 1949-50 to 1980-81: A Review of the Evidence||A review of the evidence on Bangladesh's agricultural growth from 1949-50 to 1980-81 suggests that official statistics have understated both the level and growth of agricultural output in recent years. Recent 'objective' crop acreage estimates, and land use analysis based upon aerial photography, indicate that as much as one million acres of crop land may be missing from the country's official agricultural statistics. Current annual rice output may be underestimated by 400,000 metric tonnes or more. Whereas agricultural output growth rates estimated from official data indicate a decline from 2.15 per cent per annum in the period 1949-64 to 1.52 per cent in the period 1965-80, the revised series reveals an opposite movement: output growth rose from an estimated 1.27 per cent in the earlier period to 2.18 per cent in the latter. Such output underestimation does not, however, imply that the magnitude of hunger in Bangaldesh is any less severe than reported in past studies. Rather, the present study suggests that widespread malnutrition, incidence of which is determined in large part by the distribution of income and hence of food, has occurred within a context of higher national agricultural output than is recorded in the official figures.||James K. Boyce
26/10/1985- ||business||4374958||Towards Another Edible Oil Crisis?||-------------------------------------||
05/1/1985- ||capital view||4373927||New Ball Game||-------------------------------------||Romesh Thapar
13/7/1985- ||business||4374573||Uncertainty over Kharif Oilseeds Crop||-------------------------------------||
10/8/1985- ||from our correspondents||4374688||Self-Defence and Police Racism in Britain||-------------------------------------||Kalpana Wilson
11/5/1985- ||from our correspondents||4374389||Sri Lanka's Ethnic Conflict and Muslims||-------------------------------------||Qadri Ismail
09/3/1985- ||business||4374146||Wild Expectations||-------------------------------------||
04/5/1985- ||capital view||4374356||Living on the Brink||-------------------------------------||Romesh Thapar
31/8/1985- ||business||4374757||Financial Institutions Take a Hand||-------------------------------------||
02/3/1985- ||capital view||4374124||Our Continuous Revolution||-------------------------------------||Romesh Thapar
21/9/1985- ||business||4374832||Not for Pundits||-------------------------------------||
05/10/1985- ||------||4374879||Getting Crowded Out||-------------------------------------||
17/8/1985- ||special articles||4374717||Finance for Export of Manufactured Goods from Developing Countries||This paper analyses the altered composition of the export basket of developing countries in South and South-East Asia. Thereafter, it proceeds to deal with financing issues that emanate from the curious feature of developing countries which are importers of capital having to cope with almost necessary export of capital arising out of sale of manufactured goods.||Kalyan Banerji
14/12/1985- ||from our correspondents||4375109||From Mass Movement to Electoral Politics||-------------------------------------||Udayon Misra
10/8/1985- ||capital view||4374679||Beginning to Perform||-------------------------------------||Romesh Thapar
21/9/1985- ||------||4374826||A Different Food Crisis||-------------------------------------||
30/3/1985- ||------||4374205||Of Microwave Ovens and Toys||-------------------------------------||
12/1/1985- ||------||4373941||Still-Born Special Courts||-------------------------------------||
26/10/1985- ||international affairs||4374964||Imperial Memories||-------------------------------------||G. P. D.
17/8/1985- ||from our correspondents||4374711||Police Terror against Landless Peasants: A Report from Dehradun||-------------------------------------||Navin Nautiyal,Bharat Dogra
27/4/1985- ||------||4374323||Devious Road to Summit||-------------------------------------||
02/3/1985- ||------||4374115||Budget Pointers||-------------------------------------||
16/3/1985- ||business||4374167||Growing Protectionism||-------------------------------------||
06/7/1985- ||------||4374550||Limits of US Power||-------------------------------------||
21/9/1985- ||capital view||4374833||The Poison of Terrorism||-------------------------------------||Romesh Thapar
04/5/1985- ||special articles||4374368||Superpower Co-operation and Transit Passage through Straits||When their interests converge, the United States and the Soviet Union have not hesitated to act in unison, even against the sentiments of their respective alliance partners, in order to devise instruments intended to protect their common interests. One recent instance of superpower collaboration can be found in their common and forceful insistence, during the Third UN Conference on the Law of the Sea, on an overly liberal regime of passage through straits used for international navigation. They have substantially succeeded in incorporating in the United Nations Convention on the Law of the Sea provisions as to passage through straits which are regarded as being conducive to their security interests.||Shekhar Ghosh
31/8/1985- ||review of management, august 1985||4374768||Cost of Technology Imports: The Indian Experience||Though acquisition of technology from abroad may at times prove to be an expeditious way of getting the requisite technology, it has inevitable short and long run implications for the economic and technological development of the borrowing country. A significant amount of literature has directed itself to assessing the impact of technology imports by India. Most of the studies in this category are, however, partial in their scope in that they have studied the impact in specific cases or on some specific parameters. This paper summarises the current state of knowledge on this aspect. The author deals first with the direct costs of import of technology and later with its indirect impact on the economy through its implications for balance of payments, the technological environment, industry structure, equity, etc. While doing so, significant studies made for other developing countries are kept in the background so as to provide comparison.||Nagesh Kumar
06/7/1985- ||from our correspondents||4374561||On the Road to Nairobi||-------------------------------------||Rita Manchanda
22/6/1985-29/6/1985||review of agriculture, june 1985||4374538||Crop Insurance in India: A Review, 1976-77 to 1984-85||In 1979-80 the General Insurance Corporation, in collaboration with the state governments, introduced a crop insurance scheme in 26 areas of Gujarat, 23 areas of West Bengal, and 17 areas of Tamil Nadu. Since then, the scheme has been extended to more areas of more states. The purpose of this paper is to trace the methodological modifications made from time to time in the original scheme, to identify certain outstanding problems and to suggest provisional solutions.||V. M. Dandekar
21/12/1985-28/12/1985||from our correspondents||4375140||Ruthless Response to Teachers' Agitation||-------------------------------------||Meena Radhakrishna
21/12/1985-28/12/1985||from our correspondents||4375141||Turning to Third World||-------------------------------------||Dwijendra Tripathi
20/7/1985- ||------||4374601||Companies: R and D Based Growth||-------------------------------------||Hansavivek
15/6/1985- ||from our correspondents||4374511||Social Tensions and Protest Movements in Maharashtra||-------------------------------------||D. N. Dhanagare
09/3/1985- ||------||4374151||Companies: Market Constraint||-------------------------------------||Hansavivek
31/8/1985- ||from our correspondents||4374771||Second Coup d'Etat||-------------------------------------||Henry Mapolu
20/4/1985- ||special articles||4374314||Fiscal Strategy Left Incomplete||Government, it is clear from the 1985-86 Budget, has declared its inability to reduce normal recurring expenditure and a regime of high revenue deficits has, therefore, come to stay. As there is no likelihood of growth of revenue from direct taxes, the only possibilities left are improvement in working of public sector undertakings and growth of indirect tax revenues. But unless the structure of indirect taxes is reformed, the cascading effect leading to increases in costs and prices is unavoidable. The general rate of profitability in the private sector is low and returns on borrowed funds are considerably higher than those on owned funds and they may shrink further because of more competitive conditions that may be created following the changes in industrial policy and in direct taxes. Unless, therefore, prices of industrial products move up or, in other words, there is inflation, the incidence of industrial sickness will grow. Achieving growth with relative stability will become a progressively unrealistic objective. If reduction in costs and prices can be brought about only through upgradation of technology and innovation and reducing wastage in the use of manpower and other resources, it will be fruitful to address ourselves more seriously to these tasks.||M. P. Chitale
27/4/1985- ||review of women studies, april 1985||4374339||Women's Employment and the Household: Some Findings from Calcutta||The precise effects of women's participation in waged work on the family-based household have received little detailed attention until recently. This is particularly the case in many Third World urban contexts where female labour force participation rates have been traditionally low until the recent emergence of opportunities for women in 'new' gender-segregated industries, such as electronics assembly, for instance. The empirical starting point for this study was the observed increase in the participation of women in the Calcutta labour force, due to a combination of high male unemployment, falling urban living standards and some increase in employment of a semi- or unskilled kind for which women workers are positively preferred. This preliminary account concentrates mainly on changes in the domestic division of labour and on the distribution and disposal of women's wages. The major emphasis will be on the importance both of the class position of the household and of the cross-cutting effects of the household developmental cycle in understanding the varying effects which women's employment may have.||Hilary Standing,Bela Bandyopadhyaya
14/12/1985- ||civil liberties||4375107||Playing with Passports||-------------------------------------||A. G. Noorani
07/12/1985- ||------||4375092||Hindustan Petroleum Corporation||-------------------------------------||
25/5/1985- ||special articles||4374448||Inflation and Incentive to Invest in Capital Assets||The purpose of this study is to estimate the marginal effective tax rates for different asset classes and change in user cost with inflation. Such calculations enable a study of the effect of inflation and other allowances like depreciation, investment allowance, etc, on incentive to invest. The results show that the effective tax rates increase with inflation but at a decreasing rate. Secondly, inflation increases the dispersion in the effective tax rates causing the tax system to become more non-neutral. A tax system is then suggested which is neutral and compensates for the price increases.||Poonam Gupta,Sanjeev Gupta
21/9/1985- ||------||4374847||Special Statistics||-------------------------------------||
13/7/1985- ||from our correspondents||4374581||Policy-Frame for Seventh Plan||-------------------------------------||B. M.
26/1/1985- ||special articles||4374014||The Mother and Child in India||We have in the country a number of ad hoc programmes in the field of child health and nutrition being carried out sporadically here and there as isolated departmental activities. This patchwork of disjointed, disparate programmes with no set goals and motivated by short-term considerations do not add up to a coherent and consistent national policy. In the absence of a well-conceived, comprehensive, national policy for the eradication of widespread undernutrition among the children of the country, we have allowed ourselves to be wafted and tossed about by passing winds and fashions of the moment. We have not yet put on the ground a health infrastructure which effectively reaches even 20 per cent of the population. Available health technology for prevention and control of such major nutritional diseases as goitre, nutritional blindness and iron-deficiency anaemia is not being effectively utilised. We have no major programme for support to undernourished mothers and for promotion of their health and nutrition.||C. Gopalan
