28-12-2018||comment||---------||Opportunity Lost at Katowice Climate Conference||The commitment to equity continues to elude climate change solutions.||
02-11-2018||commentary||---------||Critiquing Narrow Critiques of Convention on Biological Diversity||The Convention on Biological Diversity has brought about a paradigm shift in rights over genetic resources by recognising sovereignty of nations to utilise their own resources. The principles of equity and fairness enshrined in it are some of the key aspects that create a balance of power between technologically advanced countries and biologically rich countries. It is still important for countries with rich biodiversity to exercise control over their genetic resources and associated knowledge, even when there is no commercial interest in the research proposed or undertaken.||Alphonsa Jojan,Shawn Dsouza,Prakriti Mukerjee,Chetan Rao,Kartik Shanker
26-10-2018||perspectives||---------||Decentralisation of Environmental Regulations in India||The decentralisation of Environment Impact Assessment processes has improved the enforcement of environmental regulations and been successful in reducing polluting activities in India. Evidence suggests that decentralisation was associated with relatively fewer firm births in states with stricter environmental law enforcement. In such a scenario, the development of stronger collaborations between various stakeholders would enhance the enforcement of environmental regulations and reduce disparities between states, through knowledge and resource sharing, and improving technical, financial and administrative capabilities.||Ruth Kattumuri,Stefania Lovo
26-10-2018||special articles||---------||Estimating Greenhouse Gas Emissions : Does Production-based Methodology Reflect the Global Economic Reality?||There is a growing realisation among the scientific community that the current production-based greenhouse gas accounting framework does not capture the true essence of responsibilities towards global emissions. While production emissions of developed countries have decreased, consumption has gone up. We argue that this is due to the shifting of energy-intensive industries to developing countries. The increasing gap between consumption and production emissions not only distorts responsibility, but also affects developing countries’ ability to fulfil their nationally determined contributions. We discuss the implications and possibilities of a consumption-based methodology for GHG estimating and argue that such accounting is necessary to increase the system’s transparency.||Himangana Gupta,Rajani Ranjan Rashmi,J R Bhatt
29-10-2018||-------||---------||Challenges in Shale Gas Production Cannot Be Resolved by Generic Environment Clearance Processes||India is venturing into shale gas fracking with a pursuit to cut down its natural gas export bill significantly. This process poses several challenges concerning “energy-water nexus,” such as mixing of shale fluid with the groundwater, rationing of water in a water-scarce country, and lack of technical know-how of waste-water treatment. These challenges may result in significant problems if not regulated at the exploration stage of the gas. This article highlights legal and policy gaps concerning shale gas exploration process and water usage.||
10-10-2018||review of environment and development||---------||Global Status of Agroecology : A Perspective on Current Practices, Potential and Challenges||Over the last decade, agroecology has rapidly moved from the margins and taken centre stage in global discussions on environment and development. Institutions like the United Nation’s Food and Agriculture Organization increasingly argue that agroecology can significantly help alleviate hunger and poverty as well as contribute to meeting other sustainable development goals. In this context, the history and practices of agroecology are outlined, and some of the ecological, social, economic, and political challenges for transformation to agroecology and food sovereignty have been identified.||Michel P Pimbert
12-10-2018||review of environment and development||---------||Maximum Sustainable Yield : A Myth and Its Manifold Effects||Some scientific concepts are accepted and sustained by policymakers not because they can accurately explain or predict the state of natural resources, but because they can be used to legitimise certain forms of resource control. Taking the concept of maximum sustainable yield as an example, how it was originally developed in the context of scientific forestry, but entered marine fisheries management and became a part of the “accepted wisdom,” has been analysed. The consequences this has had, for marine fisheries globally and also in India, and the critiques it has spurred have been explained. The msy’s persistence is unpacked to suggest that debates on resource management need to be attentive to context, in order to understand how science may get enmeshed in efforts to enclose and appropriate resources.||Madhuri Ramesh,Naveen Namboothri
10-10-2018||review of environment and development||---------||Urbanisation and New Agroecologies : The Story of Bengaluru’s Peripheries||Rural–urban interfaces worldwide are increasingly witnessing massive transformations in the structure, functions, and services of complex ecosystems of these zones. An attempt has been made to understand the transitions triggered by urbanisation in the peri-urban agricultural systems of Bengaluru. Using a combination of land-use change analysis and group interactions, the temporal and spatial patterns in the impacts of urban expansion on agroecology in Bengaluru’s peripheries have been traced. The varying nature of agroecological and sociocultural impacts corresponding to differences in the pattern of urban expansion along different directions from the city have also been unravelled. Further, agroecological repercussions of existing and proposed urban planning strategies for Bengaluru have been discussed.||Sheetal Patil,Dhanya B,Raghvendra S Vanjari,Seema Purushothaman
11-10-2018||review of environment and development||---------||Agroecological Farming in Water-deficient Tamil Nadu||Tamil Nadu is confronted with a water crisis that is adversely affecting agriculture, industry, services, and households. The principal crop in Tamil Nadu is rice, which is water intensive. Millets, in general, are less water intensive and more capable of withstanding drought conditions. An agroecological system of farming millets ought to take into account not only water use, but also the whole gamut of political and ecological issues that are connected to farming such as public procurement, land reform, minimum support price, subsidised credit, agricultural extension services, and so on. The publicly procured millet output may be distributed through the public distribution system, government schools, and through the network of Amma canteens in the state.||C Saratchand
12-10-2018||review of environment and development||---------||Indian Agriculture : Redefining Strategies and Priorities||Sustainability of agriculture depends on soil management systems that ensure food security, healthy soils and ecosystem services, and prevent resource degradation. Globally, conservation agriculture has provided a common thread for the application of five sustainability principles—efficient use of water, reduced use of agrochemicals , improved soil health, adapt to climate change, and doubling farmer income—in order to tie the mix of interventions with local needs and priorities of the farmers. For food and ecological sustainability of Indian agriculture, the state’s interventions must be on the basis of the conservation agriculture approach.||Raj Gupta,Mamta Mehra,Rabi Narayan Sahoo,Inder Abrol
12-10-2018||review of environment and development||---------||Bovine Politics and Climate Justice||Caught between deepening ecological, climate, and economic crises, marginal and small farmers in Telangana and Andhra Pradesh have been systematically pushed out of dairy and other livestock livelihoods. The growing political environment in India, openly supportive of cow-related hate crimes in the name of upholding anti-slaughter laws, is further destroying farmer livelihoods. Smallholder farmers are organising in creative ways, radically opposed to the dominant policy recommendation, in order to counter this situation and build climate and economic resilience that is socially just.||
11-10-2018||-------||---------||The Conservation Discourse in Assam Must Consider a Sustainable Rehabilitation Plan for the Mising Tribe||The Misings in Upper Assam continue to lose most of their arable territory to constant floods, forcing the affected people to look for alternate living spaces. Often, they find themselves occupying land in protected forest areas, leading to conflict and opposition; both from conservation groups and the local population of the region.||
04-10-2018||special articles||---------||The Hope and the Dilemma of the Urban Poor||A common view about economically weaker sections and lower-income groups in India is that they live in slums because they cannot afford to buy or rent decent accommodation in the formal market. However, some can pay a monthly rent and/or for the services such as garbage disposal and water, but they, and others who can afford to buy, are deterred by institutional constraints. Many slum households face a dilemma: opting for better and more secure living conditions would mean losing some of the advantages of living in a slum and the possibility of a free home.||Padmini Ram,Barrie Needham
27-09-2018||special articles||---------||The Multiple Meanings of Nature Conservation : Insights from Dibang Valley, Arunachal Pradesh||With increasing concerns about the degradation of forests threatening the existence of wildlife, conservation projects are seen as the need of the hour. However, conservation as a concept is often understood differently by the local community, the scientific community, and the state. A critical examination of the ongoing efforts for tiger conservation in Dibang Valley, Arunachal Pradesh, exposes the fault lines in the narrative of nature conservation as the state imposes its agenda through the establishment of sanctuaries and reserves, without considering the needs of the local Mishmi tribe and excluding their traditional conservation practices.||Ambika Aiyadurai
28-09-2018||postscript||---------||Dupatta Falls||From a pristine, green, little-known destination, a secluded waterfall and its surrounding forest becomes a regular, busy stop on tourist itineraries.||Kaaren Mathias
01-10-2018||-------||---------||In Bengaluru’s Gated Communities, New Forms of Civil Engagement Are Emerging||By foregrounding the flows of water and waste through the analytics of seepage, smell, and sightings (of flies and buzzards), an ethnography of the gated community suggests an entangled and evolving relationship with its poorer neighbours.||
21-09-2018||special articles||---------||Climate Justice and Gandhian Morality||Gandhian principles of morality have in the past been linked in various ways to India’s approach to environmental governance and, more recently, to the contemplation of the broader global debate on climate change. The applicability of these principles to conceptions of climate justice is examined by exploring the ways in which the idea of M K Gandhi is articulated in an Indian context. The vocalisation of Gandhi as a symbol of Indian engagement with climate change and sustainable development asks to be located within broader normative perspectives on the content and directionality of a Gandhian approach. Ideas of cosmopolitanism and “realised justice” supply a useful backdrop for a contemporary reading of Gandhi, and draw attention to several questions that this article examines.||Ramya K Tella
21-09-2018||discussion||---------||Thwarting Water Sector Reforms||A water bureaucrat’s response to the critique of the Mihir Shah Committee report by M Dinesh Kumar et al (“New ‘Water Management Paradigm’: Outdated Concepts?” EPW, 9 December 2017) contends that by opposing the much-needed restructuring of the central water agencies, Kumar et al want to preserve the status quo and derail the attempt to reform the water sector.||J Harsha
12-09-2018||special articles||---------||Urban Canals and Peri-urban Agrarian Institutions : A Study of Budhera Village in Gurgaon||The metabolisation of water to serve urban consumption through drinking and waste water canals is an important yet understudied aspect of urbanization in Indian cities. The empirical evidence from fieldwork in Budhera village in peri-urban Gurgaon suggests that the surface water that flows in the canal systems is open to seepage, theft, waste water irrigation, and these processes have a profound impact on agricultural livelihoods in the vicinity. The structure of the canals in relation to the geographic conditions of land, social relations and technologies create differentiated risks and opportunities for farmers and produce complex distributional impacts that are unplanned and arbitrary. This article looks at different types of conflicts that emerge in this context while also focusing on new norms, institutions and practices that support the changing rural–urban flows of water and prevent conflicts of interest from emerging into outright conflicts.||Pratik Mishra,Vishal Narain
14-09-2018||special articles||---------||More than Just Water : Participatory Irrigation Management in Maharashtra||The Participatory Irrigation Management legislation in Maharashtra is a vital component of the World Bank’s next generation reforms in the water sector in India. These reforms are based on the bank’s emphasis on efficiency in resource use and a rollback of the government’s presence in the sector to a more regulatory role. This study applies the Policy Advocacy Coalition Framework to the policy subsystem which has been created by the enactment of the PIM legislation in Maharashtra. The emergent coalitions in the subsystem have been analysed for their belief systems, actors, structure and resources.||Varun Panickar
03-09-2018||-------||---------||What is the Future of Water Governance in the Himalayas?||Through a case study of water governance currently operational in one of the spring sheds in the Dhauladhar range in Himachal Pradesh, this article analyses issues related to water governance along with implications for policy and practice.||
24-08-2018||commentary||---------||Kick-starting the Kisan Urja Suraksha evam Utthaan Mahabhiyan||The Union Budget 2018 announced the Kisan Urja Suraksha evam Utthaan Mahabhiyan, a scheme to replace diesel pumps and grid-connected electric tube wells for irrigation with solar irrigation pumps, including a buy-back arrangement for farmers’ surplus solar energy at a remunerative price. KUSUM can be a game changer as it can check groundwater over-exploitation, offer farmers uninterrupted daytime power supply, reduce the carbon footprint of agriculture, curtail the farm power subsidy burden, and provide a new source of risk-free income for farmers.||Tushaar Shah
24-08-2018||special articles||---------||Death of Democracy : An Inevitable Possibility under Capitalism||What happens to democracy when capitalism becomes global? Capitalist expansion and democratisation are popularly represented by the magical term “development.” However, the unbridled development of capitalism is invariably based on the over-exploitation of natural resources, and the consequent impoverishment of tribal people, expansion of the middle class and transformation of the nation into a crony capitalist state. The latest phase of capitalism, namely techno-capitalism—with its corporate system of organisation and highly centralised top-heavy administration, or “corporatocracy”—signifies the measured death of democracy.||Rajan Gurukkal
24-08-2018||special articles||---------||India’s Electronics Manufacturing Sector : Getting the Diagnosis Right||The Indian electronics industry’s high dependence on imports can be directly linked to trade and investment policy liberalisation, in the absence of vertical industrial policy measures to improve productivity and capabilities. With the failure of passive industrial policies oriented towards attracting foreign direct investment, growth in domestic electronics manufacturing will have to come from a comprehensive policy approach encompassing trade, FDI, technology, taxation, infrastructure development, environmental protection, and education and skill development. Apart from significantly increasing the public fund outlay for research and development, such an industrial policy intervention must subsidise the cost of commercialising new innovations and expand the market for domestic electronics products by interlinking the demands of upstream industries with downstream manufacturers through incentives.||Smitha Francis
17-08-2018||commentary||---------||Contested Coasts : The Draft CRZ Notification, 2018||The Ministry of Environment, Forest, and Climate Change has proposed to replace the Coastal Regulation Zone Notification (2011) with an overhauled coastal regulatory framework. The process and the contents of this proposed draft indicate a top–down approach favouring limited interests. It writes out large sections of vulnerable populations facing uncertainties of livelihood, climate change, and extreme weather events. The proposed framework fails to address the weaknesses of the 2011 notification. Rather, it threatens to weaken existing safeguards and further entrench the vulnerability of coastal populations.||Preeta Dhar
14-08-2018||-------||---------||The Emerging Energy Industry Is Much More Revolutionary Than What Arvind Subramanian Imagines||Arvind Subramanian’s Darbari Seth Memorial Lecture last year was a status-quo view of a traditional industry with merely the arithmetical addition of renewables as a variable.||Mahesh P Bhave
03-08-2018||commentary||---------||Uncertainty in Climate Science : Extreme Weather Events in India||In May 2018, multiple extreme weather events claimed scores of lives, damaged property and brought public life to a standstill in parts of India. In the aftermath of these events, a blame game ensued with some assigning responsibility to scientific and state agencies, and others calling for more research and accurate weather forecasts. It is important to recognise the uncertainties in climate science and embrace them in order to channel resources appropriately, attribute causality, build public trust, and improve policy effectiveness.||Hans Nicolai Adam,Lyla Mehta,Shilpi Srivastava
20-07-2018||postscript||---------||A Mascot for the Ecological Citizen||The citizen concern around a black-necked stork’s rescue in the Basai wetland signals hope for urban biodiversity.||Neha Sinha
05-07-2018||perspectives||---------||Forest Shrines and Sacred Groves : Impact of Changing Economy on the Kodavas||The article delineates the life-affirming values of caring for the earth among the Kodavas in Kodagu district, Karnataka. It argues that the coffee economy under colonial rule depleted the forestland, a trend exacerbated by the post-independence economic and forest policies. The full impact of these policies are apparent from the growing conflict in the area between wild elephants and humans.||Veena Poonacha
05-07-2018||special articles||---------||Origin of Conservation Refugees : The Downside of Environment Protection in India||The conservation of biodiversity and natural resources can help offer a sustainable supply of goods and services to fulfil the right of people to development and livelihood. However, the conservation record is not inspiring in India and across the world, when its social, economic, and cultural impacts on local people are considered. Conservation projects that exclude local people may conserve natural resources to an extent but not people’s access to livelihoods. By being a densely populated country, India cannot encourage the strategy of “pristine nature” in its conservation initiatives.||Anju Lis Kurian,C Vinodan
21-06-2018||insight||---------||Mainstreaming Climate Smart Strategies in the Sanitation Sector in Asian Cities||There is a high correlation between urbanisation and the emission of greenhouse gases. Landfills and sewers in cities generate 15% of methane emissions; this sector offers immense possibilities for the mitigation of methane emissions in Asian megacities. Capturing methane by efficiency improvements in the working of both sewage treatment plants and sanitary landfills has co-benefits in terms of both public health as well as mitigating climate change. The linking of climate change strategies with improvements in the sanitation sector, particularly in the megacities of South and South East Asia, is analysed.||Naini Jayaseelan
22-06-2018||-------||---------||Can the Movement Against Hydropower Projects in Sikkim be Reactivated?||The indigenous tribal community in Sikkim regard their land and the Rivers Teesta and Rangeet as sacred and integral to their civilisations heritage. However, the industrialisation efforts have not only displaced and marginalised this community from the development plans within their ecologically and culturally protected area. The need for grassroots protest and organisation against the construction of hydro-electrical dams along the river and in protected forest areas has recently been reinvigorated.||
24-05-2018||special articles||---------||Making Ash Disappear : Challenges and Opportunities in Fly Ash Utilisation||The Indian government has been pushing for a target of 1.5 billion tonnes of coal production annually by 2020, most of which will be used in the electricity sector. In this context, current issues—status, policies, regulations, and bottlenecks—regarding the disposal of fly ash generated by thermal power plants are examined. Scenarios of ash generation and utilisation are presented. Blending fly ash in cement is the most environmentally sustainable and financially attractive method of its utilisation. Finally, key technical, regulatory, pricing, logistical, and behavioural issues that need to be urgently addressed to reach complete fly ash utilisation are discussed.||Mohd Sahil Ali
25-05-2018||special articles||---------||Spatio-temporal Variations of Crop Diversification : A Block-level Study in West Bengal||Crop diversification has been found to augment farmer’s income and employment, and to reduce poverty. An analysis of the nature and extent of crop diversification with spatio-temporal variations in the Damodar Valley Corporation command area in West Bengal is presented and the factors affecting crop diversification are identified. The spatial effect has been captured by segregating the DVC canal water course into three segments—head-reach, middle-reach and tail-end—according to the location of the area with respect to the water course. Uncertainty in respect of canal water availability in the tail-end area induces farmers to resort to higher crop diversification. The number of rural markets, distance of cultivated land from farmer’s home, and the number of adult family members engaged in agriculture significantly influence the nature of crop diversification.||Raj Kumar Kundu,Apurba Kumar Chattopadhyay
25-05-2018||discussion||---------||Solar Irrigation Cooperatives : Creating the Frankenstein’s Monster for India’s Groundwater||This article challenges the analysis and arguments presented in Tushaar Shah et al (2017). It shows on the basis of empirical data that solar photovoltaic systems for well irrigation are economically unviable, and offering high capital subsidies for such systems and then guaranteeing a higher feed-in-tariff for the electricity produced than the market price would ruin the state electricity utilities and distort energy markets, while incentivising farmers to pump excess groundwater to raise water-inefficient crops and sell the excess water for a profit.||Meera Sahasranaman,M Dinesh Kumar,Nitin Bassi,Mahendra Singh,Arijit Ganguly
18-05-2018||notes||---------||What Has the Pradhan Mantri Ujjwala Yojana Achieved So Far?||The central government’s flagship programme to provide free liquefied petroleum gas connections has been in operation for two years, providing more than 3.5 crore free LPG connections to poor women. This much-needed scheme is a major step to reduce indoor air pollution, drudgery faced by women, and one that promises to extend LPG access. However, little is known about the progress of the scheme. Has it led to sustained use of clean fuels among poor households? There is need for more information about the scheme in the public domain for a comprehensive evaluation and mid-course correction.||Ashwini Dabadge,Ashok Sreenivas,Ann Josey
10-05-2018||commentary||---------||Technologies to Alleviate Pollution : Air and Water Purification||Technologies are believed to be problem-solving. However, this may not always be true, especially in terms of their influence on the environment. The emphasis on purification technologies to solve issues arising due to environmental pollution raises the question as to whether short-term solutions, like air and water purifiers, can result in salvaging the health of people and the environment.||
10-05-2018||special articles||---------||Pesticide Usage by Cotton Farmers in India : Changes over a Decade||With India emerging as a leading cotton producer in the world, and considering the large-scale adoption of Bt cotton cultivation, there is a need to understand the patterns of pesticide use by cotton farmers, especially as environmental, ecological, and health concerns surrounding pesticide use continue to be debated.||Thiagu Ranganathan,Sarthak Gaurav,Imdadul Islam Halder
03-05-2018||perspectives||---------||A Village in the Midst of a Forest Ecosystem||Settled villages on the fringes of a national park earn their livelihood not only from collecting forest produce but also from agriculture within the forest ecosystem. However, this relationship between the settlers and the forest is constantly mediated by institutions such as the state and the market. The settlers have to contend with risks of rain-fed agriculture, depredations from wild animals, and also with the forest establishment, which is mostly hostile to cultivation. This article attempts to show the complex relationship between the forest and the people living in it.||Subhashree Banerjee
04-05-2018||postscript||---------||Ecological Memory||Along with our birds and natural landscapes, our ecological consciousness is slowly disappearing.||Neha Sinha
04-05-2018||-------||---------||Draft Pesticide Management Bill is Out of Sync With the Agrarian Political Economy||The bill ignores ground realities of sale and consumption of agrichemicals. Any bill genuinely concerned about agrichemicals management must begin with the recognition that much of agriculture is plagued by a deep economic, ecological, and cultural crisis. The government must go back to the drawing board and reformulate the very objectives of the bill.||
26-04-2018||review of women's studies||---------||Wells and Well-being in South India : Gender Dimensions of Groundwater Dependence||​Groundwater has played a pivotal role in transforming the rural agrarian landscape, augmenting rural livelihoods and improving household well-being. What role does the growing prevalence and importance of groundwater play in intra-household relations, particularly the gendered divisions of labour and use of assets? The impacts of failed borewells on gendered vulnerabilities, identities and well-being have been explored. Research indicates that groundwater usage in semi-arid regions has increased the short-term resilience of communities in the region, but has simultaneously increased gendered risks, especially for smallholders, by promoting unsustainable livelihood trends and risky coping strategies to groundwater shortages.||Divya Susan Solomon,Nitya Rao
26-04-2018||review of women's studies||---------||Gendered Vulnerabilities in Diaras : Struggling with Floods in the Gandak River Basin||People living in diara villages within the embankments of the River Gandak in Bihar face high levels of vulnerability due to frequent flooding and droughts. Using anthropological surveys, gendered vulnerabilities in four diara villages in West Champaran are explored. Such vulnerability, in the context of a changing climate, combines social, political, and economic dimensions: the patriarchal creation of gender norms and biases; unequal access to water, sanitation, credit, and public distribution services; and limited employment opportunities. These elements influence the livelihood options of women and men differently, determining their capability in responding to risks posed by climatic and socio-economic stressors.||Pranita B Udas,Anjal Prakash,Chanda G Goodrich
26-04-2018||review of women's studies||---------||Male Migrants and Women Farmers in Gorakhpur : Climate Adaptation and Changing Gender Relations||Research on gender and climate change mostly focuses on the negative impacts on women and children, where men are portrayed as somewhat irresponsible, migrating to the cities and leaving behind helpless women to face multiple adversities. Based on data from the peri-urban Gorakhpur city in Uttar Pradesh, a nuanced approach is argued for instead, distinguishing between adaptation strategies of the landed and landless households, investigating the compulsions and decision-making processes behind male migration, and the coping strategies of the women left behind. Male migration, coupled with the women farming and dealing with markets directly, has changed gender relations in the region. New forms of patriarchy and resistance to the same are emerging even as men face crises of masculinity.||Amit Mitra
26-04-2018||review of women's studies||---------||Adapting to Climate Change–induced Migration : Women in Indian Bengal Delta||Vulnerable groups, especially women, bear the disproportionate burden of the impact of natural disasters induced by climate change. In the wake of the destruction wreaked by cyclone Aila in 2009, about half the men from the most affected blocks of the Indian Sundarbans, a region extremely vulnerable to climate change, migrated to other parts of the country in search of livelihood. The women were left alone to shoulder the entire burden of running the household and deal with the disastrous effects of the cyclone. The impact of male migration on the women of this region and the role of women’s self-help groups in helping them cope with the socio-economic distress caused by the cyclone are examined.||Asish Kumar Ghosh,Sukanya Banerjee,Farha Naaz
26-04-2018||review of women's studies||---------||Energy Use and Women’s Work in Agriculture : Reducing Greenhouse Gas Emissions||Changes in women’s use of energy in agriculture, in the spheres of crop production and social reproduction, can bring about a reduction in greenhouse gas emissions. Two technological changes—the shift from household cooking with carbon-emitting solid biomass fuels to liquified petroleum gas as a clean cooking fuel; and the shift from methane-emitting flooded rice cultivation to the System of Rice Intensification with electricity-based alternate wetting and drying—have been considered in this regard. The changes in women’s roles and energy use accompanying these technological interventions have been examined.||Dev Nathan,Manjula M,R Rengalakshmi,Govind Kelkar
20-04-2018||-------||---------||How Can India's Waste Problem See a Systemic Change?||India generates 62 million tonnes of waste every year, of which less than 60% is collected and around 15% processed. With landfills ranking third in terms of greenhouse gas emissions in India, and increasing pressure from the public, the Government of India revised the Solid Waste Management after 16 years.. This paper proposes an institutional framework that will address this grave environmental and public health concern and bring about a systemic change in the sector.||
13-04-2018||h t parekh finance column||---------||That Sinking Feeling||The United States (US) is sinking. It is what happens to a country when it blames everyone else for its ailments. The problem is that when the biggest boat in the water sinks, it pulls others down with it.||Avinash Persaud
13-04-2018||commentary||---------||Pancheshwar Dam : Destruction in the Name of Development||Despite large dams being decommissioned the world over, the government has now set its sights on the construction of the Pancheshwar dam on the ecologically sensitive Mahakali river. Wary of being sacrificed at the altar of so-called “development,” resistance to the project has transformed into a concerted people’s protest, which continues to gain momentum.||Rakesh Agrawal
13-04-2018||special articles||---------||Legal Status and Deprivation in Urban Slums over Two Decades||In India, 59% of urban slums are “non-notified” and lack legal recognition by the government. Data on 2,901 slums from four rounds of the National Sample Survey spanning nearly 20 years is used to assess the relationship between a slum’s legal status and the severity of deprivation in access to basic services, including piped water, latrines, and electricity. There is a progressive reduction in deprivation the longer a slum has been notified. These findings suggest that legally recognising non-notified slums, and targeting government aid to these settlements, may be crucial for improving health outcomes and reducing urban disparities.||Laura B Nolan,David E Bloom,Ramnath Subbaraman
