26/2/1977- ||review of management, february 1977||4365350||New Issue Market and Company Finance||This paper aims to examine the role of the new issue market [NIM] in India. Section I of the paper sketches the methodology and scope of the enquiry. Section II attempts to present the overall role of, and trends in, the funds raised from the NIM vis-a-vis corporate financing. Sections III and IV enquire into the differences in the role of the NIM by size of firms and their group association. Section V explores how the use of the NIM is influenced by the rate of growth. Sections VI and VII are concerned with industry and age differences in relation to NIM. Section VIII contains the concluding observations.||M. Y. Khan
19/11/1977- ||special articles||4366101||Whither the Indian Women's Movement?||There is a general belief that between the Indian Constitution and the Hindu Code Bill, the entire problem of Indian women has been settled once and for all. The credit for this seeming emancipation has too often gone to men. In fact, however, the gains in public life enjoyed by Indian women were hard fought for and won by women themselves. The women's movement which gathered strength from the 1920s culminated in the legislation of 1956. Unfortunately, in more recent decades, Indian women have too readily yielded their responsibility for preserving and enlarging their rights to institutions of State and society. The effect of this is seen in the overall decline in their participation in public life. It is very clear that there is need to revive the women's movement if women are to achieve genuine equality as citizens and are not to become one of the several casualties of the declining developmental process.||Shahida Lateef
17/12/1977- ||special articles||4366205||Constraints on Growth and Policy Options: Reply||-------------------------------------||A. Vaidyanathan
10/9/1977- ||from our correspondents||4365913||Intimidation of Witnesses to Police Atrocities||-------------------------------------||
30/7/1977- ||from our correspondents||4365817||The Left of the Subcontinent: II||-------------------------------------||Sumanta Banerjee
03/9/1977- ||special articles||4365904||Reflections on the Future of Family Planning||The analysis of family planning activities in rural Uttar Pradesh, in terms of four analytical constructs, suggests a consistent gap between plan and performance both at the level of interaction with the client population and at the level of organising. This gap has existed both before 1975 and during the emergency period. This paper argues that the following three guidelines are of crucial importance in discussing future courses of action for family planning. These are: (1) the strategy chosen for client transactions has to be suited to the client population; (2) the organising strategy has to be suited to the client strategy; and (3) the organising strategy has to be suited to the institutional context within which it is implemented. It is relatively easy to define a client strategy that should work in theory but can not be implemented by the existing structures. Similarly, it is possible to have an organisation which is well designed but inappropriate to the family planning task. The difficult task, then, is to find a set of strategies that suit both the client needs and the constraints of the organisation. This paper suggests three future courses of action in family planning - viz, restructuring the external environment; marginal alterations of programme organisation; and ways to reduce the burden of organising.||B. D. Misra,Ruth Simmons,Ali Ashraf,George Simmons
31/12/1977- ||from our correspondents||4366240||Aftermath of Inaction||-------------------------------------||
21/5/1977- ||------||4365599||End of a Contract||-------------------------------------||
18/6/1977- ||from our correspondents||4365697||Profitable Stagnation||-------------------------------------||Arun Sinha
1/8/1977- ||monopolies and transnational control||4365855||Political Economy of Controlling Transnationals: Pharmaceutical Industry in Sri Lanka, 1972-76||This paper attempts to analyse the experience of Sri Lanka in reforming the structure of the production, import and distribution of pharmaceuticals during the period 1972-76. Section I, which forms the Introduction, briefly touches on the relevance of the Sri Lanka experience with the transnational pharmaceutical companies to other developing as well as developed countries. Section II briefly gives the background to the reforms of the pharmaceutical provisions in Sri Lanka. Section III describes the main parties involved, and Section IV deals with the actions - and reactions - of these various participants in the Sri Lanka experience. Section V discusses the main achievements of the programme and Section VI presents the conclusions. A postscript describes some developments in early 1977. The paper was written before the recent general elections in Sri Lanka.||Sanjaya Lall,Senaka Bibile
28/5/1977- ||special articles||4365639||Tenancy: Extent and Inter-State Variations||What is the extent of tenancy in India? What is the extent of inter-state variation in tenancy? Are the existing estimates dependable? What are the factors which determine inter-state variations in tenancy? In this paper an attempt has been made to provide answers to some of these questions. These answers are largely based on an analysis of three rounds of National Sample Survey's Census of Landholdings (8th, 17th and 26th), the Agricultural Census of 1970-71 and other independent studies, particularly those studies undertaken by the Agricultural Economics Research Centre, University of Delhi.||H. Laxminarayan,S. S. Tyagi
18/6/1977- ||special articles||4365702||The Political Economy of Fascism||Fascism is a concept that is used more as a pejorative term than one having a rigorous theoretical connotation. The unprincipled flogging of the term, and a failure to come to grips with its cultural and structural significance has frequently brought Left forces to grief. What is still more lacking is a scientific theory of fascism. This article attempts to present such a theory by sorting out the structural features of the social and economic co-ordinates of fascism from the more popular value-laden cultural connotations. Though the bulk of the discussion pertains, necessarily, to developments in the advanced capitalist countries in the West, the last section of the paper attempts to relate the issue to developments in Third World countries, particularly India.||Dipankar Gupta
06/8/1977- ||from our correspondents||4365836||A Report from Punjab||-------------------------------------||Baljit Singh
16/7/1977- ||------||4365755||No More Emergency?||-------------------------------------||
29/1/1977- ||------||4365287||From Shortage to Glut||-------------------------------------||
2/7/1977- ||company meeting||41497075||The Madras Aluminium Co Ltd||-------------------------------------||R Venkataswamy
15/10/1977- ||from our correspondents||4366019||Africa: Waves of Liberation, Undertows of Turmoil||-------------------------------------||Gail Omvedt
18/6/1977- ||------||4365687||Price Rigging by Cartels||-------------------------------------||
16/4/1977- ||lest we forget||4365495||The Story of Rajan||-------------------------------------||
31/12/1977- ||from our correspondents||4366237||More Flexible than Ever||-------------------------------------||B. M.
22/1/1977- ||------||4365262||Theism of High Order||-------------------------------------||
28/5/1977- ||capital view||4365626||An Open Situation||-------------------------------------||Romesh Thapar
22/1/1977- ||------||4365268||Companies: Poor Results despite Higher Turnover||-------------------------------------||Hansavivek
31/12/1977- ||from our correspondents||4366238||Substituting Reform for Revolution||-------------------------------------||Ajit Roy
2/7/1977- ||special articles||41497079||Rural Employment, Wages and Labour Markets in India: A Survey of Research — II||This survey, of empirical work on the rural labour market is divided into three sections. Section I surveys the literature on size, characteristics and composition of the rural working force and employment, particularly the changes over time. Changes in the composition of rural work participation and in the distribution of employment, viewed together with the pattern of migration, would indicate at the macro level, adjustments of labour supply to changing income-earning opportunities. Section II covers studies on labour demand implications of agricultural growth with technological change, focusing on the respective employment effects of the seed-water-fertiliser innovation and of the tractor technology depending on the composition of its operational uses. With an eye to the labour demand effects of the changes in scale of production, technology, and related changes in the nature of tenancy and other agrarian institutions, the author discusses studies on employment and wage rates for agricultural labourers, on changes in labours share of value added, and on the board correlates of regional and/or intertemporal variation in wage rates. Section III is concerned more exclusively with the relatively /small amount of literature relating to the process of rural wage determination, the allocation of household labour supply and. of demand for farm labour by the source of supply. The issue of seasonality is discussed more directly in this context. The various implications of institutional differences in the modes of wage payment, labour contracts, and the nature of land (lease) markets are also considered in some details there. This paper is being published in three parts. Section I appeared in the Review of Agriculture last week and Section III will be published next week.||Kalpana Bardhan
29/1/1977- ||------||4365283||CPI's Woes||-------------------------------------||
16/7/1977- ||from our correspondents||4365768||Trade Unionism with a Difference||-------------------------------------||N. K. Singh
27/8/1977- ||review of management, august 1977||4365875||Industrial Labour in Developing Economies: A Critique of the Labour Commitment Theory||Through the concentrated and co-ordinated efforts of some of the more prominent economists, sociologists, anthropologists and political scientists of the United States has emerged a theory on the labour 'problems' in the industrialisation of the newly developing areas of the world: the theory of 'labour commitment'. This theory was formally launched by a background paper, prepared by Arnold S Feldman and Wilbert E'Moore, at a conference held in Chicago, 1958. Since then, the theory has received wide circulation, including in India. The present article attempts to develop a critique of the labour commitment theory. The article develops along the following plan. First, an exposition of the theory is reconstructed from the writings of the proponents of the theory (Sections I and II), followed by an exposition of further contributions to the theory (Section III). Next, an attempt at presentation of the theoretical criticisms of the labour commitment theory, placed at the Chicago conference itself, is made (Section IV), supplemented by an overview of the criticism made elsewhere (Section V). The subsequent treatment (Section VI) presents empirical studies in support of the theory, which are, next, subjected to critical examination (Section VIII). Empirical studies that go contrary to the contentions of the theory are then presented (Section VIII). The author's own critique, drawing from the foregoing exercise, is finally developed in the concluding part of the article (Sections IX-XII).||Surendra Munshi
07/5/1977- ||------||4365555||In Due Season||-------------------------------------||Kapurusa
15/1/1977- ||international affairs||4365247||Look Alike World||-------------------------------------||G. P. D.
27/8/1977- ||------||4365863||Ad Hoc Approach Continues||-------------------------------------||
10/12/1977- ||from our correspondents||4366170||In the Same Groove||-------------------------------------||Charvaka
26/3/1977- ||------||4365426||In Due Season||-------------------------------------||Kapurusa
24/9/1977- ||from our correspondents||4365955||Landlords on Rampage in Champaran||-------------------------------------||Arun Sinha
31/12/1977- ||review of agriculture, december 1977||4366246||Causes of Sharp Increase in Agricultural Labourers, 1961-71: A Case Study of Social-Existence Forms of Labour in North Bengal||This paper examines the sharp rise in the number of agricultural labourers in North Bengal between 1961 and 1971. How far did this rise originate from changes in modes of production and social existence forms? Apart from the rise in the number of agricultural labourers, the importance of North Bengal as a case study stems from its overwhelmingly adhiar (share-cropper) based agricultural economy of the past. The field investigation, on which this paper is based, was carried out during the first half of 1976.||Nripendra Bandyopadhyaya
29/1/1977- ||from our correspondents||4365295||Holes in Safety System||-------------------------------------||Arun Sinha
31/12/1977- ||special article||4366251||The Bourgeois State in Post-Colonial Social Formations||Two important changes have occurred since the end of the second world war which serve to characterise a different phase of imperialism. These are, first, a change in the character of the State in most third world countries from a colonial state to a politically independent bourgeois State and, second, a change in the mechanisms through which the imperialist system dominates the third world. A key factor in understanding the new situation is thus an analysis of the State, which is the purpose of this paper. The paper begins with a discussion of basic concepts (mode of production, social formation, and the State), moves on to an analysis of the capitalist State as such, and then discusses the development of imperialism and the types of States (colonial-feudal, colonial-bourgeois and politically independent bourgeois) that have been connected with imperialist domination of the world. The authors conclude with a discussion of the role of trade unions and parliament in revolutionary class struggle.||Bharat Patankar,Gail Omvedt
29/10/1977- ||from our correspondents||4366056||Repression in Indonesia||-------------------------------------||A. G. Noorani
17/12/1977- ||------||4366193||All Things to All Men||-------------------------------------||Charvaka
03/9/1977- ||------||4365890||Belated Wisdom||-------------------------------------||
27/8/1977- ||special article||4365883||Planning for Rural Banks||Everything possible should be done to extend banking into the rural areas and there should not be any rigidity in the approach. There are areas in which the best line of action will be to use the co-operative primaries - either as partners of commercial banks or as individually re-structured co-operative banks. In the areas where there is little prospect for expanding and re-structuring the co-operatives, the corporate banks will have to enter in a big way. The simplest and the most effective line of action will be to increase the number of rural branches of the commercial banks. There will still remain gaps and it is for these gaps that specially sponsored rural banks will be necessary. The door should be left open for either individual sponsored banks as recommended by the Banking Commission, or for cluster banks of the type of Regional Rural Banks, with some modifications. One important modification should be to invite local participation in share capital, with a guaranteed dividend. Above all, it has to be emphasised again and again that the rural banks must provide full banking services for their customers, including medium-term lending, remittances, and ordinary safe deposit facilities. The rural customer of the banking system must not be made to feel that he is a second class citizen deserving only low grade facilities.||Bhabatosh Datta
01/10/1977- ||capital view||4365969||The Indira Ripple||-------------------------------------||Romesh Thapar
26/11/1977- ||review of management, november 1977||4366121||Use of Computer Technology in Developing Countries||Worldwide marketing of computer technology is dominated by multinational companies which have accumulated many years' technological and marketing knowledge and often use such knowledge purely for the service of their private aim of growth and profit - an aim which sometimes clashes with the larger human, social and economic dimensions of development. In all too many instances such forces have led to acquisition of computers in developing countries despite the inappropriateness of such technology in many application areas. Developing countries, the author suggests, should give priority to investigating the possibilities of using minicomputers and thereby reap the potental benefit from the developments in this field. Today, close to hundred per cent of the computer requirements in developing countries are well within the range of new minicomputer systems. While there are special needs and circumstances also in developing countries requiring large-scale conventional systems, for most purposes the minicomputers do offer options which should be investigated more thoroughly than is currently the practice.||Svein Erik Nilsen
26/2/1977- ||review of management, february 1977||4365348||MBO: How Much Sophistication?||-------------------------------------||S. R. Ganesh
22/10/1977- ||------||4366027||Unity in Action?||-------------------------------------||
12/3/1977- ||------||4365387||In Due Season||-------------------------------------||Kapurusa
29/10/1977- ||chairman's statement||4366062||Indian Organic Chemicals Limited||-------------------------------------||
07/5/1977- ||------||4365548||What Cost Export Promotion?||-------------------------------------||
24/12/1977- ||from our correspondents||4366217||Railway Workers Prepare for Struggle||-------------------------------------||
08/1/1977- ||------||4365220||Meaning of Saudi Deviation||-------------------------------------||
26/3/1977- ||------||4365421||The Forgotten Ones?||-------------------------------------||Mohan Ram
1/2/1977- ||the economic crisis||4365328||Long Live Transideological Enterprise! Socialist Economies in Capitalist International Division of Labour||This article, which is part of a book on the international division of labour, argues that the leadership of the socialist world has a deeply rooted tradition of trade and economic relation with the capitalist world. Following this, it is but natural that the socialist world should consider the survival and continued prosperity of capitalism as essential for its own survival. Such has been the worldview of the leadership of the socialist world, at least since the early 1920s. The ultimate aim of the socialist world is to integrate its own 'socialist' economy into a world capitalist economy. This process has been going on in one form or another in all socialist countries, though it has been most conspicuous in the Soviet Union and other East European countries. The present article documents this integration, and offers some tentative explanations for this tendency. It examines the possible consequences of this accelerating tendency towards the integration of socialist and capitalist economies to the underdeveloped countries, and to the latter's own relations with the socialist world.||Andre Gunder Frank
24/12/1977- ||------||4366215||Companies: Deeper in the Red||-------------------------------------||Hansavivek
03/12/1977- ||------||4366141||United Front of Government Employees||-------------------------------------||
30/4/1977- ||------||4365529||Story of Shambhu Saha||-------------------------------------||Ajit Roy
1/2/1977- ||the economic crisis||4365322||Export-Led Growth and Import-Substituting Industrialisation||Both the import substitution and export-led strategies of industrialisation come up against the contradictions of a class-riven retarded society. A ery large fraction of the poor remain outside the purview of stimulation sought to be provided by these strategies, both on the demand and on the production sides. The process of economic change works by extruding people from an active production process, and converting them into 'waste products'. These waste products can then hardly be expected to help either in raising productivity in industry and agriculture and enabling indigenous capitalists to compete with advanced capitalist countries at home and abroad, or in expanding the market in the long term and thereby raising the long-term profitability of investment. There may be other strategies for raising industrial growth and achieving self-reliance, but their discussion would require the blueprint for an alternative society as the appropriate background.||Amiya Kumar Bagchi
1/2/1977- ||the economic crisis||4365324||India's Green Revolution||This paper examines the social and economic consequences of the introduction of high-yielding varieties in Indian agriculture. In particular, it tries to identify the factors which explain the initial success of the HYV as well as the stagnation following the peak year of 1971. The author attempts, in the light of this examination, to indicate the future scope of the high-yielding varieties programme in solving India's food problem.||Biplab Dasgupta
28/5/1977- ||------||4365627||Companies: Higher Sales, Uncovered Dividend||-------------------------------------||Hansavivek
16/7/1977- ||------||4365758||Vajpayee's Visit||-------------------------------------||
