1/11/2014- ||commentary||24480985||A Development Manifesto||-------------------------------------||RAMASWAMY R IYER
27/9/2014- ||insight||24480732||Moving Home: Global Warming and the Shifts in Species' Range in India||Global warming and changing rainfall patterns have resulted in shifts or extensions in species' range in every terrain, region and ecosystem in India. If it is indicative of a wider unfolding process related to climate change, it would suggest that a staggering number of species in India are moving home. This would adversely affect human habitat as well.||NAGRAJ ADVE
1/11/2014- ||special article||24480999||Review of Elementary Education Policy in India: Has It Upheld the Constitutional Objective of Equality?||The Right to Education Act, 2009, has received mostly negative reactions from various quarters. These reactions have raised fundamental questions about the provision of elementary education as a public good and the role of the State in it. In this article an attempt is made to do a historical review of elementary education policies, placing them in the context of the constitutional objective of "equality of opportunity" and the fundamental right to education now guaranteed through the 86th amendment operationalised in the Act. The policies are reviewed with the lens of inclusion, as that has been, and continues to be, perhaps the most challenging issue in the education sector, even today. To what extent have the government's policies, and their modes of implementation, addressed the concerns and constraints faced by children from marginalised and excluded families in accessing their right to education as equal citizens? What are the implications for the future role of the State in the provision of basic education?||KIRAN BHATTY
19/4/2014- ||postscript||24480162||Turkish Delight: What was once the Ottoman empire, later made modern by Ataturk, founder and first president of the republic of Turkey, is a traveller's find||-------------------------------------||SUMANA NARAYANAN
26/4/2014- ||insight||24480116||Caste Publications: The Space for Upper Caste Subculture Politics||Modern political culture has given viable incentive for various castes to develop their respective subcultures to consolidate their power in a competitive social world. Print media becomes the basis of these subcultures as it provides a viable option both for the consolidation of a shared identity as well as its communication. This article tries to illustrate the role played by print culture in materialising upper caste subcultures and their respective organisational politics through an empirical study of various registered upper caste publications in Uttar Pradesh.||SUMIT CHATURVEDI
12/4/2014- ||notes||24479124||Regional Inequality in India in the 1990s: A District-level View||This note examines changes in regional inequality in India in the 1990s using data for 210 of India's districts, spread across nine states. The methodology is that of cross-section growth regressions, which seek to explain longer-run growth rates in terms of initial conditions of development. By identifying these connections, it seeks to illuminate the role of physical infrastructure, financial development, and human capital in influencing regional patterns of growth. In turn, this may have implications for government policies at the national and state levels.||NIRVIKAR SINGH,JAKE KENDALL,R K JAIN,JAI CHANDER
18/1/2014- ||special article||24478983||Reading the Tea Leaves on Financial Inclusion: The Case of Rural Labour Households||Understanding the extent of financial inclusion of rural labour households is important since in the intercensal period 2001-11, the proportion of agricultural labourers in the workforce increased by 3.5 percentage points. This paper examines progress in financial inclusion using information on indebtedness of rural labour households collected by the National Sample Survey Office as part of the surveys of employment and unemployment conducted in 2004-05 and 2009-10. It is estimated that 22.3 million out of the nearly 66 million rural labour households report being in debt in 2009-10. The share of formal institutions in the outstanding debt of rural labour households increased from 29% to 37% while the share of moneylenders decreased from 44% to 33% during this period. What is promising is that the reliance on institutional sources among rural labour households without cultivable land increased from 20.6% to 26%. The aggregate picture however masks large variations across the states and one does not observe any structural change in geographical distribution of flow of credit and share of outstanding advances to the landless.||S CHANDRASEKHAR
1/3/2014- ||special article||24479177||Real Estate Prices in Mumbai: Does the Metro Rail Have an Impact?||The paper estimates the impact of various neighbourhood, spatial, and externality factors on residential prices in Mumbai. We find that distance from the central business district, proximity to the west coast, presence of slums, proportion of residential and commercial built-up areas, and proximity to the railway station have a significant impact on residential prices. Amenities and open spaces do not have any significant impact on prices. Further, we model the impact of the upcoming metro line on the residential prices. We find that the upcoming metro has no significant effect on prices. These findings have strong implications for policy decisions regarding introduction of land-based fiscal tools such as betterment levies for capturing land value appreciation that is expected to arise from new infrastructure.||SAHIL GANDHI,VAIDEHI TANDEL,ABHAY PETHE,VIDYADHAR PHATAK,SUSHRUT RISBUD
28/6/2014-5/7/2014||perspectives||24480525||India's 'Bully Pulpit': Media in a Time of Digital Revolution||India today is in the midst of a "media revolution". The formative phase of the digital revolution is a great time to be a journalist. It is a moment when there is the opportunity to build a "bully pulpit" – a new and effective platform. Whether India's digital revolution produces a "golden age of journalism" is something that the young journalists of today will play a large part in determining.||ROBIN JEFFREY
8/11/2014- ||special article||24481277||On Controlling Inflation||Under the theoretical hegemony of monetarism, and serving the interests of the capitalists, the government's anti-inflationary policy seeks to lower real wages and reduce employment to achieve its objective, this even as the level of aggregate demand falls short of the available supply. This paper suggests an alternative method of inflation control which uses transfer payments to the working population to bring down the rate of inflation by increasing aggregate output. Indeed, real wages and employment go up and post-tax profits do not suffer, even as the government balances its budget by taxing the capitalists to obtain the additional revenue to make the transfer payments. The method however requires capital controls to be in place.||PRABHAT PATNAIK
27/12/2014- ||commentary||24481200||Bill for Compulsory Voting||This article argues that the Gujarat government's attempt to legislate compulsory voting in local body elections targets the wrong symptom and gives the wrong medicine. The dichotomy of not willing to constitute local governments on one hand, and then making voting compulsory to enhance participation on the other, is simply absurd and risks setting a dangerous precedence.||BHANU JOSHI
1/11/2014- ||------||24481002||CURRENT STATISTICS||-------------------------------------||
13/9/2014- ||special article||24480680||Assam's Tale of Witch-hunting and Indigeneity||In spite of the fact that at one point of time it was believed that globalisation would lead to a process of cultural homogenisation and reduction of difference, the local has actually resurfaced more strongly in the present. The perceived threat of globalisation and the failure of the state have led to ethnic mobilisation in the North East. This process of ethnification and the discourse of indigeneity have granted legitimacy to the inequalities that were very often embedded in traditional customs and practices. Witch-hunting practices of Assam force one to look more critically at some traditional practices that have been fostered by ethnification.||DEBARSHI PRASAD NATH
28/6/2014-5/7/2014||------||24480537||APPOINTMENTS/PROGRAMMES/ANNOUNCEMENTS||-------------------------------------||
19/7/2014- ||commentary||24479767||Decentralised Energy Generation: Extending Access at What Price?||New technological and financial solutions have made decentralised distributed generation more viable and sustainable. However, the energy delivered is still very expensive in the absence of financial subsidies, and it is the mechanism of the subsidy and not the quantum that is the issue.||SHUBA V RAGHAVAN,K SUBRAMANYA
17/5/2014- ||commentary||24479702||Code of Professional Ethics and Delhi University||Against the backdrop of the adoption of the University Grants Commission's professional code of ethics for university/college teachers by the Delhi University executive committee in March 2014, this article explores how the code is interpreted and policed, and, therefore, acted upon as a set of rules in an institution. It also examines the implications of the UGC-recommended code for the integrity of academic knowledge dissemination and the academic profession.||SUMAN GUPTA
27/9/2014- ||national election study 2014||24480734||The BJP's 2014 'Modi Wave': An Ideological Consolidation of the Right||In the 2014 Lok Sabha elections, the Bharatiya Janata Party put together an unprecedented social coalition: in addition to the upper castes and Other Backward Classes, it received support from the scheduled tribes and scheduled castes. We argue that the BJP built this coalition, in addition to energising its traditional base of social conservatives, by mobilising voters who favour less state intervention in the economy. Narendra Modi's anointment as the BJP's prime ministerial candidate aided this strategy, as Modi is widely perceived to be a socially conservative, pro-market leader. The sclerotic performance of the Congress-led United Progressive Alliance government over the past few years compounded the BJP's own efforts. Though the BJP's support base remains Hindu, upper caste, and Hindi-speaking, these other two factors helped the BJP break the social and geographical barriers necessary to secure an outright Lok Sabha majority.||PRADEEP CHHIBBER,RAHUL VERMA
27/9/2014- ||national election study 2014||24480740||Development and Governance Trump Caste Identities in Uttar Pradesh||The landslide victory of the Bharatiya Janata Party in Uttar Pradesh in the Lok Sabha elections surprised not only its rivals and political observers, but even its own leaders. While the 71 seats won in UP significantly contributed to the BJP securing a majority in the Lok Sabha on its own, it is significant that the party made electoral gains across all castes and communities and across all regions in the state. This victory signalled a paradigm shift in voter behaviour, with a preference for good governance and development pushing out the identity politics of caste and community.||A K VERMA
31/5/2014- ||postscript||24479652||The Politics of Namelessness: The 2014 National Film Awards for the best film on environment conservation was bagged by a Malayalam film on the nameless workers who keep a city running||-------------------------------------||MEENA T PILLAI
2/8/2014- ||commentary||24480445||Sex Ratio, Khaps and Marriage Reform||The move by the Satrol khap of Haryana to relax some restrictive marriage norms and induct women and youth into the khap is perhaps a response to demographic and market economy challenges. Patriarchal structures get challenged when material conditions alter. Besides the skewed sex ratio, a generational transition is also underway. More off-farm work and greater nuclear living detach individuals from traditional structures of support and force them to strike out on their own.||RAVINDER KAUR
5/4/2014- ||odisha||24479385||Confronting Extractive Capital: Social and Environmental Movements in Odisha||Mines and other large industrial projects in Odisha have meant the large-scale displacement of people, and destruction of the environment. These have led to widespread grass-roots resistance. This paper takes a look at the major movements against dislocation and the state-corporate nexus that seeks to repress or counter them. It analyses who actually benefits from further depriving the poor, and the crony capitalism and capture of the state apparatus by the extractive sector. It also points out that an increasing convergence of the ecological and social justice trajectories is seen in the people's resistance movements.||KUNDAN KUMAR
14/6/2014- ||postscript||24480199||A Method to My Madness: Puzzled at why she writes in many genres, a Kuwait-based fiction writer and poet wonders whether it is our commodities or our roles that sum up our writing personas||-------------------------------------||NADA FARIS
15/11/2014- ||commentary||24480949||Deregulation and the Fading Labour Agenda: Evidence from Transnational Automobile Companies in India||The report of the International Commission for Labor Rights on the precarious workers in the automobile companies in Chennai reminds us of the inferior state of labour in Indian industry. While India is already in for a second round of labour law reforms, it is important to discuss the nature of the employment that the citizens are offered, often at the cost of their fundamental rights.||SOBIN GEORGE
20/12/2014- ||perspectives||24481150||Implementing Intergenerational Equity in Goa||Hartwick's rule says that as mineral resources are extracted from the ground, investments in productive assets need to be made to leave future generations with as much assets as the present generation. This article examines whether mining in Goa meets Hartwick's rule, and finds that the state government captures only a small fraction of the value of the iron ore extracted from mines it has leased out. It also finds that most of the value of the iron ore is cornered by mining leaseholders, resulting in a significant redistribution of wealth from the poor to the rich. It points to national and sub-national entities that follow Hartwick's rule, and says there are many best practices that can be easily adopted by India.||RAHUL BASU
27/12/2014- ||------||24481220||APPOINTMENTS/PROGRAMMES/ANNOUNCEMENTS||-------------------------------------||
6/9/2014- ||discussion||24480649||Caste among Schoolchildren||Despite the potential of the paper, "Critical Thinking on Caste among Schoolchildren in Maharashtra: Case Study of Two Schools in Chiplun" (EPW, 31 May 2014), it is reduced to a reporting of some of the views and attitudes of children on caste-related issues and leaves much to be desired. The paper does not achieve the objectives it set out for itself. It makes sweeping generalisations across sites and across respondents and holds the schools responsible for being unable to develop critical thinking among children.||DISHA NAWANI
1/2/2014- ||commentary||24479144||Lawrence Robert Klein: A Great Economist and a Fine Human Being||The US economist, Lawrence Robert Klein, who died in late 2013, made significant contributions to post-second world war Economics in theory, econometrics and modelling. A tribute.||V PANDIT
22/11/2014- ||------||24481035||APPOINTMENTS/PROGRAMMES/ANNOUNCEMENTS||-------------------------------------||
8/2/2014- ||commentary||24479255||Release of Bt-Brinjal in Bangladesh: A Threat to the Region||Despite the indefinite moratorium imposed on the cultivation of Bt-brinjal in India and a ban on its field trials in Philippines, Bangladesh has gone ahead with the commercial release of the genetically modified vegetable. With this move, the region, considered to be the centre of origin and diversity of brinjal, now stands exposed to transgenic contamination of the indigenous varieties of this common vegetable.||TUSHAR CHAKRABORTY
20/9/2014- ||special article||24480705||Open Defecation: Evidence from a New Survey in Rural North India||Despite economic growth, government latrine construction, and increasing recognition among policymakers that open defecation constitutes a health and human capital crisis, it remains stubbornly widespread in rural India. We present evidence from new survey data collected in Bihar, Haryana, Madhya Pradesh, Rajasthan and Uttar Pradesh. Many survey respondents' behaviour reveals a preference for open defecation: over 40% of households with a working latrine have at least one member who defecates in the open. Our data predict that if the government were to build a latrine for every rural household that lacks one, without changing sanitation preferences, most people in our sample in these states would nevertheless defecate in the open. Policymakers in India must lead a large-scale campaign to promote latrine use.||DIANE COFFEY,AASHISH GUPTA,PAYAL HATHI,NIDHI KHURANA,NIKHIL SRIVASTAV,SANGITA VYAS,DEAN SPEARS
27/12/2014- ||postscript||24481218||Will the Postman Ring Twice? Crowded out by modern communications technology, the Indian postal service may well be headed for extinction||-------------------------------------||VASANT M KELKAR
27/12/2014- ||review of rural affairs||24481209||Agricultural Productivity Growth: Is There Regional Convergence?||This study examines the question of convergence in land and labour productivity in Indian agriculture between 1991 and 2011. The tendency of low-productivity states to catch up with high-productivity states is studied through the unconditional β-convergence approach, and the operation of Galton's fallacy through growth-terminal productivity-level regressions. The diminution of variance in productivity levels is tested using the σ-convergence approach and the robustness of the results is tested using alternative test statistics. The results reveal that states are converging in terms of land productivity, but not in terms of labour productivity.||S J BALAJI,SURESH PAL
1/2/2014- ||special article||24479147||Rethinking Pakistan's Political Economy: Class, State, Power, and Transition||Examining the numerous and often contradictory issues and problems that emerge in trying to look at a statist or Islamist Pakistan, this paper points out that both undermine the vast array of processes that are at work and feed into the nature of Pakistan's state and society. Scholarship on Pakistan's political economy still lacks a comprehensive theory of the Pakistani state and of its society. The attempt here is to identify and explain the issues and constraints in doing so.||S AKBAR ZAIDI
20/12/2014- ||special article||24481151||Access to Higher Education in India: An Exploration of Its Antecedents||This paper explores the role of socio-religious affiliations in determining participation in higher education in India, and whether the importance of these affiliations changes over time. Using National Sample Survey data it follows the change in the hierarchy of participation within a binary probit framework over the years. Since being eligible for higher education is found to be the key factor in participation, it also explores the role of supply-side constraints by controlling for the distance to a secondary school. Econometric estimations for rural and urban areas indicate a vast rural-urban divide in the role of socio-religious affiliations. Eligibility seems to be the key factor in participation, and a better understanding of the constraints on school education is critical if participation in higher education is to be increased.||RAKESH BASANT,GITANJALI SEN
11/1/2014- ||------||24479012||Books Received||-------------------------------------||
21/6/2014- ||commentary||24479667||What Future for the Media in India? Reliance Takeover of Network18||India's largest company now controls India's largest media conglomerate. The country's media could therefore well be perceived henceforth to be a little less independent or, for that matter, trustworthy.||PARANJOY GUHA THAKURTA
22/2/2014- ||commentary||24479079||Content and Carriage: An Emerging Issue in Electricity Distribution||There is a need to rethink the existing Electricity Act 2003 and amend it to address the problems of the Indian power sector. The issues surrounding healthy competition in the power sector and the costs of "wires and content" segregation must be debated in the Indian context.||SOMIT DASGUPTA
11/1/2014- ||postscript||24479020||It's Just Not Cricket! As modern-day cricket has now attained the frenzied status of mass mania in India, purists have begun to flock to other sports||-------------------------------------||SRINIVASAN RAMANI
18/1/2014- ||commentary||24478974||Parliament, State Legislature and Bifurcation||In the context of the proposed division of Andhra Pradesh the question arises, what is the due process for reorganising states? The Constitution and various judgments of the Supreme Court are quite clear that Parliament has the unequivocal power in deciding matters relating to reorganisation of the states. Any debate regarding the constitutional provisions is more in the realm of politics than about any interpretation of the Constitution.||K NAGESHWAR
3/5/2014- ||postscript||24480238||LAST LINES||-------------------------------------||
9/8/2014- ||special article||24480793||Ethos as a Gendering Device: Muslim Girls in a Minority School||Learning is a complex product of schooling, upbringing and ethos. This study examines, with a critical perspective, the crucial role played by the home-school overlap in the lives of Muslim girls. It describes and analyses the ethos surrounding their impoverished lives and education. A hermeneutic interpretation is offered for a stock phrase they frequently use to represent their lives and aspirations. This analysis takes us to deeper, hidden layers of the girls' own discourse. By focusing on the learner's perspective, the study captures a conceptual inadequacy of prevailing policies dealing with girls' education.||LATIKA GUPTA
18/10/2014- ||special article||24480884||How Effective Has India's Solar Mission Been in Reaching Its Deployment Targets?||India launched the Jawaharlal Nehru National Solar Mission in 2010. Since its introduction, solar deployment has increased in the country. However, there are few analytically sound ex post evaluations of the effectiveness of the jnnsm. This paper presents data on the performance of Phase 1 of the jnnsm and develops quantitative metrics to assess its effectiveness against stated targets. It shows that Phase 1 has been successful in deploying solar photovoltaic technology in a cost-effective manner, but that it has failed to deploy solar thermal technology.||GIREESH SHRIMALI,VIJAY NEKKALAPUDI
10/5/2014- ||------||24479569||FROM 50 YEARS AGO||-------------------------------------||
16/8/2014- ||commentary||24480444||Trans-Pacific Partnership What It Portends||Negotiations towards concluding the Trans-Pacific Partnership agreement have reportedly reached an endgame phase. The participating countries are now negotiating market access for sensitive agricultural products, even as a wide gulf in positions exists on several rules and regulatory framework issues. Will the TPP countries be able to finalise the agreement this year? Will the US Congress ensure smooth passage of the TPP deal? This article examines these questions and the effect the TPP will have on the multilateral trading environment if it is successfully concluded.||V S SESHADRI
31/5/2014- ||review of urban affairs||24479639||The Politics of Classification and the Complexity of Governance in Census Towns||Spontaneous urbanisation through the transfer of capital from the agricultural sector to the commercial sector has given rise to a large number of census towns in West Bengal. These settlements are cases of denied urbanisation, where the territory takes an urban shape but infrastructure and services remain poor under rural local governments that lack resources. Some of these towns retain their census town status for decades, and basic services are neglected until they achieve urban status. Based on empirical research carried out in Singur, a census town in West Bengal, this paper looks at the nature of urbanisation in these towns and tries to trace the role of politics in controlling access to urban status. It also explores the complexity of governance in census towns and surrounding urban areas.||GOPA SAMANTA
22/2/2014- ||special article||24479086||Revolt and Reform in South Asia: Ghadar Movement to 9/11 and After||The Ghadar movement holds the clues to unravelling two paradoxes of modern India. First, India remains a constitutional democracy even when authoritarianism is embedded in the architecture of the state. The second paradox is that internationally India is a model for "democratic-development" even though the country has regressed into an abyss of poverty, dispossession, internal strife, ecological precariousness, rising fundamentalisms and militarism since Independence. The Ghadar centenary year is an opportune moment to reflect on the constitutive nature of the rebellion-repression-reform cycles that is formative of the Indian state and Constitution.||RADHA D'SOUZA
8/11/2014- ||special article||24481278||An Improved PDS in a 'Reviving' State: Food Security in Koraput, Odisha||The public distribution system is widely criticised for being ridden with chronic corruption and failing to deliver benefits in a systematic manner. Using a sample of 793 households in the district of Koraput in Odisha, this article reviews the performance of the PDS in the district and highlights three important points: first, distribution of foodgrains, specifically rice, through the PDS has undergone vast improvements in the past five years; second, while the PDS is fairly inclusive in the district, households excluded are massively deprived, supporting the need for an expansion of coverage; and third, access to grains is fundamentally important in a region where the primary source of livelihood is a combination of subsistence agriculture and casual labour, and where child under-nutrition is rampant.||MIHIKA CHATTERJEE
21/6/2014- ||special article||24479681||Political Power and Democratic Enablement: Devaraj Urs and Lower Caste Mobilisation in Karnataka||Lower-caste mobilisation and organisation continues to inspire much of political imagination in India as being integral to processes of enablement and democratic inclusion. But there can be inclusion without enablement and, at times, attempts at enablement without inclusion. This paper is a critical exploration of one of the important experiments led by Congress leader Devaraj Urs in the 1970s in Karnataka that sought both inclusion and enablement of lower castes by deploying the resources of political power.||VALERIAN RODRIGUES
13/9/2014- ||------||24480665||FROM 50 YEARS AGO||-------------------------------------||
8/11/2014- ||commentary||24481270||Through the Looking Glass: The Domicile Debate of Jharkhand||The local domicile concept is fallacious in India because every citizen has the right to move freely, reside and settle in any part of the country. But domicile status can be used to grant a privilege only if there is some justifiable context like discrimination. This article deals with the domicile dispute existing in Jharkhand state, where the government is yet to complete the task.||NIRMAL SENGUPTA
29/11/2014- ||commentary||24481070||BSP in Punjab: Analysing Its Failure||Dalits constitute over 31% of the population of Punjab, and 42% of the Doaba region. Yet there is no consolidated political force that has emerged to take up their issues. The Bahujan Samaj Party has failed to gain a foothold in the state, mainly due to splits within the party, weak organisational structure, and also the history of social identities in Punjab, which is quite different from states like Uttar Pradesh.||NIRMAL SINGH
27/9/2014- ||commentary||24480727||Disaster Risk Management: Shifting Paradigm||Most countries have demonstrated some success in responding to disasters. Does it imply that as a species we have learnt how to handle disasters, and that disaster risk management has finally come of age? As discussions on the formulation of the successor to the Hyogo Framework for Action (2005-15) gather momentum, it is time to take a look at the conceptual underpinnings of disaster risk management.||VINAY ASTHANA
8/3/2014- ||postscript||24479237||Of Hartals and Heroes: A growing sentiment against hartals in Kerala is finding expression in media and civic discourse as well as in contemporary Malayalam films||-------------------------------------||C S VENKITESWARAN
22/11/2014- ||------||24481017||FROM 50 YEARS AGO||-------------------------------------||
23/8/2014- ||------||24480903||FROM 50 YEARS AGO||-------------------------------------||
6/9/2014- ||postscript||24480654||From LoO to LoP to LoO: The possible abbreviations for the Leader of Opposition offer an interesting diversion into the origin of words and their usage||-------------------------------------||M S PRABHAKARA
29/11/2014- ||review of urban affairs||24481079||Rethinking Governance of Public Toilets: Lessons for "Swacch Bharat" from Hyderabad||Based on an audit of public toilets in Hyderabad, this article argues that public-private partnership projects seem to have compounded the problems of inequitable spatial distribution and inefficient operation of toilets. They have also failed to address the problem of lack of facilities for women and differently-abled people. With the Swacch Bharat Mission, the way forward must involve a careful rethinking of public toilet governance, including revision of planning norms, providing statutory backing to these norms, and creating effective regulatory institutions. This is essential to alleviate the intensifying everyday contestations between those who desire a "clean city" and those who are forced to defecate in the open.||INDIVAR JONNALAGADDA,SANDEEP TANNIRU
22/2/2014- ||commentary||24479078||Coal Mining and Local Livelihoods||This article is an attempt to understand the consequences of the sudden collapse and subsequent deaths in August 2013 at the Kulda Opencast coal mine in the Basundhara-Garjanbahal area of Sundargarh district, Odisha. The poor management of such mines affects the local people who have been uprooted and their livelihoods destroyed. Their efforts to eke out a living by collecting coal from around these mines are termed "illegal mining" and leads to their victimisation.||PRAJNA PARAMITA MISHRA,SUJIT KUMAR MISHRA
9/8/2014- ||commentary||24480779||Financial Sector, Monetary Policy and Budget 2014||The announcements in the union budget relating to the financial sector were incremental in nature and can be seen as a continuation of the policies of the United Progressive Alliance government. A critique.||PARTHA RAY
24/5/2014- ||special article||24479555||Small Hydropower Development in Himachal Pradesh: An Analysis of Socioecological Effects||This article tries to understand Himachal Pradesh's experience with promoting privatised small hydropower development. Based on field research conducted in 2012 on all completed small hydropower projects in the state, it examines the implementation of Himachal Pradesh's small hydropower policy and highlights the local social and environmental impacts of small hydropower development. The vast majority of small hydropower projects have generated unmitigated negative effects; employment generation, while significant, is mostly temporary, and uncompensated deaths from construction-related accidents are especially worrying. Insights from this study provide the basis for proposing concrete steps that together could help small run-of-the-river hydropower projects realise their purported, but not realised, benefits.||J MARK BAKER
10/5/2014- ||notes||24479585||Social Security Pensions in India: An Assessment||Social security pensions in India have acted as a vital source of stability for approximately 2.6 crore elderly, disabled and widowed persons today. A 10-state survey in 2013 revealed that the pension scheme was running reasonably well. There is strong evidence to support the fact that the money is reaching the intended beneficiaries without any major leakages. The patterns of usage of the pension are indicative of its importance in the lives of the beneficiaries. An evaluation of the scheme also brings to the fore issues related to the diminutive amount, inefficient disbursal mechanism, cost of collection and the lack of a fixed pattern of payment.||SALONI CHOPRA,JESSICA PUDUSSERY
5/4/2014- ||------||24479400||APPOINTMENTS/PROGRAMMES/ANNOUNCEMENTS||-------------------------------------||
12/7/2014- ||special article||24480303||Fiscal and Welfare Effects of Fuel Subsidy Reform in India||Rising fuel subsidies have contributed to fiscal pressures in India and complicated fiscal planning. A key policy concern regarding subsidy reform is the adverse welfare effect on households, in particular lower-income households. This paper discusses the magnitude and evolution of the fiscal cost of fuel subsidies and the welfare implications of fuel subsidy reform for households. Fuel subsidies are found to be badly targeted, with the richest 10% of households receiving six times more in benefits than the poorest 10%. Reallocation of budgetary savings to better targeted social programmes could fully protect lower-income households from subsidy reform while still generating substantial net fiscal savings.||RAHUL ANAND,DAVID COADY,ADIL MOHOMMAD,VIMAL THAKOOR,JAMES P WALSH
10/5/2014- ||insight||24479581||Natural Cities||Cities should be able to manage themselves and be self-sustaining, with a single energy input. This article presents the idea of natural cities.||VIKRAM SONI,ARVIND VIRMANI
29/11/2014- ||postscript||24481092||Our Own Coventry: Some of the "remote corners" of the country, like Aizawl in Mizoram, seem to function as convenient dumping grounds for political rejects||-------------------------------------||M S PRABHAKARA
16/8/2014- ||perspectives||24480450||Through a Changing Feminist Lens: Three Biographies of Anandibai Joshi||The problem for any biographer of Dr Anandibai Joshi, the first woman degree holder in western medicine, is, how to cast the relationship between mentor-husband Gopalrao Joshi and Anandibai, i e, how do we give Gopalrao due credit for whatever he did without reducing Anandi into entirely being his product. This article compares three biographies of Anandibai and argues that her persona, especially her relationship with Gopalrao, needs to be revisited by postcolonial feminist scholarship in order to unravel the tremendous intellectual and imaginative adventure that Anandibai's journey was and to explore the thoroughgoing radicalism that informed the shaping of Anandibai's life.||PRACHI GURJARPADHYE
23/8/2014- ||postscript||24480920||The Garden of My Childhood: As many of the common birds that once inhabited our gardens disappear, we have to worry about our concern for conservation||-------------------------------------||NEHA SINHA
21/6/2014- ||------||24479683||CURRENT STATISTICS||-------------------------------------||
3/5/2014- ||discussion||24480232||Response to Sugata Marjit||-------------------------------------||MAITREESH GHATAK,PARIKSHIT GHOSH,ASHOK KOTWAL
30/8/2014- ||insight||24480494||Battery Rickshaws in New Delhi and the Regulation Conundrum||Battery rickshaws have become a common sight on the streets of New Delhi in the past few years. They play an important role in the urban transport system and are a significant provider of employment. However, despite their proliferation, they remain unregulated and this has become the subject of loud and often antagonistic debate in the media and considerable confusion amongst the judiciary, transport department and the Ministry of Road Transport and Highways. This article attempts to explain the conundrum behind this regulatory confusion and discusses the attitudes of battery rickshaw drivers to regulation.||SIMON HARDING,SERAM ROJESH
22/11/2014- ||discussion||24481033||The Double Bind of Modern Education and Pedagogy||This response to Krishna Kumar's "Rurality, Modernity and Education" (EPW, 31 May 2014) attempts to make clear and re-thematise the double bind of modern education and pedagogy.||SASHEEJ HEGDE
