27/6/1987- ||------||4377140||Companies: Acquiring Lab Base||-------------------------------------||Hansavivek
14/3/1987- ||special articles||4376790||Contemporary European Scholarship on Political and Social Change in South Asia: An Essay in the Sociology of Knowledge||Western scholarship on political and social change in south Asia has undergone at least three major transformations during the last four decades. It has become conceptually less Eurocentric and more sensitive to regional nuances and to the internal dynamic of change. It has become less and less 'comparative' in the conventional sense of devoting undue attention to institutional structures, and increasingly aware of political, economic and social forces underlying their functioning or mal-functioning as the case may be. Finally, it has recently started to become more rooted in analysis based on empirical fieldwork and less preoccupied with theories and models for their own sake. These three major transformations have cut right through the division within the general field of European sociological scholarship between those who start with a weberian (and derived from it, a functionalist, behaviouralist, and quantitative) approach or framework on the one hand, and on the other, those whose starting point is some variant or other of a marxist perspective.||T. V. Sathyamurthy
06/6/1987- ||------||4377055||Lurid Light on Public Health System||-------------------------------------||
07/11/1987- ||------||4377689||A Trivandrum Diary||Leading the opposition to the Kerala government's proposed turnover tax on trade, in the company of rubber barons and spice tycoons, is the government of India-owned Indian Oil Corporation which has by implication even threatened to close down its activities in the state. The IOC is in effect propounding an extraordinary proposition-that if you are a part of the government of India you are under no obligation to observe a state government law.||A. M.
24/1/1987- ||reports||4376585||New Trends in Contraceptive Research||-------------------------------------||Sumathi Nair
07/2/1987- ||international affairs||4376640||Eurocentric Peace Movement||-------------------------------------||G. P. D.
11/7/1987- ||reports||4377212||On a Non-Rebel in Colonial India||'Massey Sahib' takes us into the less explored but important terrain of non-rebellion and legitimisation in colonial India and captures how the consciousness of the subject people and the attitude of the colonialists are not just the opposite of one another but follow a complex multi-layered course.||M. S. S. Pandian
10/10/1987- ||reports||4377600||College Teachers' Strike in Maharashtra||The college teachers' strike in Maharashtra was as much of a failure as its all-India counterpart, though it lasted some three weeks longer. The strike has brought out that there are severe limitations to the degree of success that the college teachers' movement can hope for, arising as much from weakenesses inherent in any middle class trade union movement as from the brutal fact that the role of teachers in arts, science and commerce colleges in Indian society today is largely marginal.||J. V. D.
1/5/1987- ||------||4377018||Bank Lending to LDCs Declines||-------------------------------------||IMF Survey
03/10/1987- ||special articles||4377576||Metropolitan Housing Markets: A Case Study of Ahmedabad||This paper deals with the structure of housing supply in metropolitan Ahmedabad over the last two decades. The nature of accretion to and the spatial distribution of housing stock, the principal participants in the housing market and the beneficiaries of the existing arrangements are discussed. An attempt is made to understand the nature of state intervention-the mode of intervention, the influencing interests behind state intervention, the actual effects and beneficiaries of state intervention. There is a growing trend towards 'commodification' of housing and resort to illegal and quasi-legal methods in the housing market.||Meera Mehta,Dinesh Mehta
21/3/1987- ||------||4376799||Tax Cut for Companies||-------------------------------------||
05/9/1987-12/9/1987||perspectives||4377477||Concerning Revolution in Third World||The contradictory historical experience of revolution in the third world, especially in Asia shows the following features: firstly, in order to lay the material foundation of socialism, the bourgeois democratic revolution had to be completed. But the task of destroying the pre-capitalist relations has entailed the generalisation of commodity production and of wage labour which have the tendency to perpetuate themselves; secondly, state power had to be captured if the immediate producers were to emancipate themselves and by the very nature of armed struggle against imperialism the old state machinery was destroyed. But the new state has not been a proletariat state; and, thirdly, nationalism proved a mighty weapon both to bring about a liquidation of the colonial domination as well as to create the broadest possible front against imperialist domination.||Paresh Chattopadhyay
30/5/1987- ||review of management, may 1987||4377043||Sengupta Report on Public Enterprises: Eloquent Fuzziness at Its Best||A number of major policy initiatives toward public enterprises are being pushed vigorously by the government. Phrases like "MOUs" "holding companies" and "privatisation" have become a part of the current economic jargon. A closer examination reveals that they have spawned out of a common source-the Arjun Sengupta Report on Public Enterprises. Yet, this Report has never been subjected to any debate. Primarily, because it has not yet been made public by the government. The present critique is based on an unauthorised publication of this Report. The author finds that it contains some excellent ideas; however, they are too few in number and the manner of presentation obscures their importance. This paper analyses each section of the Report to see the contradictions involved and the linkages between various issues. It singles out two recommendations for immediate implementation. First, the information base regarding public enterprises should be strengthened by installing an information system. Second, a system of performance evaluation, based on clear targets and linked to an incentive system should be implemented.||Prajapati Trivedi
14/2/1987- ||------||4376657||Ready Blueprint?||-------------------------------------||
05/9/1987-12/9/1987||discussion||4377485||Fallacies of Workers' Ownership||-------------------------------------||G. K. Lieten
30/5/1987- ||reports||4377037||Crackdown without a Political Strategy||-------------------------------------||A. S. Abraham
11/7/1987- ||------||4377194||Mobilising Scientific Community||-------------------------------------||
15/8/1987- ||business||4377355||Out-Priced Still||-------------------------------------||
07/3/1987- ||reports||4376755||Creeping Atrophy||-------------------------------------||Nita Sanghvi
31/1/1987- ||capital view||4376608||An Unconscious Wrecker at Work||-------------------------------------||Romesh Thapar
13/6/1987- ||from the ivory tower||4377089||The Budget, Inflation and All That||-------------------------------------||Arun Ghosh
19/9/1987- ||companies||4377499||Kandla Terminal for Butadiene||-------------------------------------||
04/7/1987- ||companies||4377169||Petrochemicals Link||-------------------------------------||
28/2/1987- ||------||4376722||Calcutta Diary||-------------------------------------||A. M.
24/1/1987- ||reports||4376586||Indian People's Human Rights Commission||-------------------------------------||Bernard D'Mello
26/12/1987- ||reports||4377908||Companies Act Amendment Bill: Corporate Regulation in Reverse Gear||The government has colluded with corporate managements to permit the most blatant violations of the provisions of the Companies Act relating to issue of prospectus, financial disclosure, inter-corporate investments, managerial remuneration and restraints on dealing with organisations in which the management is interested. It is against this background that the provisions of the Companies Act Amendment Bill, now before parliament, need to be assessed.||Thanjavur
15/8/1987- ||companies||4377360||Improved Profits||-------------------------------------||
05/12/1987- ||------||4377808||Calcutta Diary||We may be poor, but we are not so poor that we cannot sustain a ruling household attuned to enjoying the luxuries of high living of a quality which puts into shade the standards once set by medieval royalty. The thrill our people derive from such exhibitions of royal pomp is supposed to constitute the binding cement of national integrity.||A. M.
11/4/1987- ||------||4376907||Special Statistics: Finances of Government of India||-------------------------------------||
01/8/1987- ||reports||4377308||Economic Successes, Current Policies and External Links||This report on the conference on the 'Indian Economy: Successes, Current Policies and External Links' organised at the Boston University in connection with the Festival of India in the US discusses developments in Indian agriculture and industry, resource mobilisation through domestic savings and taxation, balance of payments and export performance, employment creation and inequality and, finally, the political economy of Indian economic growth.||Robert E. B. Lucas,Swati Mukerjee
07/11/1987- ||------||4377683||Resource Estimates Gone Awry||-------------------------------------||
13/6/1987- ||business||4377082||Futures Trading in Cotton: Ill-Timed Resumption||-------------------------------------||
30/5/1987- ||discussion||4377048||IRDP and Village Structure||-------------------------------------||M. L. Dantwala
28/3/1987- ||------||4376824||CRR vs SLR||-------------------------------------||
26/9/1987- ||------||4377523||Militarisation of Government||-------------------------------------||
14/11/1987- ||------||4377719||In the Capital Market||-------------------------------------||
11/7/1987- ||business||4377196||Perverse Policies||-------------------------------------||
04/7/1987- ||------||4377159||Taking the States for Granted||-------------------------------------||
28/2/1987- ||------||4376713||In for a Shake Up?||-------------------------------------||
03/10/1987- ||------||4377556||Priests and Kings||-------------------------------------||
26/9/1987- ||------||4377532||In the Capital Market||-------------------------------------||
14/11/1987- ||reports||4377724||Crash Course||After Black Monday, October 19, it was observed that the stock market crash was the alarm, not the fire and the question was posed whether the events in the financial sector could be prevented from spreading to the real economy of jobs, income and production. Such speculation, however, betrays a serious lack of historical perspective. The present world economic crisis in fact began in the real economy with the decline in the rate of profit in the mid-1960s and the recessions of 1967 and 1969-70. The fifth recession in the development of this economic crisis since 1967 was approaching anyway in the natural course of events. Black Monday was one possible response to this development and it is now likely to accelerate and aggravate it still further.||Andre Gunder Frank
10/10/1987- ||from the ivory tower||4377598||Education and Environment: Contribution of the Paper Industry||The impressive growth of the Indian paper industry conceals that the industry has been a major contributor to the increasing denudation of our forest wealth; that it has also contributed heavily to environmental pollution through its effluents which have killed marine life and rendered river waters generally impotable; and finally that it has not been able to save on imports of paper which have been rising rapidly of late. At the same time prices of white printing paper have been raised to levels which have put exercise books and textbooks beyond the reach of the majority of primary school children.||Arun Ghosh
25/7/1987- ||------||4377256||Gorbachev's Helping Hand||-------------------------------------||
18/7/1987- ||discussion||4377250||India's Trade Balance during the Seventies||-------------------------------------||G. C. da Costa
30/5/1987- ||------||4377024||Disinformation Campaign||-------------------------------------||
27/6/1987- ||------||4377129||Police, Terrorists and the People||-------------------------------------||
15/8/1987- ||------||4377353||US Gain||-------------------------------------||
19/9/1987- ||companies||4377497||Joint Venture Oil Refinery||-------------------------------------||
14/3/1987- ||------||4376769||Shadow of Expenditure Tax||-------------------------------------||
31/1/1987- ||------||4376611||In the Capital Market||-------------------------------------||
1/5/1987- ||------||4377003||Inflation Eases in Developing Countries, Picks up in Industrial Area||-------------------------------------||
18/7/1987- ||discussion||4377249||Income-Tax Concessions: Implications for Equity and Growth of Tax-Base||-------------------------------------||Ravindra H. Dholakia,Bakul H. Dholakia
19/12/1987- ||------||4377862||Command Performance||-------------------------------------||
18/7/1987- ||reports||4377244||AIDS: Scourge of Our Times?||Acquired Immune Deficiency Syndrome (AIDS) is a new scourge that all of humanity will have to deal with. The less panic there is, the more efforts are directed towards systematic study of the disease and the less people with AIDS are treated as 'lepers' of yore, the more this epidemic would be judged by history with a sense of sorrow rather than of shame||Bindu T. Desai
06/6/1987- ||------||4377056||Time for a Debtors Cartel||-------------------------------------||
22/8/1987- ||reports||4377395||Using the Violence Bogey against the Left||The Maharashtra government is threatening a crackdown on left forces in parts of Thane district on the pretext of putting down violence. The administration has also declared that it will not allow the traditional life-style of the adivasis of the area to be disturbed. This suits the landlord-trader-moneylender combine since the so-called traditional life-style of the adivasis has been fraught with exploitation and oppression.||
14/2/1987- ||------||4376655||Secessionists All?||-------------------------------------||
04/4/1987- ||------||4376866||In the Capital Market||-------------------------------------||
14/11/1987- ||------||4377711||Unfolding Implications||-------------------------------------||
07/3/1987- ||business||4376749||Help for Small Units||-------------------------------------||
05/9/1987-12/9/1987||civil liberties||4377463||Repressive Laws in Punjab||With the amendment of the National Security Act the government can hold in custody any person in Punjab without a trial or reference to an advisory board. The amendment to the Terrorist and Disruptive Activities (Prevention) Act enables the centre to confer on any civil service officer the powers to arrest, investigate and prosecute.||A. G. Noorani
14/2/1987- ||capital view||4376664||Under-Developed War Games||-------------------------------------||Romesh Thapar
24/1/1987- ||reports||4376589||Towards New Democracy?||-------------------------------------||Nirmal Sengupta
05/9/1987-12/9/1987||------||4377456||Expectations Belied||-------------------------------------||
28/11/1987- ||review of management, november 1987||4377787||OD, Health Care and Social Change||The health care system in India needs to become more accessible and affordable to the poor and the unreached. This process requires prioritising plans, funds, activities, etc, in accordance with the needs of the health of the poor and the marginalised. Organisation Development (OD), it is argued here, is a useful tool for this purpose, especially as OD literature has tended to focus on operationalisation of concepts like collaboration, confrontation, authenticity, trust, support and openness.||Carol Huss,S. Srinivasan
05/12/1987- ||official paper||4377821||Monsoons and the Economy||-------------------------------------||T. K. Velayudham
26/9/1987- ||------||4377521||Trap of Debt-Equity Swaps||-------------------------------------||
24/1/1987- ||business||4376577||Impressive Growth||-------------------------------------||
30/5/1987- ||------||4377034||Companies: Scarred by Oleum Leak||-------------------------------------||Hansavivek
10/10/1987- ||reports||4377601||Protecting Doon Valley's Eco-System: Problems and Limitations||The limitations of the struggle to protect Doon Valleys' eco-system from the damage caused by limestone mining stem from lack of mobilisation for popular support.||
13/6/1987- ||discussion||4377101||Software Policy: Westward Ho!||-------------------------------------||Shirish B. Patel
05/9/1987-12/9/1987||reports||4377474||Nuclear Power Plants: Safeguards Unsatisfactory||A national workshop on the siting and safety of nuclear power plants organised in Hyderabad this May came to the conclusion the nuclear energy is neither safe, nor even viable or necessary. The DAE has neglected to take account of several important considerations in siting nuclear plants and has not taken sufficient care in preventing workers from being exposed to radiation in its installations.||S. Ganesh
14/3/1987- ||------||4376778||Companies: Untouched by Engineering Recession||-------------------------------------||Hansavivek
04/4/1987- ||reports||4376867||'Redefining' Development||-------------------------------------||B. M.
28/11/1987- ||business||4377772||Technological Dependence||-------------------------------------||
10/10/1987- ||------||4377596||Calcutta Diary||It is sheer hypocrisy to rail against the double funeral pyre in Deorala and its aftermath. If government television can flaunt gross religious crudities, preach out and out superstition and sectarian dogma, in the name of depicting tales from Ramayana, why flinch from sati?||A. M.
27/6/1987- ||------||4377133||Image-Building||-------------------------------------||
27/6/1987- ||reports||4377142||Censorship by Force: A 'Telugu' Prescription for the 'Yellow' Virus||-------------------------------------||K. Balagopal
13/6/1987- ||------||4377081||Politics of Irrigation Water||-------------------------------------||
25/7/1987- ||reports||4377274||Employers on the Offensive||The labour policy of the Left Front government in West Bengal has actively discouraged strikes and workers' struggles in order to create a favourable climate for industrial investment in the private sector. The result has been an increase in employers' offensives and a slowing down of the growth of the trade union movement.||
12/12/1987- ||------||4377832||High Cost of Defence||-------------------------------------||
07/2/1987- ||------||4376637||In the Capital Market||-------------------------------------||
21/11/1987- ||companies||4377750||Rights Issue Well Received||-------------------------------------||
10/10/1987- ||------||4377588||Significant Beginning||-------------------------------------||
27/6/1987- ||review of agriculture, june 1987||4377147||Poverty among Identified Weaker Sections in Rajasthan||The structure and distribution of poverty groups measured in terms of size of landholding, value of assets, caste or unemployment, is not uniform throughout the country. In Rajasthan which by 1968 had become one of highest poverty states the data show some distinct features. This paper examines the position of the generally identified rural poverty groups in the state in terms of the distribution of consumption expenditure, income, assets and liabilities as well as food consumption patterns for both all-rural population and the weaker sections. What emerges is that the consumption levels of a significant number of labour households are higher than those of other sections of the population; that rural labour households are not necessarily the poorer sections; and that in fact, small cultivators turn out to be the worst sufferers. This poses two questions: Does the categorisation of economic status on the basis of assets alone truly reflect economic welfare of rural masses presumed to be in poverty? Can it be concluded that there is not much poverty in the state because the calorie consumption of even those people on the lower rungs of the asset ladder is at worst only marginally lower than that of other generally identified better off sections?||Sushma Sagar,Kanta Ahuja,Vidya Sagar
04/4/1987- ||------||4376858||How Accountable?||-------------------------------------||
19/12/1987- ||business||4377868||In a Strait-Jacket||-------------------------------------||
21/11/1987- ||------||4377741||Plight of Urban Poor||-------------------------------------||
30/5/1987- ||reports||4377039||Bending the Peaks of Hindukush||-------------------------------------||Bhabani Sen Gupta
31/10/1987- ||reports||4377669||Low Level Radiation and Cancer: Incomplete Data, Faulty Analysis||A recently published BARC study on the relationship between radiation levels and health status in five cities in India appears to indicate that higher radiation levels correlate with lower incidence of cancer. A closer look however, reveals that not only is the data deficient but the analysis is faulty and important contributory factors have been entirely ignored.||Arjun Makhijani
19/12/1987- ||companies||4377871||New Subsidiaries||-------------------------------------||
07/11/1987- ||discussion||4377704||Ideology for Provincial Propertied Class?||-------------------------------------||Gail Omvedt,Chetna Galla
19/12/1987- ||from the ivory tower||4377878||Living beyond Our Means: The Modern Philosophy||For some years the government has been feeding us with the soothing myth that savings in India have reached a very high level, so that the focus of government attention now ought to be on giving an impetus to increased consumption of industrial products through tax concessions and other means to force the pace of development. The stark reality, however, is that government savings have over the years turned negative; that the government is having to resort to borrowing to finance its current expenditure; that any number of vital infrastructural projects are getting staggered because of lack of resources. Can we, before it is too late, move away from the aggressive consumerism and profligate government expenditure which have been sweeping across the country?||Arun Ghosh
11/4/1987- ||------||4376885||Ineffective Sanctions||-------------------------------------||
28/11/1987- ||companies||4377773||Communicating Computer Output||-------------------------------------||
17/10/1987-24/10/1987||------||4377612||Changed Roles||-------------------------------------||
11/7/1987- ||------||4377193||Changed Emphasis||-------------------------------------||
24/1/1987- ||reports||4376587||Zilla Parishad Elections||-------------------------------------||Janaki Nair
14/11/1987- ||reports||4377727||Peace by Force: Lankan Tamils' Tragedy||The armed intervention by India in the Jaffna peninsula has given added legitimacy to the LTTE which represents Tamil national chauvinism in its most populist and ruthless form. If the Sri Lanka Tamils have believed that national chauvinism is the answer to their national oppression by Colombo, this conviction is now going to be enormously strengthened.||M. S. S. Pandian
26/9/1987- ||reports||4377538||College Teachers' Struggle: Failure of Leadership||The leaders of the college teachers have much to answer for. By focusing only on the issues of pay scales and promotions they have lost sight of the major problems which beset higher education today. By agreeing to withdraw the highly successful strike for very illusory gains and against the wishes of many important segments of the teachers' movement, they have almost ensured a break-up of the teachers' movement. It will be quite some time before the pieces can be put together again.||J. V. D.
01/8/1987- ||------||4377295||Low Status of Health Care||-------------------------------------||
1/5/1987- ||------||4376997||Centralising with a Vengeance||-------------------------------------||
04/4/1987- ||------||4376865||Companies: Timely Progress||-------------------------------------||Hansavivek
18/7/1987- ||companies||4377237||Expansion Plans||-------------------------------------||
22/8/1987- ||civil liberties||4377391||The Right to Food||The scope of Article 21 of the Constitution which confers the right to life has continued to expand. It does not mean merely that life cannot be extinguished, but also the right to livelihood, to health and to food.||A. G. Noorani
05/12/1987- ||reports||4377814||Jharkhand: Straining to Be Heard in Delhi||The entire effort of the leaders of the Jharkhand movement seems to be directed to starting talks with the central government. So enamoured are they of the examples of the AASU and the GNLF that they cannot help betraying their eagerness to rush to the negotiating table.||Arun Sinha
19/12/1987- ||------||4377863||Who Is 'Anti-National'?||-------------------------------------||
13/6/1987- ||------||4377080||Liberalisation Takes Its Toll||-------------------------------------||
10/10/1987- ||------||4377583||Workers' Health||-------------------------------------||
04/7/1987- ||business||4377164||Backtracking on Exports||-------------------------------------||
03/1/1987-10/1/1987||------||4376512||Towards 'Counter-Insurgency'||-------------------------------------||
07/3/1987- ||------||4376746||Fiscal Crisis||-------------------------------------||
29/8/1987- ||reports||4377429||The Year of New Education||A subtle diversion in the government's education policy has gone virtually unnoticed. 'Non-formal education', once regarded as a supplementary system, has now become part of the main strategy for achieving universalisation of primary education. At the other end, government has accepted the idea of privileged schooling at state expense.||Krishna Kumar
07/2/1987- ||reports||4376646||Speculators, Lumpen-Intellectuals, and End of Hegemony||-------------------------------------||James Petras
31/10/1987- ||from the ivory tower||4377655||The World Bank and the Attack on World Poverty||Between repayment of past debt and interest payments on outstanding loans, the developing countries actually paid out a net amount of $ 0.25 billion to the World Bank in the financial year ended June 30, 1987. Even taking the World Bank and IDA together, the net leading by these institutions during the year was less than $ 3 billion.||Arun Ghosh
21/2/1987- ||reports||4376701||Philippine Currents and Prospects||-------------------------------------||Jose Ma Sison
31/1/1987- ||------||4376603||Caste Roots of Dissidence||-------------------------------------||Arun Kumar Patnaik
12/12/1987- ||special articles||4377856||Dialectics of Defeat: Some Reflections on Literature, Theatre and Music in Colonial India||Trends and tendencies in Indian literature and theatre today owe their origin to the colonial experience. In the three language areas dealt with here the patterns of aesthetic and creative enterprise of those times were remarkably similar. The scope of the argument here is limited to the nineteenth century when the bhadralok of British India tried to imitate Victorian mores and morals. And it was in contra-distinction to the arrogance and ideals of the age that India's search for a bourgeois sensibility and identity was carried out.||G. P. Deshpande
04/7/1987- ||companies||4377170||Out of the Red||-------------------------------------||
25/7/1987- ||reports||4377277||Soviet Bloc Initiative for a NIEO||The organisation of the member states of the Warsaw Treaty has, on the eve of UNCTAD-VII, published proposals for a New International Economic Order to cope with the problems facing the developing countries. The proposals reflect the evolving Soviet perception of an 'interdependent world' instead of a 'world clearly divided into two systems'.||R. G. Gidadhubli
1/5/1987- ||special articles||4377007||1850-1875: The Great Divide in Industrial Development||In order to appreciate the full sweep of industrial development since the innovation of the steam engine, it is important to seek answers to some of the following questions: when did the world's first industrial country emerge? How did the industrial system spread to other countries in the subsequent period? How large were the differences in the real per capita incomes between the pioneer industrial countries and what are now called the Third World countries? At what rate and over how long a period did the economic distance between these two areas grow? These questions are pertinent to assessing the prospects for several of the Third World countries catching up with the industrial pioneers. This essay attempts to examine these questions.||Surendra J. Patel
14/3/1987- ||reports||4376785||Police Firing on Bhusarpada Adivasis||-------------------------------------||Ruchira Gupta
13/6/1987- ||special articles||4377099||Definition, Measurement and Determination of Money Supply||Money is one of the important macro economic variables. Correct understanding of the role of money in economic activity hinges on defining and measuring money correctly. There has been a growing tendency both in India and abroad to conduct monetary analysis and policy in terms of empirically defined broad money and multiple measures of money. Recently, the Committee to Review the Working of the Monetary System also has held that M3is the appropriate definition of money and that the money multiplier framework is dependable for money supply analysis and control. This would give a further wrong direction to the evolution of monetary theory and monetary policy as well as their information base in India. This paper seeks to undertake a fresh and comprehensive discussion of major issues relating the concept, measure, and determination of money supply with a view to restraining the tendency mentioned above. Section I examines which of the existing approaches to defining money is correct. Section II discusses the special economic characteristics of money, while section III presents a new measure of money supply for India in the light of these characteristics. Section IV examines whether and how far the money multiplier theory is empirically supported in India. [This paper has been published in two parts. Sections III and IV appear below. The first two sections were published last week.]||L. M. Bhole
22/8/1987- ||international affairs||4377390||Limits to Optimism||The Rajiv Gandhi-Jayewardene accord is a good thing to have happened. Only, there are as many reasons to believe that the accord will not work as there are for hoping that it will. It will require the highest degree of diplomatic skills and patience to prevent the accord from collapsing.||G. P. D.
01/8/1987- ||------||4377293||No Alternative Strategy||-------------------------------------||
19/12/1987- ||------||4377866||Peace Plan's Progress||-------------------------------------||
04/4/1987- ||------||4376854||Tasks for the Left||-------------------------------------||
31/10/1987- ||business||4377648||On the Wrong Track||-------------------------------------||
31/10/1987- ||perspectives||4377671||Accountability and Autonomy in Higher Education: Needed Internal Democracy||The attack on autonomy in higher education is being mounted today in the name of making the educational set-up more accountable. In fact lack of internal autonomy in the education system also leads to loss of accountability. This link needs to be better understood.||Arun Kumar
19/12/1987- ||------||4377877||Calcutta Diary||James Baldwin was a man of talent. He could create ethereal prose. He, it will still be said, suffered from a fatal flaw: despite the indignities his people have been made to bear, he failed to lace his rancour with the power of violence. He was much too civil.||A. M.
03/10/1987- ||reports||4377567||Decline of Technical-Professional Cadres: Seeds of Current Unrest||The key issue in the nationwide teachers' strike and in the earlier strikes and agitations by other professional groups, such as doctors, is that of the status of professionals in the scheme of things at the present stage of development of the Indian economy and society. When development planning was launched in the country it was assumed that in course of time the technical and professional cadres would overshadow the generalist administrators. But now when the political authority is anxious to dilute the role of the state in the development process and to strengthen instead its administrative and security functions, it is inevitable that the technical-professional cadres should be expected to play second fiddle to the bureaucrats.||B. M.
30/5/1987- ||------||4377022||State and Communalism||-------------------------------------||
27/6/1987- ||------||4377130||Citibank's Message||-------------------------------------||
21/11/1987- ||discussion||4377762||Social Forestry in Karnataka||-------------------------------------||S. Shyam Sunder,S. Parameswarappa
02/5/1987- ||special articles||4376993||Indian Workers in Multinational Companies||Where do workers in multinational corporations in India stand ideologically? According to one point of view these workers are typical examples of what Lenin termed the labour aristocracy, a segment of the working class which, by virtue of its position in the economically more developed and politically most crucial sector of the world economy, is able to command higher wages. This in turn divides the working class, with one sector finding itself increasingly incorporated into a socio-mental system based on the rationality and ethics of MNCs and growing more and more remote from other groups in their own country. This article is based on a study designed to evaluate the relevance of this thesis in the context of the employees of Dutch MNCs in India. The study finds that the above thesis about workers in multinationals has to be rejected. The co-operation of a section of the workforce is, however, more probable in high-tech companies with a limited number of workers and super profits.||G. K. Lieten
14/2/1987- ||------||4376668||Calcutta Diary||-------------------------------------||A. M.
18/4/1987- ||------||4376911||Lack of Perspective||-------------------------------------||
14/11/1987- ||special articles||4377731||Trends in Foreign Direct Investment from India (1950-1982)||Foreign direct investment from India is not a marginal phenomenon. It is quite sizeable relative to foreign direct investment into India and private corporate investment in India. It is also quite comparable with the magnitudes of foreign direct investment of the newly industrialising countries and some small developed capitalist countries. Foreign direct investment from India has grown steadily since the mid-sixties. However, there has been a distinct slackening of the rate of growth since 1979-81. The author is of the view that transnationalisation of the Indian private corporate sector is not too insubstantial. The Indian capitalist class has 'come of age' and is undertaking industrial ventures abroad in its drive towards capital accumulation. [This paper has been published in two parts. The first part appeared last week.]||Sebastian Morris
26/12/1987- ||nuclear notebook||4377907||The Dr Strangelove Factor||To counter the proposition that horizontal nuclear proliferation heightens the probability of accidental nuclear assault, the pro-bomb lobby is putting forward a new argument according to which, since the increase in the number of independently commanded nuclear submarines has not led to a higher risk of accidental nuclear war, neither will horizontal nuclear proliferation. The argument rests on false assumptions and is completely deceptive.||Achin Vanaik
13/6/1987- ||reports||4377091||Causes of Recurrent Drought in Ahmednagar||-------------------------------------||Madhusudan Dattatraya Sathe
12/12/1987- ||reports||4377847||Forest Legislation and Tribals: Comments on Forest Policy Resolution||The Draft Forest Policy Resolution which the government has circulated emphasises the needs of tribal and other communities living in the vicinity of forests. A number of provisions in the resolution are, however, contrary to the interests of tribal communities. Conservation and development of forests will benefit tribal communities only when the existing regulatory and prohibitive nature of forest legislation is changed.||Sharad Kulkarni
11/4/1987- ||------||4376881||Dangerous Pastimes||-------------------------------------||
01/8/1987- ||reports||4377306||Tea Plantation Workers: Another Farce of a Wage Rise||Under the three-year wage agreement recently accepted by the Co-ordination Committee of Tea Plantation Workers, 1,80,000 permanent and half that number of temporary tea plantation workers in two of the three tea-growing regions of West Bengal will be paid Rs 13.50 per day, or less than even the wage rate for agricultural labourers.||
22/8/1987- ||from the ivory tower||4377392||Drought: The Rajasthan Scenario||Severe drought is stalking Rajasthan. Even if the food stocks with the government can avert famine deaths, the biggest problems are likely to be, first, drinking water and, second, fodder for the cattle. And there is no doubt that there is little connection between the drought relief works programmes and long-term plans consistent with the needs of the area.||Arun Ghosh
26/9/1987- ||companies||4377531||Modernising||-------------------------------------||
