20/3/1971- ||special articles||4381766||The Economy: Current Situation and Policy Problems||For a proper understanding of the current economic situation and policy problems, it is essential to discuss the developments in the Indian economy over the last few years. Section I of this paper attempts to relate the present situation to preceding developments. The problem of full capacity utilisation in the modern industrial sector and the related problems in the fields of investment, agriculture and exports are discussed in Section II. Some aspects of policies related to these problems are indicated in Section III.||V. V. Bhatt
1/7/1971- ||the regional matrix||4382337||Agricultural Planning and Programme Evaluation: Focus on Regional Restraints||This paper attempts to present a framework for agricultural policy and programme planning based on the concept of agro-climatic regions and the identification of key restraints to agricultural development in each region as well as some which are national in nature. This approach, it is suggested, is efficient with respect to the amount of information required to achieve a better alignment between the use of various developmental resources and the problems on which these resources can have a significant developmental impact. This approach initially focuses on the better use of existing information; new information should be subsequently developed to fill important data gaps highlighted by the analyses conducted under this approach. A further advantage of the proposed framework is the inherent co-ordination required among policy formulation, programme design and implementation, investment planning, and the development and propagation of new agricultural technologies. The agro-climatic regions and restraints approach would facilitate the exchange of agricultural development experience among countries. It could also provide a basis for giving sharper focus to international research efforts and a better perspective as to the relative importance of different types of problems both within and among countries.||Martin E. Abel,K. William Easter
09/1/1971- ||business||4381497||Not Quite a Gold Rush||-------------------------------------||
28/8/1971- ||review of management, august 1971||4382433||Market Structure, Conduct and Performance||-------------------------------------||Samuel Paul
20/11/1971- ||business||4382758||Forcing a Slow Pace?||-------------------------------------||
09/1/1971- ||from our correspondents||4381509||Anti-Working Class Charter||-------------------------------------||Farrukh Dhondy
05/6/1971- ||------||4382091||Companies: Thwarted by MRTP Act?||-------------------------------------||Hansavivek
06/3/1971- ||from our correspondents||4381711||Unused Political Dimension||-------------------------------------||Farrukh Dhondy
27/11/1971- ||special articles||4382810||Differential Interest Rates: Another View||-------------------------------------||A. Bagchi
27/2/1971- ||review of management, february 1971||4381682||Generational Conflict in Management: Need to Identify Its Components||The inter-generational conflict in management has been much discussed of late, the reason for it being traced to the older group's fears of the superiority of the 'conceptual' knowledge possessed by the younger executives over the 'experiential' knowledge possessed by them. The contention has been that this fear evokes a defensive response among the young, leading to inter-generational tension and lack of smooth management operations. The following article argues that this model of the conflict is too simple and misleading. The 'conflict' is in fact realised through an informal organisational structure, through informal groupings of both older and younger executives formed on the basis of mutuality of interests. It is, therefore, by an analysis of these attributes that the 'conflict' can be understood and corrective measures proposed. The solutions suggested by a 'contextual' or 'process' view of the conflict are then nowhere as sharp as the original model might suggest.||J. S. Gandhi
1/7/1971- ||------||4382317||Elitism Rampant||-------------------------------------||
27/2/1971- ||review of management, february 1971||4381679||Performance Budgeting in Corporate Sector||Performance budgeting has been increasingly brought to bear on government operations. Although the entire effort so far has been to improve and rationalise the government budgeting system, some thinking has started of late as to how the technique can be used by public sector projects. Long-range planning-a technique which uses some of the underlying concepts of performance budgeting-has for long been used by companies. The transfer to use of performance budgeting may not, therefore, be too arduous. The three aspects of performance budgeting that need attention so as to make it applicable to the corporate sector are: structural-involving a suitable function-programme-activity classification; analytical-involving the identification of alternative programmes to achieve desired objectives; and informational-so as to provide the basis for formulating a performance budget. If these three aspects are adequately covered, and once the long-range plan is also developed in relation to the wider macro situation, the introduction of performance budgeting will present little problem. And such a budget document can serve as a valuable instrument for managerial control.||U. K. Kohli
1/7/1971- ||rough roads to socialism||4382326||Emerald Island Turned Bloody Red||-------------------------------------||Vinayak Purohit
27/11/1971- ||review of management, november 1971||4382805||Determinants of Corporative R and D||The R and D record of Indian companies is mostly depressing. In this context the question what factors influence the scale of R and D activity by firms is of great relevance for analytical as well as policy purposes. This paper reports the findings of a cross-section regression analysis of a number of determinants of R and D by firms in the chemical industry.||K. K. Subrahmanian
26/6/1971- ||------||4382172||A Record of Unconcern||-------------------------------------||
25/12/1971- ||review of agriculture, december 1971||4382911||Inter-Class Incidence of Taxation in Farm and Non-Farm Sectors in India||The existing differential in the tax burdens of farm and non-farm sectors may appear to follow from the difference between their inequality patterns. For, it may be argued that under progressive taxation the greater the inequality in income the larger the tax revenue earned by the State. But there is a false premise here. The prevailing systems of taxation in the farm and non-farm sectors are entirely different in nature and progressiveness. In fact, land revenue which is the principal direct tax on the farm sector is at best a proportional tax, whereas the income-tax on the non-farm sector is highly progressive. Nevertheless, inter-class analysis of tax burdens is valid. Its purpose is to bring out the difference between the actual tax burden and the potential capacity at the different income levels. Moreover, the revenue potential of a sector depends not simply on the overall distribution pattern but on the distribution of income above a certain minimum. The revenue potential thus depends on the level and extent of 'big' incomes in the system. This paper, therefore, measures the inter-class burden of taxation by juxtaposing two sets of data: the data on income distribution and the data on tax burdens at different income levels. Section I examines the two patterns of income distribution; Section II examines the distribution of tax burdens among the different income groups; Section III analyses inter-class 'equity' of tax burdens. [This study is an abridged version of Chapter 5 in the author's doctoral dissertation on "Tax Burden on Farm and Non-Farm Sectors in India - An Inter-Sectoral and Inter-Class Analysis", submitted to the University of Bombay in 1970. The author is grateful to the late H C Malkani, to C H Shah, E T Mathew and V M Jakhade, for their comments and encouragement at various stages of the study.]||S. L. Shetty
04/9/1971- ||from the chair||4382479||The Fertilizer Corporation of India Limited||-------------------------------------||H. N. Sethna
26/6/1971- ||from our correspondents||4382193||No More Pacification||-------------------------------------||Farrukh Dhondy
22/5/1971- ||from our correspondents||4382025||Search for Regional Identities||-------------------------------------||Balraj Puri
26/6/1971- ||review of agriculture, june 1971||4382202||Quickening the Pace of Agricultural Development||The most decisive factor in agricultural development is the farmer. His behaviour and attitudes towards change can either retard or accelerate the pace of agricultural development. In an experimental programme in Raipur district of Madhya Pradesh, an attempt was made to work with farmers in such a way that they accepted changes readily. In the villages under the programme, the great majority of farmers - small, medium and large-participated; village differences were set aside, and significant agricultural development was brought about in a short period of three years; overall, farmers' participation doubled, small farmers' participation nearly tripled, acreage under high-yielding varieties increased six times, consumption of fertilisers tripled, co-operative membership went up by 84 per cent, the small farmers increased their yield by about 60 per cent and the bigger ones by about 67 per cent. The significance of the Raipur experiment is that it indicates human involvement and human development as essential to quickening the pace of agricultural development. The needed investment in human resources is negligible when compared to the benefits of substantial additional production and improvement of socio-economic condition, particularly of the weaker sections of the farming community.||B. D. Shastry
25/12/1971- ||------||4382899||Fourth Plan: Mid-Term Appraisal||-------------------------------------||
25/9/1971- ||business||4382543||Volte Face||-------------------------------------||
25/9/1971- ||from the chair||4382572||Rural Electrification Corporation Limited||-------------------------------------||B. Venkatappiah
06/2/1971- ||special article||4381589||Unemployment: Some Policy Issues||In the short period, the scope for employment in any economy is defined by the amount and variety of the capital equipment that is available to co-operate with labour in producing the national output. There are, however, two ways in which employment may be increased even in the short run. First, the existing capital equipment can be used more intensively; factories may work more than one shift and machines may be worked longer hours. Second, a lot can be done to extend employment in old labour-intensive industries and to discover new areas of labour-intensive production. In the long run, opportunities for employment grow at the rate at which the national output expands. Obviously, the national output must grow at least as fast as the employable population if the proportion of the unemployed is to be kept constant. It must expand even more rapidly if the country has a backlog of unemployment to cope with. As a result, partly, of the leadership of advanced countries, in which labour is scarce relatively to capital, in the invention of techniques and, partly, of economies of scale, there is a tendency for large scale capital-intensive methods of production to replace small scale labour-intensive techniques as national income and with it the output of individual industries grows. In these circumstances national output must grow still more rapidly, to offset the loss of employment caused through the displacement of labour as an agent of production by capital. It is, of course, possible to muzzle the growth of capital-intensive industries in various ways, but that will be at the expense of the long run growth of employment. A developing economy with a large labour surplus is, indeed, faced with the difficult choice of more employment today against less employment tomorrow and the converse.||D. Ghosh
12/6/1971- ||from our correspondents||4382124||Another Skirmish in the War of Castes||-------------------------------------||
25/12/1971- ||from our correspondents||4382915||Nationalism and Marxism||-------------------------------------||Vinayak Purohit
27/2/1971- ||------||4381663||Economic Outlook for 1971-72||-------------------------------------||Arthagnani
27/3/1971- ||------||4381775||Losing in a Sellers' Market||-------------------------------------||
28/8/1971- ||review of management, august 1971||4382437||Organisational Development: An Interim Balance-Sheet: A Comment||Nitish R De ("Organisational Development: An Interim Balance-Sheet", Review of Management, May 29, 1971) has rightly pointed out that the target of change in OD is the total organisation or a discrete segment of it rather than a chosen activity such as cost control, O and M, management development, etc. The development of an organisation is seen as a total effort; change in the segments does not always ensure change in the whole. The segments may have their own specific features but the whole is not a sum-total of the parts. The difference between Organisational Development and other efforts is the same as the difference between corporate planning and the planning of activities in different segments of the organisation. The two must dovetail but the perspectives of each must be different. Having started with this distinction, it seems to me that the strategy and programme of development in Nitish De's model need further review and analysis. The OD strategy as described by De does not quite show how consistent it is with his concept of OD.||Ishwar Dayal
18/12/1971- ||business||4382868||Steel Shortage Not to Blame||-------------------------------------||
16/10/1971- ||from our correspondents||4382659||'Pig-Faced' Use Foreign Forums||-------------------------------------||Harish Chandola
20/3/1971- ||the fourth estate||4381757||The Result||-------------------------------------||Nireekshak
11/9/1971- ||------||4382482||Only Partly about Parities||-------------------------------------||
04/12/1971- ||from our correspondents||4382830||Cracks in the Coalition||-------------------------------------||M. S.
1/1/1971- ||from our correspondents||4381541||The Sixth Plan||-------------------------------------||Jean A. Bernard
27/11/1971- ||review of management, november 1971||4382797||For the Eager Manager||-------------------------------------||S. Srinivasan
03/7/1971- ||business||4382218||Soiled Linen||-------------------------------------||
09/1/1971- ||business||4381499||Permanent Swing?||-------------------------------------||
03/4/1971- ||------||4381832||Bichpuri's Agricultural College||-------------------------------------||
12/6/1971- ||from the chair||4382135||Coromandel Fertilisers Limited||-------------------------------------||Bharat Ram
28/8/1971- ||------||4382424||A Correction: On the Political Economy of the Transition Period||-------------------------------------||
22/5/1971- ||markets||4382021||Misplaced Emphasis||-------------------------------------||
30/10/1971- ||from our correspondents||4382684||Intellectuals Who Deceive||-------------------------------------||
19/6/1971- ||special articles||4382162||Emergence and Eclipse of Muslim Majlis-e-Mushawarat||While the serious communal riots in 1964 were the immediate provocation for the formation of the Majlis-e-Mushawarat that year, from the outset some Muslim leaders had their eyes on the 1967 general elections which they wanted to influence by means of concerted action on the part of the community. Unlike earlier Muslim organisations which participated in politics directly, the Majlis sought to influence policy-making indirectly by extending its support to individual candidates from various political parties in consideration of their personal outlook and sympathies for the Muslim community. The Majlis was also unique in that it did not seek separate representation for the Muslims but called upon Muslims and Hindus to participate in national progress side by side. The performance of the Majlis in the 1967 elections was not spectacular in terms of the number of Majlis-backed legislators elected, but it did succeed in weaning away north Indian Muslim voters from voting for the Congress as they usually had ever since Independence. Its record in influencing the Central and State governments was dismal and this, with other crises, led to its transformation into a federation of Muslim associations in 1968.||Zaheer Masood Quraishi
18/12/1971- ||business||4382870||No Will to Improve?||-------------------------------------||
21/8/1971- ||------||4382386||Inevitable End||-------------------------------------||
09/10/1971- ||from our correspondents||4382622||Congress Takes Over||-------------------------------------||M. S.
14/8/1971- ||from our correspondents||4382370||Fiscal Make-Believe||-------------------------------------||
10/4/1971- ||from our correspondents||4381851||Rout of the Left||-------------------------------------||
17/7/1971- ||from our correspondents||4382296||Kerala's Coalition Changes||-------------------------------------||Mohit Sen
21/8/1971- ||special articles||4382404||Supreme Court, Parliament and Constitution-I||In Golaknath vs State of Punjab, the Supreme Court held that Parliament cannot amend the Constitution so as to take away or abridge the fundamental rights. Since it is Parliament's power to restrict the fundamental rights through constitutional amendment that is in doubt, no constitutional amendment of the property rights can be undertaken until Parliament is rearmed with such power. Constitutional legislation, seeking to introduce changes in the Constitution - particularly with reference to property rights - must, therefore, come in two instalments. There must first be a measure to counteract the effect of the Golaknath decision and to restore to Parliament the power to take away or abridge fundamental rights through constitutional amendment; secondly, there must be an amendment to restrict the scope of property rights. In any case, the question needs to be examined not from the narrow legal angle but from the standpoint of national policy and considerations such as welfare of the people and viability of the Constitution. A constitutional crisis or a Court-Parliament confrontation could be avoided if both Court and Parliament show appreciation of each other's constitutional roles. In this article, which is to appear in two parts, we will discuss the following aspects: In this, the first part, we discuss (i) the legal position before the Golaknath case, (ii) constitutional amendments before 1967 and (iii) the Golaknath case; in the second part, to appear next week, will be discussed (iv) interpretation of the right to property by the Supreme Court, and (v) the proposed constitutional Amendment and the likely Judicial response.||S. P. Sathe
28/8/1971- ||business||4382413||Valuable Scrap||-------------------------------------||
02/10/1971- ||from the chair||4382602||The Indian Iron and Steel Company Limited||-------------------------------------||Biren Mookerjee
1/7/1971- ||------||4382316||The Missing Dimension||-------------------------------------||
26/6/1971- ||capital view||4382184||Theorising on the Crisis||-------------------------------------||Romesh Thapar
15/5/1971- ||from our correspondents||4381992||Power Calls||-------------------------------------||
09/10/1971- ||from our correspondents||4382626||The Struggle in Mozambique||-------------------------------------||A. K. Essack
09/10/1971- ||special articles||4382630||Desirable Features in a New International Monetary System||The new international monetary system that is being hammered out in Washington now must build on the lessons learnt during the 25 years of experience of the Bretton Woods arrangement. Beginning early Sixties a major concern with international monetary experts has been the adequacy of international reserves to enable international trade to grow without restrictions. Many steps taken in the past indicate that the shortage of reserves is not a myth. The present dollar crisis more than any other incident that occurred previously has forced attention on the adjustment mechanism that must go along with a system of fixed exchange rate system. Another complication noted in the working of the IMF system arose from the dollar being treated as a reserve currency. It is suggested here that the new monetary system that emerges must be composed of the following three elements: (1) The authority to 'create' additional reserves through SDRs, when necessary; (2) Introduction of the 'band' proposal so that rates are allowed to fluctuate over a wider margin than is permitted now; and (3) A machinery for examining and advising the proper parity among currencies. The ability to enlarge the reserves coupled with the scope for larger fluctuation in the exchange rate would make the system more viable. A modified fixed exchange rate system such as the one envisaged alone would require India to decide on the currency to which the rupee should be tied.||C. Rangarajan
27/3/1971- ||review of agriculture, march 1971||4381796||Nitrogen Response of Rice: 1968 AICRIP Trials||The "New Strategy" of agricultural development places considerable reliance on concentrating the scarce resources of fertiliser and irrigation in those regions and on those crops where the return will be the greatest. High-yielding rice varieties are one of the priority crops for receiving fertiliser, presumably because of their high response to fertiliser. This paper examines the results of experiments conducted by the All-India Co-ordinated Rice Improvement Programme (AICRIP) [1, 2] to measure the response of rice to nitrogen at a number of locations to provide additional information for decision makers. [The author is grateful to the AICRIP organisation for permission to use the data, to M Dehn for assisting with its processing, and to E R Swanson for helpful comments on a draft of this report. Responsibility for the analysis and views remain entirely with the author.]||Robert W. Herdt
27/2/1971- ||from our correspondents||4381672||Lesson of the Rolls-Royce Crash||-------------------------------------||S. L. Rao
10/4/1971- ||business||4381841||What Price Crude Imports?||-------------------------------------||
06/11/1971- ||from our correspondents||4382710||From Independence to Political Settlement||-------------------------------------||G. S. Bhargava
04/9/1971- ||from our correspondents||4382464||Political Playmates||-------------------------------------||
06/11/1971- ||from our correspondents||4382713||New Posture on Land Ceilings||-------------------------------------||
28/8/1971- ||from our correspondents||4382428||What JVP Laid Bare||-------------------------------------||
1/7/1971- ||------||4382315||Narrowing Options||-------------------------------------||
06/2/1971- ||------||4381590||Errata to Ghosh and Ghosh||-------------------------------------||
27/3/1971- ||review of agriculture, march 1971||4381790||Helping the Small Farmer||-------------------------------------||
17/7/1971- ||------||4382303||Companies: 'Diversified' but Not 'Big'...||-------------------------------------||Hansavivek
01/5/1971- ||special articles||4381947||Semi-Urban Pockets in Kanpur Region||Regional planning presupposes introduction into the rural areas of two major variables, viz, industrialisation and urbanisation, leading to the creation of new growth centres. This paper attempts to describe and interpret the pattern of change in selected small and medium size towns in the Kanpur region in the context of regional development.||Harshad R. Trivedi
20/11/1971- ||business||4382759||Room for Vertical Strengthening||-------------------------------------||
02/1/1971- ||------||4381475||Companies: Export Market for Cement Machinery||-------------------------------------||Hansavivek
05/6/1971- ||business||4382077||Costly Price Maintenance||-------------------------------------||
10/7/1971- ||from the chair||4382281||Straw Products Limited||-------------------------------------||Hari Shankar Singhania
06/3/1971- ||capital view||4381700||Waiting...||-------------------------------------||Romesh Thapar
25/12/1971- ||from our correspondents||4382916||Ripple and Wave but Not the Tidal Current||-------------------------------------||Farrukh Dhondy
27/3/1971- ||markets||4381784||Easier Tendency||-------------------------------------||
24/4/1971- ||special articles||4381915||Meat Potential of India||The evident consequence of the taboo on beef-eating is to reduce the average food consumption in India, and in particular consumption of animal protein. It would be a fallacy, however, to assume that the taboo is the only factor that depresses protein consumption. It is necessary to look at all the depressive factors together and to assess their relative importance. As long as agriculture remains animal-powered, the primary purpose of husbandry will remain the breeding and maintenance of bullocks. India suffers from excessive requirements of animal power and inadequate fodder production to meet them. These purely economic factors are enough to prevent India from becoming a major meat consumer. Their effectiveness can be seen in Pakistan where, even with no taboo on beef, the per capita meat consumption is only 3.6 kg. The serious implications of the taboo are potential ones. For, there is much scope in India for augmenting fodder supplies and reducing animal draught requirements. While India is unsuitable for large-scale pastures owing to aridity, its waste lands can yield sizeable quantities of fodder if they are weeded and planted with grass. There is also room for the growing of fodder as a subsidiary crop in many areas. And Indian agriculture, or at least the part of it other than rice culture, is as capable of mechanisation as agriculture elsewhere. Thus, more fodder could eventually be produced or diverted from the production of draught power. The consequence of reduced animal power would be a drop in the proportion of bullocks. Male calves would be starved out just as are male buffaloes today, and the proportion of cows among cattle would rise. India could then develop a dairying industry. That is when the taboo on beef will become of consequence. For as a result of it, cows will live beyond their optimum milch life, and the output of milk per unit of fodder input will suffer. Further, the dairy industry will get no credit from the sale of dry cows; that will also push up the cost of milk.||Ashok V. Desai
17/4/1971- ||------||4381876||Companies: Expanding Cheaply||-------------------------------------||Hansavivek
27/3/1971- ||special articles||4381806||Family Planning Programmes: A Reassessment||Demographic transition cannot be considered in isolation from general social transformation and cannot be brought about by means of family planning programmes alone. In a country like India, however, programmes are necessary to popularise the acceptance and adoption of the small family norm even within the limitations imposed by the present stage of development and the slow pace of social change. Besides creating a general consciousness about the desirability and possibility of having a small, well-spaced family, the programmes have to serve those sections of the population who are already motivated with contraceptive advice and means together with medical help. They have to proceed on the principle that to be most effective they have to cater to those who are already motivated. The programmes have to be essentially for family planning (and not for population control) with due regard to the principle that the size of the family should be the free choice of the individual family, and with due recognition of the right of the family to determine the number and spacing of children and to obtain adequate information, advice and education in this respect. They have thus to be integrated with programmes of health, maternity and child welfare. Further research is needed in two directions: investigation into factors which go towards creating a strong motivation for a small family size and search for a contraceptive better suited to the conditions of developing countries like India. The spread of education, particularly among women, is a basic requirement for the success of all family planning programmes; yet we are far from reaching even the full literacy target and seem to grow more and more complacent about it. Family planning programmes have meanwhile to proceed within the limitations imposed by the prevailing socio-economic and cultural conditions. No short cuts or gimmicks like national or patriotic appeals or lurid threats of a frightening population explosion will be of much help. Similarly, grandiose programmes based on unrealistic assumptions and worked with insufficient forethought or preparation inevitably lead to gross failures resulting in disenchantment and frustration on the one hand and exaggeration and misrepresentation on the other.||A. R. Kamat
16/10/1971- ||from our correspondents||4382655||Everything as It Was||-------------------------------------||
03/7/1971- ||from our correspondents||4382236||Maoists: Doing without China?||-------------------------------------||Sumanta Banerjee
09/10/1971- ||the fourth estate||4382627||Reflecting Disenchantment||-------------------------------------||Nireekshak
13/3/1971- ||from the chair||4381741||Panyam Cements and Mineral Industries Limited||-------------------------------------||T. S. Sundaram
10/4/1971- ||from our correspondents||4381854||Angry Farmers||-------------------------------------||
03/7/1971- ||business||4382222||Least-Cost Programme||-------------------------------------||
03/4/1971- ||------||4381826||Companies: Bouncing on Demand||-------------------------------------||Hansavivek
04/12/1971- ||from our correspondents||4382829||Liquidation of the Left||-------------------------------------||
1/7/1971- ||from the chair||4382356||Hindusthan-Pilkington Glass Works Limited||-------------------------------------||P. N. Talukdar
08/5/1971- ||special articles||4381977||Politics and Parties in West Pakistan||With the launching of the Joi Bangla movement in East Bengal, the first stage of Pakistan's disintegration is complete. The army may win in East Bengal, but only temporarily; the final victory will be with the people of Bengal. The question has been raised whether there is a chance of a similar movement in West Pakistan. In West Pakistan also the people suffer from the terrible injustice done to them by their rulers and the major political parties are still assuring them of immediate action. But is it possible for them to plunge into an armed struggle against their rulers? An attempt is made here to discuss, in this context, the role of the major political parties of West Pakistan.||Ashim Mukhopadhyay
01/5/1971- ||markets||4381933||Misplaced Concern for Cotton-Grower||-------------------------------------||
26/6/1971- ||markets||4382186||Distinctly Firm||-------------------------------------||
11/12/1971- ||special articles||4382858||Changing Consumption Pattern in Punjab: Projections of Consumer Demand for 1973-74||This paper projects the demand for different commodity groups for Punjab on the basis of certain assumptions regarding the size and distribution of the population between rural and urban areas, the rate of growth of per capita income, the stability of consumption habits, the parity in the structure of relative prices and the rise in the level of the wholesale prices, etc. These projections furnish a profile of consumer demand in the Punjab economy in 1973-74 and could usefully be utilised for adapting resources to the structure of wants and the structure of wants to resources. [This paper is based on a study conducted by Punjab Economy Research Unit at the Punjabi University, Patiala, under the direction of H K Manmohan Singh.]||Amarjit Singh,Haramol Singh
04/9/1971- ||business||4382458||Plugging Leaks||-------------------------------------||
24/4/1971- ||from our correspondents||4381909||On the Eve of Change||-------------------------------------||Harish Chandola
18/9/1971- ||business||4382518||In Low Gear||-------------------------------------||
1/1/1971- ||from our correspondents||4381538||Political Ingredients of British Entry||-------------------------------------||
09/1/1971- ||------||4381493||Bakshi in, Sheikh Out||-------------------------------------||
29/5/1971- ||review of management, may 1971||4382063||Price Fixation in Public Sector: A Case Study of Insecticides||Production and marketing of insecticides in the public sector has a rather short history. There is only one undertaking in the public sector at present producing and marketing insecticides: Hindustan Insecticides. A study of the pricing of insecticides in the public sector would, therefore, be tantamount to a study of the pricing policy of Hindustan Insecticides. This article seeks to look into the various factors that have affected the development of the pricing policy of this undertaking. [The author is grateful to the authorities of the HIL'S Head Office in New Delhi for giving access to the official files, and to S Mazumudar for giving assistance in the collection of material.]||G. P. Keshava
28/8/1971- ||the fourth estate||4382430||Issue Unclinched||-------------------------------------||Nireekshak
02/1/1971- ||business||4381470||Imports to the Rescue||-------------------------------------||
02/10/1971- ||------||4382575||Medicine for the Few||-------------------------------------||
27/2/1971- ||markets||4381665||Activity Shrinks Further||-------------------------------------||
02/10/1971- ||business||4382584||Long and Lean||-------------------------------------||
30/10/1971- ||business||4382679||Holding Them in Check||-------------------------------------||
09/10/1971- ||------||4382611||Agriculture and the Dollar Float||-------------------------------------||
24/4/1971- ||from our correspondents||4381907||Suppression of CPI(M)||-------------------------------------||
08/5/1971- ||------||4381961||D R Gadgil||-------------------------------------||V. M. Dandekar
17/4/1971- ||markets||4381874||Foreign Cotton||-------------------------------------||
02/10/1971- ||from our correspondents||4382588||Shivaji Image Smudged||-------------------------------------||
16/10/1971- ||perspectives-i||4382660||'Garibi Hatao': Making the Capitalist Hen Lay the Socialist Egg||-------------------------------------||D. Ghosh
04/12/1971- ||from our correspondents||4382833||The Silent Sell-Out in Rhodesia||-------------------------------------||V. Subramaniam
09/1/1971- ||from our correspondents||4381506||Decision-Making and Change||-------------------------------------||Amal Ray
12/6/1971- ||markets||4382117||False Alarms||-------------------------------------||Nishtar
18/9/1971- ||business||4382516||Social Factors in Location Policy||-------------------------------------||
18/12/1971- ||from our correspondents||4382881||Modest Upgrading of Plan||-------------------------------------||K. Krishna Moorthy
06/2/1971- ||markets||4381579||In High Mood||-------------------------------------||
27/11/1971- ||review of management, november 1971||4382799||Market Price, Shadow Price and All That||Despite all the suspicions that have been cast on its theoretical soundness and practical usefulness, the concept of 'shadow price' still lingers on in cost-benefit analyses. In this paper it is argued that shadow prices as computed from linear programming models of development planning are far from satisfactory as an instrument of planning. Apart from the question of feasibility of solving a sufficiently large size programming problem, there are doubts whether the dual solution would be comparatively consistent, robust and stable. Besides, there are reservations as to the validity of the simplifying assumptions of economic relations implied in a programming model.||Ranjit K. Sau
24/4/1971- ||company meeting||4381918||Dunlop India Limited||-------------------------------------||R. G. S. Nairn
20/11/1971- ||business||4382762||Late Coming of Age||-------------------------------------||
